"","Ripetute","Stile","Vasche","Distanza","Tempo","Tempo cumulato","Passo medio","Passo migliore","Swolf medio","FC Media","FC max","Totale bracciate","Bracciate medie","Calorie"
"","1","Misto","12","300","6:47.3","6:47.3","2:16","1:49","45","129","152","129","11","65"
"","1.1","Rana","1","25","0:42.6","0:42.6","2:50","2:50","55","105","118","12","--","--"
"","1.2","Stile libero","1","25","0:30.8","1:13.3","2:03","2:03","41","114","118","10","--","--"
"","1.3","Rana","1","25","0:30.2","1:43.5","2:01","2:01","40","119","122","10","--","--"
"","1.4","Stile libero","1","25","0:31.6","2:15.1","2:06","2:06","43","124","134","11","--","--"
"","1.5","Rana","1","25","0:31.1","2:46.2","2:05","2:05","41","142","148","10","--","--"
"","1.6","Stile libero","1","25","0:36.3","3:22.5","2:25","2:25","48","134","147","12","--","--"
"","1.7","Rana","1","25","0:27.2","3:49.7","1:49","1:49","35","126","128","8","--","--"
"","1.8","Rana","1","25","0:32.9","4:22.6","2:12","2:12","43","129","131","10","--","--"
"","1.9","Rana","1","25","0:31.2","4:53.8","2:05","2:05","42","134","138","11","--","--"
"","1.10","Stile libero","1","25","0:34.1","5:27.9","2:16","2:16","45","132","135","11","--","--"
"","1.11","Stile libero","1","25","0:33.6","6:01.6","2:15","2:15","45","148","152","11","--","--"
"","1.12","Stile libero","1","25","0:45.8","6:47.3","3:03","3:03","59","137","148","13","--","--"
"","","Riposo","0","0","0:13.3","7:00.6","0","0","0","118","125","0","0","2"
"","2","Rana","4","100","2:31.6","9:32.2","2:32","2:09","55","140","153","69","17","28"
"","2.1","Rana","1","25","0:35.5","0:35.5","2:22","2:22","53","123","138","17","--","--"
"","2.2","Rana","1","25","0:32.3","1:07.8","2:09","2:09","47","138","144","15","--","--"
"","2.3","Rana","1","25","0:41.3","1:49.1","2:45","2:45","60","149","153","19","--","--"
"","2.4","Rana","1","25","0:42.5","2:31.6","2:50","2:50","60","147","149","18","--","--"
"","","Riposo","0","0","0:09.4","9:41.6","0","0","0","147","150","0","0","2"
"","3","Dorso","4","100","2:18.6","12:00","2:19","2:01","47","148","155","50","13","28"
"","3.1","Dorso","1","25","0:36.1","0:36.1","2:24","2:24","48","143","146","12","--","--"
"","3.2","Dorso","1","25","0:30.3","1:06.4","2:01","2:01","42","146","154","12","--","--"
"","3.3","Dorso","1","25","0:36.4","1:42.7","2:26","2:26","49","153","155","13","--","--"
"","3.4","Dorso","1","25","0:35.9","2:18.6","2:23","2:23","49","148","152","13","--","--"
"","","Riposo","0","0","0:47.3","12:48","0","0","0","132","150","0","0","7"
"","","Riposo","0","0","1:08.4","13:56","0","0","0","139","151","0","0","11"
"","","Riposo","0","0","0:15.9","14:12","0","0","0","147","149","0","0","3"
"","","Riposo","0","0","1:12.4","15:24","0","0","0","143","152","0","0","13"
"","","Riposo","0","0","0:20.2","15:44","0","0","0","146","149","0","0","4"
"","4","Rana","2","50","0:52.4","16:37","1:45","1:34","32","140","147","12","6","9"
"","4.1","Rana","1","25","0:28.9","0:28.9","1:55","1:55","36","137","140","7","--","--"
"","4.2","Rana","1","25","0:23.5","0:52.4","1:34","1:34","29","144","147","5","--","--"
"","","Riposo","0","0","0:20.1","16:57","0","0","0","146","148","0","0","4"
"","5","Rana","1","25","0:53.7","17:51","3:35","3:35","67","141","150","13","13","9"
"","5.1","Rana","1","25","0:53.7","0:53.7","3:35","3:35","67","141","150","13","--","--"
"","","Riposo","0","0","1:14.2","19:05","0","0","0","128","149","0","0","10"
"","6","Rana","2","50","1:00.2","20:05","2:00","1:44","39","125","133","18","9","6"
"","6.1","Rana","1","25","0:34.1","0:34.1","2:16","2:16","44","122","132","10","--","--"
"","6.2","Rana","1","25","0:26.1","1:00.2","1:44","1:44","34","131","133","8","--","--"
"","","Riposo","0","0","0:17.8","20:23","0","0","0","128","132","0","0","2"
"","7","Rana","2","50","0:59.4","21:22","1:59","1:58","39","130","136","18","9","8"
"","7.1","Rana","1","25","0:29.5","0:29.5","1:58","1:58","39","126","132","9","--","--"
"","7.2","Rana","1","25","0:29.9","0:59.4","2:00","2:00","39","134","136","9","--","--"
"","","Riposo","0","0","0:22.2","21:44","0","0","0","131","136","0","0","3"
"","8","Rana","2","50","1:01.1","22:46","2:02","2:02","40","127","134","19","10","8"
"","8.1","Rana","1","25","0:30.5","0:30.5","2:02","2:02","41","122","133","10","--","--"
"","8.2","Rana","1","25","0:30.6","1:01.1","2:03","2:03","40","132","134","9","--","--"
"","","Riposo","0","0","0:22.2","23:08","0","0","0","128","133","0","0","3"
"","9","Rana","2","50","0:59.7","24:08","1:59","1:57","39","128","135","18","9","8"
"","9.1","Rana","1","25","0:30.5","0:30.5","2:02","2:02","40","124","132","9","--","--"
"","9.2","Rana","1","25","0:29.2","0:59.7","1:57","1:57","38","132","135","9","--","--"
"","","Riposo","0","0","1:33.9","25:41","0","0","0","115","131","0","0","7"
"","10","Misto","4","100","1:51.8","27:33","1:52","1:47","38","142","154","42","11","18"
"","10.1","Rana","1","25","0:26.8","0:26.8","1:47","1:47","37","120","131","10","--","--"
"","10.2","Stile libero","1","25","0:27.9","0:54.6","1:51","1:51","38","142","150","10","--","--"
"","10.3","Stile libero","1","25","0:28.1","1:22.8","1:52","1:52","39","151","153","11","--","--"
"","10.4","Stile libero","1","25","0:29.0","1:51.8","1:56","1:56","40","151","154","11","--","--"
"","","Riposo","0","0","0:14.2","27:47","0","0","0","149","153","0","0","3"
"","11","Stile libero","4","100","1:55.4","29:43","1:55","1:53","40","150","154","44","11","22"
"","11.1","Stile libero","1","25","0:28.3","0:28.3","1:53","1:53","39","144","148","11","--","--"
"","11.2","Stile libero","1","25","0:28.3","0:56.6","1:53","1:53","39","151","153","11","--","--"
"","11.3","Stile libero","1","25","0:29.8","1:26.3","1:59","1:59","41","152","154","11","--","--"
"","11.4","Stile libero","1","25","0:29.1","1:55.4","1:56","1:56","40","153","154","11","--","--"
"","","Riposo","0","0","0:19.1","30:02","0","0","0","150","154","0","0","4"
"","12","Stile libero","4","100","2:03.8","32:06","2:04","1:56","43","149","154","47","12","24"
"","12.1","Stile libero","1","25","0:28.9","0:28.9","1:56","1:56","40","142","147","11","--","--"
"","12.2","Stile libero","1","25","0:29.8","0:58.7","1:59","1:59","42","149","153","12","--","--"
"","12.3","Stile libero","1","25","0:32.9","1:31.6","2:12","2:12","46","152","154","13","--","--"
"","12.4","Stile libero","1","25","0:32.2","2:03.8","2:09","2:09","43","151","154","11","--","--"
"","","Riposo","0","0","0:24.3","32:30","0","0","0","143","151","0","0","4"
"","13","Misto","4","100","2:00.6","34:31","2:01","1:55","42","144","151","46","12","21"
"","13.1","Stile libero","1","25","0:29.1","0:29.1","1:57","1:57","41","135","143","12","--","--"
"","13.2","Rana","1","25","0:28.8","0:57.9","1:55","1:55","39","145","150","10","--","--"
"","13.3","Stile libero","1","25","0:33","1:30.9","2:12","2:12","46","147","150","13","--","--"
"","13.4","Stile libero","1","25","0:29.7","2:00.6","1:59","1:59","41","147","151","11","--","--"
"","","Riposo","0","0","1:02.6","35:33","0","0","0","129","151","0","0","7"
"","14","Misto","6","150","3:51.3","39:24","2:34","2:05","53","129","154","84","14","25"
"","14.1","Rana","1","25","0:46.3","0:46.3","3:05","3:05","65","119","134","19","--","--"
"","14.2","Rana","1","25","0:40.1","1:26.3","2:40","2:40","57","129","139","17","--","--"
"","14.3","Stile libero","1","25","0:42.6","2:08.9","2:50","2:50","53","128","141","10","--","--"
"","14.4","Stile libero","1","25","0:33.3","2:42.2","2:13","2:13","43","129","137","10","--","--"
"","14.5","Stile libero","1","25","0:31.3","3:13.5","2:05","2:05","41","138","154","10","--","--"
"","14.6","Rana","1","25","0:37.8","3:51.3","2:31","2:31","56","132","137","18","--","--"
"","","Riposo","0","0","1:30.7","40:55","0","0","0","114","139","0","0","6"
"","15","Rana","2","50","0:48.0","41:43","1:36","1:29","32","122","147","16","8","4"
"","15.1","Rana","1","25","0:25.8","0:25.8","1:43","1:43","35","112","124","9","--","--"
