"","Ripetute","Stile","Vasche","Distanza","Tempo","Tempo cumulato","Passo medio","Passo migliore","Swolf medio","FC Media","FC max","Totale bracciate","Bracciate medie","Calorie"
"","1","Misto","18","450","11:25","11:25","2:32","1:42","53","135","150","272","15","117"
"","1.1","Stile libero","1","25","0:36.8","0:36.8","2:27","2:27","52","106","122","15","--","--"
"","1.2","Stile libero","1","25","0:28.8","1:05.5","1:55","1:55","39","120","123","10","--","--"
"","1.3","Stile libero","1","25","0:25.6","1:31.1","1:42","1:42","36","119","122","10","--","--"
"","1.4","Rana","1","25","0:43","2:14.1","2:52","2:52","58","121","123","15","--","--"
"","1.5","Stile libero","1","25","0:31.1","2:45.1","2:04","2:04","43","126","130","12","--","--"
"","1.6","Rana","1","25","0:33.3","3:18.4","2:13","2:13","50","135","139","17","--","--"
"","1.7","Rana","1","25","0:42.4","4:00.8","2:49","2:49","60","132","139","18","--","--"
"","1.8","Rana","1","25","0:47.9","4:48.7","3:12","3:12","69","136","138","21","--","--"
"","1.9","Rana","1","25","0:32.7","5:21.4","2:11","2:11","49","133","135","16","--","--"
"","1.10","Dorso","1","25","0:39.9","6:01.3","2:39","2:39","55","143","146","15","--","--"
"","1.11","Dorso","1","25","0:43.9","6:45.2","2:55","2:55","59","144","148","15","--","--"
"","1.12","Dorso","1","25","0:36.6","7:21.8","2:26","2:26","49","144","148","12","--","--"
"","1.13","Dorso","1","25","0:43.4","8:05.2","2:54","2:54","60","144","148","17","--","--"
"","1.14","Stile libero","1","25","0:57.3","9:02.6","3:49","3:49","75","147","150","18","--","--"
"","1.15","Stile libero","1","25","0:34.8","9:37.4","2:19","2:19","49","140","148","14","--","--"
"","1.16","Stile libero","1","25","0:29.7","10:07","1:59","1:59","41","137","139","11","--","--"
"","1.17","Rana","1","25","0:41.3","10:48","2:45","2:45","60","138","142","19","--","--"
"","1.18","Rana","1","25","0:36.7","11:25","2:27","2:27","54","142","145","17","--","--"
"","","Riposo","0","0","0:44.8","12:10","0","0","0","134","147","0","0","7"
"","2","Misto","2","50","0:59.4","13:09","1:59","1:55","37","130","137","14","7","8"
"","2.1","Rana","1","25","0:28.6","0:28.6","1:55","1:55","35","126","130","6","--","--"
"","2.2","Stile libero","1","25","0:30.8","0:59.4","2:03","2:03","39","134","137","8","--","--"
"","","Riposo","0","0","0:18.9","13:28","0","0","0","133","140","0","0","3"
"","3","Misto","16","400","8:14.3","21:43","2:04","0:57","39","139","159","131","8","83"
"","3.1","Stile libero","1","25","0:27.4","0:27.4","1:50","1:50","36","134","137","9","--","--"
"","3.2","Stile libero","1","25","0:20.3","0:47.7","1:21","1:21","26","138","143","6","--","--"
"","3.3","Rana","1","25","0:30.1","1:17.9","2:00","2:00","39","145","152","9","--","--"
"","3.4","Rana","1","25","0:23.1","1:40.9","1:32","1:32","30","132","136","7","--","--"
"","3.5","Stile libero","1","25","0:26.2","2:07.1","1:45","1:45","34","136","144","8","--","--"
"","3.6","Stile libero","1","25","0:26.1","2:33.2","1:44","1:44","34","142","145","8","--","--"
"","3.7","Rana","1","25","0:14.3","2:47.5","0:57","0:57","19","137","139","5","--","--"
"","3.8","Rana","1","25","0:39.9","3:27.4","2:40","2:40","49","144","154","9","--","--"
"","3.9","Stile libero","1","25","0:33.4","4:00.8","2:14","2:14","43","134","142","10","--","--"
"","3.10","Rana","1","25","0:45.9","4:46.7","3:04","3:04","57","135","139","11","--","--"
"","3.11","Stile libero","1","25","0:31.3","5:18.1","2:05","2:05","40","134","140","9","--","--"
"","3.12","Stile libero","1","25","0:43.4","6:01.4","2:54","2:54","55","134","136","12","--","--"
"","3.13","Stile libero","1","25","0:25.8","6:27.2","1:43","1:43","34","138","143","8","--","--"
"","3.14","Stile libero","1","25","0:17","6:44.2","1:08","1:08","21","149","159","4","--","--"
"","3.15","Stile libero","1","25","0:22","7:06.2","1:28","1:28","28","148","158","6","--","--"
"","3.16","Stile libero","1","25","1:08.1","8:14.3","4:32","4:32","78","141","144","10","--","--"
"","","Riposo","0","0","1:57.7","23:40","0","0","0","125","143","0","0","13"
"","4","Stile libero","4","100","1:50.7","25:31","1:51","1:29","40","127","136","48","12","12"
"","4.1","Stile libero","1","25","0:30","0:30","2:00","2:00","44","118","130","14","--","--"
"","4.2","Stile libero","1","25","0:27.8","0:57.8","1:51","1:51","40","130","134","12","--","--"
"","4.3","Stile libero","1","25","0:22.2","1:19.9","1:29","1:29","32","130","135","10","--","--"
"","4.4","Stile libero","1","25","0:30.7","1:50.7","2:03","2:03","43","129","136","12","--","--"
"","","Riposo","0","0","0:23.3","25:54","0","0","0","131","146","0","0","3"
"","5","Stile libero","4","100","1:57.2","27:51","1:57","1:49","42","150","156","50","13","23"
"","5.1","Stile libero","1","25","0:30.9","0:30.9","2:04","2:04","45","139","149","14","--","--"
"","5.2","Stile libero","1","25","0:28.9","0:59.8","1:55","1:55","41","150","153","12","--","--"
"","5.3","Stile libero","1","25","0:30.1","1:29.9","2:00","2:00","43","155","156","13","--","--"
"","5.4","Stile libero","1","25","0:27.3","1:57.2","1:49","1:49","38","154","156","11","--","--"
"","","Riposo","0","0","0:21.2","28:13","0","0","0","149","154","0","0","4"
"","6","Stile libero","4","100","1:56.4","30:09","1:56","1:41","41","152","159","48","12","23"
"","6.1","Stile libero","1","25","0:29.4","0:29.4","1:58","1:58","41","147","156","12","--","--"
"","6.2","Stile libero","1","25","0:25.3","0:54.6","1:41","1:41","36","157","159","11","--","--"
"","6.3","Stile libero","1","25","0:33","1:27.6","2:12","2:12","46","153","155","13","--","--"
"","6.4","Stile libero","1","25","0:28.8","1:56.4","1:55","1:55","41","152","153","12","--","--"
"","","Riposo","0","0","0:24.9","30:34","0","0","0","148","151","0","0","5"
"","7","Stile libero","1","25","0:25.7","31:00","1:43","1:43","37","146","157","11","11","5"
"","7.1","Stile libero","1","25","0:25.7","0:25.7","1:43","1:43","37","145","155","11","--","--"
"","","Riposo","0","0","0:19.7","31:19","0","0","0","153","157","0","0","4"
"","8","Stile libero","1","25","0:24.7","31:44","1:39","1:39","36","144","148","11","11","4"
"","8.1","Stile libero","1","25","0:24.7","0:24.7","1:39","1:39","36","144","147","11","--","--"
"","","Riposo","0","0","0:20.6","32:05","0","0","0","150","153","0","0","4"
"","9","Stile libero","1","25","0:24.3","32:29","1:37","1:37","34","148","157","10","10","4"
"","9.1","Stile libero","1","25","0:24.3","0:24.3","1:37","1:37","34","148","156","10","--","--"
"","","Riposo","0","0","0:16.5","32:45","0","0","0","157","160","0","0","4"
"","10","Stile libero","1","25","0:24.5","33:10","1:38","1:38","37","158","167","12","12","5"
"","10.1","Stile libero","1","25","0:24.5","0:24.5","1:38","1:38","37","157","166","12","--","--"
"","","Riposo","0","0","0:36.4","33:46","0","0","0","153","169","0","0","8"
"","11","Stile libero","4","100","1:56.4","35:43","1:56","1:44","41","149","157","49","12","22"
"","11.1","Stile libero","1","25","0:28.5","0:28.5","1:54","1:54","41","139","148","12","--","--"
"","11.2","Stile libero","1","25","0:26","0:54.5","1:44","1:44","38","150","157","12","--","--"
"","11.3","Stile libero","1","25","0:30","1:24.5","2:00","2:00","42","153","156","12","--","--"
"","11.4","Stile libero","1","25","0:31.9","1:56.4","2:07","2:07","45","152","154","13","--","--"
"","","Riposo","0","0","0:20.7","36:03","0","0","0","147","151","0","0","4"
"","12","Stile libero","4","100","1:58.6","38:02","1:59","1:41","43","148","155","52","13","21"
"","12.1","Stile libero","1","25","0:32.4","0:32.4","2:10","2:10","47","140","146","15","--","--"
"","12.2","Stile libero","1","25","0:25.3","0:57.7","1:41","1:41","36","148","155","11","--","--"
"","12.3","Stile libero","1","25","0:32.3","1:30.1","2:09","2:09","46","150","154","14","--","--"
"","12.4","Stile libero","1","25","0:28.6","1:58.6","1:54","1:54","41","151","153","12","--","--"
"","","Riposo","0","0","0:24.8","38:27","0","0","0","149","153","0","0","5"
"","13","Stile libero","4","100","1:59.8","40:27","2:00","1:52","43","147","155","52","13","20"
"","13.1","Stile libero","1","25","0:30.7","0:30.7","2:03","2:03","45","136","142","14","--","--"
"","13.2","Stile libero","1","25","0:29.9","1:00.6","2:00","2:00","43","146","153","13","--","--"
"","13.3","Stile libero","1","25","0:28.1","1:28.7","1:52","1:52","40","152","153","12","--","--"
"","13.4","Stile libero","1","25","0:31.1","1:59.8","2:04","2:04","44","153","155","13","--","--"
"","","Riposo","0","0","0:30.0","40:57","0","0","0","144","152","0","0","5"
"","14","Farfalla","1","25","0:26.0","41:23","1:44","1:44","38","136","142","12","12","3"
"","14.1","Farfalla","1","25","0:26.0","0:26.0","1:44","1:44","38","135","142","12","--","--"
"","","Riposo","0","0","0:15.3","41:38","0","0","0","141","145","0","0","2"
"","15","Stile libero","1","25","0:25.2","42:03","1:41","1:41","37","145","155","12","12","4"
"","15.1","Stile libero","1","25","0:25.2","0:25.2","1:41","1:41","37","145","154","12","--","--"
"","","Riposo","0","0","0:20.8","42:24","0","0","0","156","157","0","0","4"
"","16","Stile libero","1","25","0:25.3","42:49","1:41","1:41","37","149","158","12","12","5"
"","16.1","Stile libero","1","25","0:25.3","0:25.3","1:41","1:41","37","148","156","12","--","--"
"","","Riposo","0","0","0:20.4","43:10","0","0","0","156","160","0","0","4"
"","17","Farfalla","1","25","0:24.7","43:34","1:39","1:39","37","145","152","12","12","4"
"","17.1","Farfalla","1","25","0:24.7","0:24.7","1:39","1:39","37","145","151","12","--","--"
"","","Riposo","0","0","0:43.3","44:18","0","0","0","144","154","0","0","7"
"","18","Stile libero","4","100","1:53.0","46:11","1:53","1:29","41","152","162","52","13","21"
"","18.1","Stile libero","1","25","0:30.4","0:30.4","2:02","2:02","44","135","145","14","--","--"
"","18.2","Stile libero","1","25","0:22.3","0:52.7","1:29","1:29","33","151","157","11","--","--"
"","18.3","Stile libero","1","25","0:29.5","1:22.2","1:58","1:58","43","159","161","13","--","--"
"","18.4","Stile libero","1","25","0:30.8","1:53.0","2:03","2:03","45","160","162","14","--","--"
"","","Riposo","0","0","0:57.8","47:08","0","0","0","138","161","0","0","8"
"","19","Misto","11","275","7:43.7","54:52","2:49","2:08","57","135","150","164","15","50"
"","19.1","Rana","1","25","0:35.4","0:35.4","2:21","2:21","51","127","143","16","--","--"
"","19.2","Rana","1","25","0:38.2","1:13.6","2:33","2:33","56","143","150","18","--","--"
"","19.3","Rana","1","25","0:38.8","1:52.3","2:35","2:35","58","141","143","19","--","--"
"","19.4","Rana","1","25","0:38.1","2:30.4","2:32","2:32","57","144","148","19","--","--"
"","19.5","Stile libero","1","25","0:37.2","3:07.6","2:29","2:29","50","139","145","13","--","--"
"","19.6","Stile libero","1","25","0:38.8","3:46.3","2:35","2:35","54","133","136","15","--","--"
"","19.7","Stile libero","1","25","0:34.8","4:21.1","2:19","2:19","48","136","138","13","--","--"
"","19.8","Stile libero","1","25","0:31.9","4:53.1","2:08","2:08","44","135","137","12","--","--"
"","19.9","Stile libero","1","25","0:42.6","5:35.6","2:50","2:50","55","132","139","12","--","--"
"","19.10","Stile libero","1","25","0:33.8","6:09.4","2:15","2:15","46","122","127","12","--","--"
"","19.11","Stile libero","1","25","1:34.3","7:43.7","6:17","6:17","109","132","142","15","--","--"
"","Riepilogo","--","83","2,075","54:52","54:52","2:11","0:57","45","140","169","1,024","12","528"
