"","Ripetute","Stile","Vasche","Distanza","Tempo","Tempo cumulato","Passo medio","Passo migliore","Swolf medio","FC Media","FC max","Totale bracciate","Bracciate medie","Calorie"
"","1","Misto","18","450","10:20","10:20","2:18","1:46","47","136","154","231","13","110"
"","1.1","Stile libero","1","25","0:38.6","0:38.6","2:35","2:35","50","97","118","11","--","--"
"","1.2","Stile libero","1","25","0:31.8","1:10.4","2:07","2:07","42","124","132","10","--","--"
"","1.3","Stile libero","1","25","0:26.6","1:37.0","1:46","1:46","36","132","133","9","--","--"
"","1.4","Stile libero","1","25","0:33.8","2:10.8","2:15","2:15","45","130","132","11","--","--"
"","1.5","Rana","1","25","0:29","2:39.8","1:56","1:56","39","131","136","10","--","--"
"","1.6","Stile libero","1","25","0:27.8","3:07.6","1:51","1:51","36","130","135","8","--","--"
"","1.7","Stile libero","1","25","0:33.1","3:40.7","2:12","2:12","44","132","135","11","--","--"
"","1.8","Stile libero","1","25","0:26.5","4:07.2","1:46","1:46","35","131","133","8","--","--"
"","1.9","Stile libero","1","25","0:37.3","4:44.5","2:29","2:29","49","130","133","12","--","--"
"","1.10","Stile libero","1","25","0:32.3","5:16.7","2:09","2:09","43","132","136","11","--","--"
"","1.11","Rana","1","25","0:34.8","5:51.6","2:19","2:19","53","131","137","18","--","--"
"","1.12","Rana","1","25","0:35.6","6:27.1","2:22","2:22","54","144","149","18","--","--"
"","1.13","Rana","1","25","0:35.2","7:02.3","2:21","2:21","54","150","152","19","--","--"
"","1.14","Rana","1","25","0:34.9","7:37.2","2:20","2:20","55","150","154","20","--","--"
"","1.15","Dorso","1","25","0:47.1","8:24.3","3:08","3:08","61","148","154","14","--","--"
"","1.16","Dorso","1","25","0:44.4","9:08.7","2:58","2:58","59","145","147","15","--","--"
"","1.17","Dorso","1","25","0:32.6","9:41.3","2:11","2:11","46","148","149","13","--","--"
"","1.18","Dorso","1","25","0:38.7","10:20","2:35","2:35","52","149","153","13","--","--"
"","","Riposo","0","0","0:38.0","10:58","0","0","0","139","152","0","0","7"
"","","Riposo","0","0","3:02.1","14:00","0","0","0","140","152","0","0","32"
"","","Riposo","0","0","0:38.1","14:38","0","0","0","133","147","0","0","6"
"","2","Rana","2","50","0:57.1","15:35","1:54","1:51","37","129","139","17","9","8"
"","2.1","Rana","1","25","0:29.4","0:29.4","1:58","1:58","38","123","134","9","--","--"
"","2.2","Rana","1","25","0:27.7","0:57.1","1:51","1:51","36","134","139","8","--","--"
"","","Riposo","0","0","0:18.0","15:53","0","0","0","135","138","0","0","3"
"","3","Rana","2","50","0:57.6","16:51","1:55","1:39","38","134","138","18","9","9"
"","3.1","Rana","1","25","0:32.8","0:32.8","2:11","2:11","43","132","137","10","--","--"
"","3.2","Rana","1","25","0:24.8","0:57.6","1:39","1:39","33","136","138","8","--","--"
"","","Riposo","0","0","0:18.2","17:09","0","0","0","134","138","0","0","3"
"","4","Rana","2","50","0:56.3","18:05","1:53","1:48","37","135","139","18","9","9"
"","4.1","Rana","1","25","0:29.4","0:29.4","1:58","1:58","39","134","137","10","--","--"
"","4.2","Rana","1","25","0:27.0","0:56.3","1:48","1:48","35","137","138","8","--","--"
"","","Riposo","0","0","0:19.8","18:25","0","0","0","137","139","0","0","3"
"","5","Misto","2","50","0:55.4","19:21","1:51","1:37","37","138","148","18","9","9"
"","5.1","Rana","1","25","0:31.1","0:31.1","2:05","2:05","41","133","140","10","--","--"
"","5.2","Stile libero","1","25","0:24.3","0:55.4","1:37","1:37","32","143","148","8","--","--"
"","","Riposo","0","0","1:10.8","20:31","0","0","0","127","146","0","0","9"
"","6","Stile libero","4","100","1:48.8","22:20","1:49","1:45","37","147","158","39","10","19"
"","6.1","Stile libero","1","25","0:26.3","0:26.3","1:45","1:45","35","126","138","9","--","--"
"","6.2","Stile libero","1","25","0:27.6","0:53.8","1:50","1:50","38","147","155","10","--","--"
"","6.3","Stile libero","1","25","0:27","1:20.8","1:48","1:48","37","155","157","10","--","--"
"","6.4","Stile libero","1","25","0:28.0","1:48.8","1:52","1:52","38","156","158","10","--","--"
"","","Riposo","0","0","0:26.9","22:47","0","0","0","147","155","0","0","5"
"","7","Stile libero","4","100","1:55.8","24:43","1:56","1:52","39","150","156","42","11","23"
"","7.1","Stile libero","1","25","0:28.1","0:28.1","1:52","1:52","38","141","148","10","--","--"
"","7.2","Stile libero","1","25","0:29.1","0:57.2","1:57","1:57","39","151","156","10","--","--"
"","7.3","Stile libero","1","25","0:29.8","1:26.9","1:59","1:59","41","155","156","11","--","--"
"","7.4","Stile libero","1","25","0:28.9","1:55.8","1:55","1:55","40","153","154","11","--","--"
"","","Riposo","0","0","0:30.8","25:14","0","0","0","146","154","0","0","6"
"","8","Stile libero","4","100","1:56.4","27:10","1:56","1:54","39","148","153","41","10","22"
"","8.1","Stile libero","1","25","0:28.8","0:28.8","1:55","1:55","39","139","149","10","--","--"
"","8.2","Stile libero","1","25","0:29","0:57.8","1:56","1:56","39","150","153","10","--","--"
"","8.3","Stile libero","1","25","0:30.2","1:28.0","2:01","2:01","41","152","153","11","--","--"
"","8.4","Stile libero","1","25","0:28.4","1:56.4","1:54","1:54","38","151","152","10","--","--"
"","","Riposo","0","0","0:20.6","27:31","0","0","0","149","153","0","0","4"
"","9","Stile libero","4","100","1:54.9","29:26","1:55","1:51","39","147","155","43","11","21"
"","9.1","Stile libero","1","25","0:28.6","0:28.6","1:55","1:55","40","139","143","11","--","--"
"","9.2","Stile libero","1","25","0:29.4","0:58","1:58","1:58","40","145","150","11","--","--"
"","9.3","Stile libero","1","25","0:29.1","1:27.1","1:57","1:57","40","151","154","11","--","--"
"","9.4","Stile libero","1","25","0:27.8","1:54.9","1:51","1:51","38","154","155","10","--","--"
"","","Riposo","0","0","0:22.2","29:48","0","0","0","151","156","0","0","4"
"","10","Stile libero","4","100","1:53.1","31:41","1:53","1:46","39","150","156","43","11","23"
"","10.1","Stile libero","1","25","0:28.8","0:28.8","1:55","1:55","41","144","148","12","--","--"
"","10.2","Stile libero","1","25","0:30.1","0:58.8","2:00","2:00","41","151","153","11","--","--"
"","10.3","Stile libero","1","25","0:27.7","1:26.5","1:51","1:51","38","152","153","10","--","--"
"","10.4","Stile libero","1","25","0:26.6","1:53.1","1:46","1:46","37","154","156","10","--","--"
"","","Riposo","0","0","0:26.0","32:07","0","0","0","151","156","0","0","5"
"","11","Stile libero","4","100","1:55.2","34:02","1:55","1:53","40","151","156","44","11","23"
"","11.1","Stile libero","1","25","0:28.7","0:28.7","1:55","1:55","40","146","147","11","--","--"
"","11.2","Stile libero","1","25","0:29.6","0:58.3","1:58","1:58","41","150","153","11","--","--"
"","11.3","Stile libero","1","25","0:28.2","1:26.5","1:53","1:53","38","153","154","10","--","--"
"","11.4","Stile libero","1","25","0:28.7","1:55.2","1:55","1:55","41","155","156","12","--","--"
"","","Riposo","0","0","1:14.1","35:16","0","0","0","131","156","0","0","9"
"","12","Misto","4","100","2:27.5","37:44","2:27","1:50","51","141","155","58","15","21"
"","12.1","Dorso","1","25","0:40.6","0:40.6","2:42","2:42","56","123","137","15","--","--"
"","12.2","Dorso","1","25","0:37.6","1:18.1","2:30","2:30","52","140","147","14","--","--"
"","12.3","Dorso","1","25","0:41.8","1:59.9","2:47","2:47","59","150","152","17","--","--"
"","12.4","Farfalla","1","25","0:27.6","2:27.5","1:50","1:50","40","152","155","12","--","--"
"","","Riposo","0","0","2:40.3","40:24","0","0","0","143","155","0","0","25"
"","13","Misto","11","275","7:27.3","47:51","2:43","1:44","56","136","147","164","15","55"
"","13.1","Dorso","1","25","0:33.3","0:33.3","2:13","2:13","45","136","146","12","--","--"
"","13.2","Rana","1","25","0:58.9","1:32.2","3:56","3:56","75","134","146","16","--","--"
"","13.3","Stile libero","1","25","0:42.2","2:14.4","2:49","2:49","56","135","139","14","--","--"
"","13.4","Stile libero","1","25","0:41.9","2:56.4","2:48","2:48","54","131","135","12","--","--"
"","13.5","Stile libero","1","25","0:26","3:22.4","1:44","1:44","35","135","137","9","--","--"
"","13.6","Rana","1","25","0:33.9","3:56.3","2:16","2:16","52","123","130","18","--","--"
"","13.7","Rana","1","25","0:39.2","4:35.5","2:37","2:37","59","137","141","20","--","--"
"","13.8","Dorso","1","25","0:36.9","5:12.4","2:28","2:28","50","144","147","13","--","--"
"","13.9","Rana","1","25","0:40.5","5:52.9","2:42","2:42","62","144","147","21","--","--"
"","13.10","Rana","1","25","0:46.4","6:39.4","3:06","3:06","62","141","147","16","--","--"
"","13.11","Stile libero","1","25","0:47.9","7:27.3","3:12","3:12","61","136","139","13","--","--"
"","Riepilogo","--","65","1,625","47:51","47:51","2:11","1:37","45","140","158","776","12","473"
