"","Ripetute","Stile","Vasche","Distanza","Tempo","Tempo cumulato","Passo medio","Passo migliore","Swolf medio","FC Media","FC max","Totale bracciate","Bracciate medie","Calorie"
"","1","Misto","18","450","15:28","15:28","2:36","1:38","53","131","176","248","14","146"
"","1.1","Stile libero","1","25","0:45.4","0:45.4","3:01","3:01","60","97","118","15","--","--"
"","1.2","Stile libero","1","25","0:24.6","1:09.9","1:38","1:38","34","118","120","9","--","--"
"","1.3","Stile libero","1","25","0:28.3","1:38.2","1:53","1:53","38","122","124","10","--","--"
"","1.4","Stile libero","1","25","0:32.9","2:11.2","2:12","2:12","44","121","123","11","--","--"
"","1.5","Stile libero","1","25","0:37.9","2:49.1","2:32","2:32","51","120","123","13","--","--"
"","1.6","Stile libero","1","25","0:32.3","3:21.4","2:09","2:09","44","123","131","12","--","--"
"","1.7","Rana","1","25","0:33.4","3:54.8","2:14","2:14","49","132","137","16","--","--"
"","1.8","Rana","1","25","0:42.4","4:37.2","2:50","2:50","62","135","138","20","--","--"
"","1.9","Rana","1","25","0:37","5:14.2","2:28","2:28","56","133","136","19","--","--"
"","1.10","Rana","1","25","0:43.3","5:57.5","2:53","2:53","62","131","133","19","--","--"
"","1.11","Dorso","1","25","0:40","6:37.5","2:40","2:40","53","118","130","13","--","--"
"","1.12","Dorso","1","25","0:37.9","7:15.4","2:32","2:32","50","140","149","12","--","--"
"","1.13","Dorso","1","25","0:44.9","8:00.3","3:00","3:00","60","145","148","15","--","--"
"","1.14","Dorso","1","25","0:40.4","8:40.7","2:42","2:42","55","142","146","15","--","--"
"","1.15","Rana","1","25","0:51.6","9:32.3","3:27","3:27","64","141","150","12","--","--"
"","1.16","Stile libero","1","25","0:45","10:17","3:00","3:00","59","129","137","14","--","--"
"","1.17","Rana","1","25","0:32.7","10:50","2:11","2:11","43","129","133","10","--","--"
"","1.18","Stile libero","1","25","0:52.6","11:43","3:31","3:31","66","126","138","13","--","--"
"","1.19","--","1","--","3:45.4","15:28","--","--","--","139","176","--","--","--"
"","","Riposo","0","0","0:07.5","15:35","0","0","0","128","132","0","0","1"
