"","Ripetute","Stile","Vasche","Distanza","Tempo","Tempo cumulato","Passo medio","Passo migliore","Swolf medio","FC Media","FC max","Totale bracciate","Bracciate medie","Calorie"
"","1","Misto","20","500","13:16","13:16","2:30","1:50","51","128","151","262","13","122"
"","1.1","Stile libero","1","25","0:32.8","0:32.8","2:11","2:11","44","95","109","11","--","--"
"","1.2","Stile libero","1","25","0:32.4","1:05.2","2:10","2:10","44","116","119","12","--","--"
"","1.3","Stile libero","1","25","0:29.1","1:34.3","1:57","1:57","39","120","122","10","--","--"
"","1.4","Stile libero","1","25","0:34.1","2:08.4","2:16","2:16","47","121","122","13","--","--"
"","1.5","Stile libero","1","25","0:31.7","2:40.1","2:07","2:07","42","127","131","10","--","--"
"","1.6","Stile libero","1","25","0:33.6","3:13.6","2:14","2:14","45","127","130","11","--","--"
"","1.7","Stile libero","1","25","0:43.1","3:56.7","2:52","2:52","56","123","129","13","--","--"
"","1.8","Stile libero","1","25","0:53.2","4:49.9","3:33","3:33","72","118","122","19","--","--"
"","1.9","Stile libero","1","25","0:32.5","5:22.4","2:10","2:10","45","123","125","12","--","--"
"","1.10","Stile libero","1","25","0:35.1","5:57.5","2:20","2:20","48","132","139","13","--","--"
"","1.11","Rana","1","25","0:36.9","6:34.4","2:28","2:28","47","123","139","10","--","--"
"","1.12","Rana","1","25","0:38.8","7:13.2","2:35","2:35","51","118","124","12","--","--"
"","1.13","Rana","1","25","0:43.6","7:56.9","2:55","2:55","63","130","133","19","--","--"
"","1.14","Rana","1","25","0:57.9","8:54.7","3:51","3:51","80","136","144","22","--","--"
"","1.15","Stile libero","1","25","0:27.4","9:22.2","1:50","1:50","35","139","141","8","--","--"
"","1.16","Rana","1","25","0:32.4","9:54.6","2:10","2:10","42","135","136","10","--","--"
"","1.17","Dorso","1","25","0:45.5","10:40","3:02","3:02","62","132","134","16","--","--"
"","1.18","Dorso","1","25","0:34","11:14","2:16","2:16","47","137","139","13","--","--"
"","1.19","Dorso","1","25","0:39.1","11:53","2:36","2:36","54","144","148","15","--","--"
"","1.20","Dorso","1","25","0:36.4","12:30","2:26","2:26","49","147","151","13","--","--"
"","1.21","--","1","--","0:46.8","13:16","--","--","--","140","146","--","--","--"
"","","Riposo","0","0","1:18.5","14:35","0","0","0","126","134","0","0","11"
"","","Riposo","0","0","1:40.6","16:15","0","0","0","128","144","0","0","14"
"","","Riposo","0","0","0:14.4","16:30","0","0","0","140","143","0","0","3"
"","2","Rana","1","25","1:09.6","17:39","4:39","4:39","80","137","143","10","10","11"
"","2.1","Rana","1","25","1:09.6","1:09.6","4:39","4:39","80","137","143","10","--","--"
"","","Riposo","0","0","0:21.2","18:01","0","0","0","134","138","0","0","4"
"","","Riposo","0","0","1:19.3","19:20","0","0","0","134","148","0","0","12"
"","","Riposo","0","0","0:12.4","19:32","0","0","0","140","145","0","0","2"
"","","Riposo","0","0","1:19.4","20:52","0","0","0","135","145","0","0","12"
"","","Riposo","0","0","0:12.1","21:04","0","0","0","140","143","0","0","2"
"","","Riposo","0","0","1:26.4","22:30","0","0","0","130","143","0","0","12"
"","","Riposo","0","0","0:17.6","22:48","0","0","0","142","145","0","0","3"
"","3","Misto","2","50","1:04.2","23:52","2:09","2:02","43","135","148","21","11","9"
"","3.1","Rana","1","25","0:33.7","0:33.7","2:15","2:15","46","133","137","12","--","--"
"","3.2","Stile libero","1","25","0:30.6","1:04.2","2:02","2:02","40","136","147","9","--","--"
"","","Riposo","0","0","0:17.9","24:10","0","0","0","145","152","0","0","3"
"","4","Stile libero","2","50","0:49.2","24:59","1:38","1:32","33","139","155","16","8","8"
"","4.1","Stile libero","1","25","0:22.9","0:22.9","1:32","1:32","31","130","134","8","--","--"
"","4.2","Stile libero","1","25","0:26.3","0:49.2","1:45","1:45","34","147","154","8","--","--"
"","","Riposo","0","0","1:01.7","26:01","0","0","0","135","154","0","0","9"
"","5","Stile libero","4","100","2:04.0","28:05","2:04","2:00","42","134","142","44","11","17"
"","5.1","Stile libero","1","25","0:30.2","0:30.2","2:01","2:01","41","123","133","11","--","--"
"","5.2","Stile libero","1","25","0:30.1","1:00.3","2:00","2:00","40","135","138","10","--","--"
"","5.3","Stile libero","1","25","0:31.1","1:31.4","2:05","2:05","43","138","141","12","--","--"
"","5.4","Stile libero","1","25","0:32.5","2:04.0","2:10","2:10","44","140","141","11","--","--"
"","","Riposo","0","0","0:17.7","28:22","0","0","0","137","142","0","0","3"
"","6","Stile libero","4","100","2:03.0","30:25","2:03","2:00","42","137","142","46","12","18"
"","6.1","Stile libero","1","25","0:30.1","0:30.1","2:00","2:00","41","133","137","11","--","--"
"","6.2","Stile libero","1","25","0:30.6","1:00.7","2:02","2:02","43","134","138","12","--","--"
"","6.3","Stile libero","1","25","0:32.4","1:33.1","2:10","2:10","44","139","141","12","--","--"
"","6.4","Stile libero","1","25","0:29.9","2:03.0","2:00","2:00","41","141","142","11","--","--"
"","","Riposo","0","0","0:23.5","30:49","0","0","0","140","143","0","0","4"
"","7","Stile libero","4","100","2:03.0","32:52","2:03","2:00","43","139","146","48","12","20"
"","7.1","Stile libero","1","25","0:31","0:31","2:04","2:04","43","134","137","12","--","--"
"","7.2","Stile libero","1","25","0:29.9","1:00.9","2:00","2:00","42","137","140","12","--","--"
"","7.3","Stile libero","1","25","0:31.6","1:32.5","2:06","2:06","44","143","146","12","--","--"
"","7.4","Stile libero","1","25","0:30.5","2:03.0","2:02","2:02","43","143","145","12","--","--"
"","","Riposo","0","0","0:22.3","33:14","0","0","0","143","144","0","0","4"
"","8","Stile libero","4","100","1:57.3","35:12","1:57","1:55","41","145","152","47","12","21"
"","8.1","Stile libero","1","25","0:29.1","0:29.1","1:57","1:57","41","138","141","12","--","--"
"","8.2","Stile libero","1","25","0:29.1","0:58.2","1:56","1:56","40","144","146","11","--","--"
"","8.3","Stile libero","1","25","0:30.4","1:28.6","2:02","2:02","42","147","150","12","--","--"
"","8.4","Stile libero","1","25","0:28.6","1:57.3","1:55","1:55","41","150","151","12","--","--"
"","","Riposo","0","0","0:34.6","35:46","0","0","0","147","154","0","0","6"
"","9","Stile libero","4","100","2:02.0","37:48","2:02","2:01","43","138","144","49","12","18"
"","9.1","Stile libero","1","25","0:30.5","0:30.5","2:02","2:02","42","131","134","11","--","--"
"","9.2","Stile libero","1","25","0:30.8","1:01.3","2:03","2:03","44","138","143","13","--","--"
"","9.3","Stile libero","1","25","0:30.5","1:31.8","2:02","2:02","43","142","144","12","--","--"
"","9.4","Stile libero","1","25","0:30.2","2:02.0","2:01","2:01","43","142","144","13","--","--"
"","","Riposo","0","0","0:25.2","38:13","0","0","0","139","144","0","0","4"
"","10","Stile libero","4","100","1:56.5","40:10","1:57","1:54","41","146","152","48","12","20"
"","10.1","Stile libero","1","25","0:28.6","0:28.6","1:54","1:54","40","135","144","11","--","--"
"","10.2","Stile libero","1","25","0:28.4","0:57.0","1:54","1:54","41","149","151","13","--","--"
"","10.3","Stile libero","1","25","0:29.9","1:26.9","2:00","2:00","42","150","152","12","--","--"
"","10.4","Stile libero","1","25","0:29.6","1:56.5","1:58","1:58","42","149","152","12","--","--"
"","","Riposo","0","0","0:51.3","41:01","0","0","0","141","154","0","0","8"
"","11","Stile libero","4","100","1:57.4","42:58","1:57","1:53","41","147","155","48","12","21"
"","11.1","Stile libero","1","25","0:29.4","0:29.4","1:58","1:58","41","132","147","12","--","--"
"","11.2","Stile libero","1","25","0:28.3","0:57.7","1:53","1:53","40","151","154","12","--","--"
"","11.3","Stile libero","1","25","0:30.3","1:27.9","2:01","2:01","42","152","153","12","--","--"
"","11.4","Stile libero","1","25","0:29.5","1:57.4","1:58","1:58","41","152","155","12","--","--"
"","","Riposo","0","0","1:32.9","44:31","0","0","0","132","154","0","0","11"
"","12","Stile libero","2","50","0:49.1","45:20","1:38","1:33","33","134","154","17","9","5"
"","12.1","Stile libero","1","25","0:23.3","0:23.3","1:33","1:33","31","121","132","8","--","--"
"","12.2","Stile libero","1","25","0:25.8","0:49.1","1:43","1:43","35","144","153","9","--","--"
"","","Riposo","0","0","0:25.9","45:46","0","0","0","152","155","0","0","5"
"","13","Stile libero","2","50","0:47.7","46:34","1:36","1:34","33","152","159","19","10","9"
"","13.1","Stile libero","1","25","0:24.3","0:24.3","1:37","1:37","34","148","152","10","--","--"
"","13.2","Stile libero","1","25","0:23.5","0:47.7","1:34","1:34","32","155","159","9","--","--"
"","","Riposo","0","0","0:27.9","47:02","0","0","0","154","158","0","0","6"
"","14","Stile libero","2","50","0:49.6","47:52","1:39","1:22","35","149","156","21","11","9"
"","14.1","Stile libero","1","25","0:29","0:29","1:56","1:56","41","145","155","12","--","--"
"","14.2","Stile libero","1","25","0:20.6","0:49.6","1:22","1:22","30","154","155","9","--","--"
