"","Ripetute","Stile","Vasche","Distanza","Tempo","Tempo cumulato","Passo medio","Passo migliore","Swolf medio","FC Media","FC max","Totale bracciate","Bracciate medie","Calorie"
"","1","Misto","25","625","13:57","13:57","2:06","1:00","41","126","159","244","10","127"
"","1.1","Stile libero","1","25","0:36.8","0:36.8","2:27","2:27","49","85","104","12","--","--"
"","1.2","Stile libero","1","25","0:33.7","1:10.4","2:15","2:15","45","108","112","11","--","--"
"","1.3","Stile libero","1","25","0:28.8","1:39.2","1:55","1:55","38","114","120","9","--","--"
"","1.4","Rana","1","25","0:40.3","2:19.5","2:41","2:41","52","115","121","12","--","--"
"","1.5","Stile libero","1","25","0:29.7","2:49.2","1:59","1:59","40","113","114","10","--","--"
"","1.6","Stile libero","1","25","0:35.4","3:24.6","2:21","2:21","47","115","117","12","--","--"
"","1.7","Stile libero","1","25","0:35.1","3:59.7","2:20","2:20","46","105","108","11","--","--"
"","1.8","Rana","1","25","0:37.3","4:36.9","2:29","2:29","49","112","122","12","--","--"
"","1.9","Stile libero","1","25","0:37","5:13.9","2:28","2:28","48","119","122","11","--","--"
"","1.10","Rana","1","25","0:37.8","5:51.7","2:31","2:31","49","117","128","11","--","--"
"","1.11","Dorso","1","25","0:41.8","6:33.4","2:47","2:47","55","129","137","13","--","--"
"","1.12","Dorso","1","25","0:46.7","7:20.1","3:07","3:07","61","131","143","14","--","--"
"","1.13","Rana","1","25","0:22.4","7:42.5","1:30","1:30","28","137","144","6","--","--"
"","1.14","Dorso","1","25","0:20.6","8:03.1","1:23","1:23","27","139","145","6","--","--"
"","1.15","Dorso","1","25","0:31.7","8:34.8","2:07","2:07","42","150","155","10","--","--"
"","1.16","Stile libero","1","25","0:14.9","8:49.7","1:00","1:00","19","156","158","4","--","--"
"","1.17","Rana","1","25","0:18.3","9:08.1","1:13","1:13","24","143","151","6","--","--"
"","1.18","Stile libero","1","25","0:21.2","9:29.2","1:25","1:25","28","140","145","7","--","--"
"","1.19","Stile libero","1","25","0:25.1","9:54.4","1:41","1:41","34","136","153","9","--","--"
"","1.20","Stile libero","1","25","0:40.1","10:34","2:41","2:41","51","131","157","11","--","--"
"","1.21","Stile libero","1","25","0:31.6","11:06","2:06","2:06","41","130","133","9","--","--"
"","1.22","Dorso","1","25","0:45.4","11:52","3:02","3:02","58","134","140","13","--","--"
"","1.23","Dorso","1","25","0:18.3","12:10","1:13","1:13","24","146","148","6","--","--"
"","1.24","Dorso","1","25","0:19.4","12:29","1:18","1:18","25","149","152","6","--","--"
"","1.25","Stile libero","1","25","0:38.6","13:08","2:35","2:35","52","153","159","13","--","--"
"","1.26","--","1","--","0:48.8","13:57","--","--","--","134","138","--","--","--"
"","","Riposo","0","0","0:06.9","14:04","0","0","0","124","126","0","0","1"
"","2","Stile libero","1","25","0:35.8","14:39","2:23","2:23","46","124","135","10","10","4"
"","2.1","Stile libero","1","25","0:35.8","0:35.8","2:23","2:23","46","124","135","10","--","--"
"","","Riposo","0","0","0:15.9","14:55","0","0","0","130","135","0","0","2"
"","3","Rana","1","25","1:06.6","16:02","2:29","2:29","44","137","152","7","7","11"
"","3.1","Rana","1","25","0:37.3","0:37.3","2:29","2:29","44","128","141","7","--","--"
"","3.2","--","1","--","0:29.2","1:06.6","--","--","--","149","152","--","--","--"
"","","Riposo","0","0","1:48.0","17:50","0","0","0","143","155","0","0","20"
"","4","Misto","4","100","4:22.3","22:12","1:48","1:01","33","138","153","26","7","44"
"","4.1","Rana","1","25","0:15.3","0:15.3","1:01","1:01","19","148","153","4","--","--"
"","4.2","Rana","1","25","0:33.1","0:48.4","2:12","2:12","39","126","135","6","--","--"
"","4.3","Stile libero","1","25","0:25.3","1:13.7","1:41","1:41","33","139","146","8","--","--"
"","4.4","Rana","1","25","0:33.9","1:47.6","2:16","2:16","42","147","150","8","--","--"
"","4.5","--","1","--","2:34.7","4:22.3","--","--","--","137","153","--","--","--"
"","","Riposo","0","0","0:40.1","22:52","0","0","0","124","130","0","0","5"
"","5","Stile libero","4","100","1:48.3","24:41","1:48","1:38","38","148","168","43","11","20"
"","5.1","Stile libero","1","25","0:27.2","0:27.2","1:49","1:49","38","126","138","11","--","--"
"","5.2","Stile libero","1","25","0:26.8","0:53.9","1:47","1:47","37","143","154","10","--","--"
"","5.3","Stile libero","1","25","0:29.9","1:23.8","1:59","1:59","42","158","164","12","--","--"
"","5.4","Stile libero","1","25","0:24.5","1:48.3","1:38","1:38","34","166","168","10","--","--"
"","","Riposo","0","0","0:31.3","25:12","0","0","0","149","168","0","0","6"
"","6","Stile libero","4","100","1:53.1","27:05","1:53","1:51","40","145","154","45","11","21"
"","6.1","Stile libero","1","25","0:28","0:28","1:52","1:52","38","134","144","10","--","--"
"","6.2","Stile libero","1","25","0:28.4","0:56.4","1:54","1:54","40","147","153","12","--","--"
"","6.3","Stile libero","1","25","0:27.9","1:24.3","1:51","1:51","39","152","154","11","--","--"
"","6.4","Stile libero","1","25","0:28.8","1:53.1","1:55","1:55","41","147","150","12","--","--"
"","","Riposo","0","0","0:35.6","27:41","0","0","0","139","146","0","0","6"
"","7","Stile libero","4","100","1:58.4","29:39","1:58","1:53","42","144","151","50","13","21"
"","7.1","Stile libero","1","25","0:28.3","0:28.3","1:53","1:53","41","137","148","13","--","--"
"","7.2","Stile libero","1","25","0:29.1","0:57.4","1:56","1:56","41","147","150","12","--","--"
"","7.3","Stile libero","1","25","0:29.5","1:26.9","1:58","1:58","42","143","147","12","--","--"
"","7.4","Stile libero","1","25","0:31.5","1:58.4","2:06","2:06","45","147","151","13","--","--"
"","","Riposo","0","0","1:03.6","30:43","0","0","0","132","151","0","0","9"
"","8","Stile libero","4","100","1:56.5","32:39","1:57","1:51","40","133","148","44","11","15"
"","8.1","Stile libero","1","25","0:28.6","0:28.6","1:55","1:55","39","119","129","10","--","--"
"","8.2","Stile libero","1","25","0:27.8","0:56.4","1:51","1:51","39","134","139","11","--","--"
"","8.3","Stile libero","1","25","0:31.5","1:27.9","2:06","2:06","44","139","143","12","--","--"
"","8.4","Stile libero","1","25","0:28.6","1:56.5","1:55","1:55","40","139","148","11","--","--"
"","","Riposo","0","0","1:12.3","33:52","0","0","0","133","151","0","0","10"
"","9","Stile libero","4","100","2:04.8","35:56","2:05","2:02","43","134","145","48","12","17"
"","9.1","Stile libero","1","25","0:30.6","0:30.6","2:03","2:03","43","122","133","12","--","--"
"","9.2","Stile libero","1","25","0:30.8","1:01.4","2:03","2:03","43","133","137","12","--","--"
"","9.3","Stile libero","1","25","0:32.8","1:34.2","2:11","2:11","46","137","142","13","--","--"
"","9.4","Stile libero","1","25","0:30.5","2:04.8","2:02","2:02","42","141","144","11","--","--"
"","","Riposo","0","0","0:46.0","36:42","0","0","0","132","145","0","0","6"
"","10","Misto","4","100","2:03.6","38:46","2:04","2:00","42","135","151","46","12","16"
"","10.1","Rana","1","25","0:30.1","0:30.1","2:00","2:00","41","123","136","11","--","--"
"","10.2","Stile libero","1","25","0:30.1","1:00.2","2:00","2:00","42","145","151","12","--","--"
"","10.3","Stile libero","1","25","0:32.4","1:32.6","2:10","2:10","44","137","151","12","--","--"
"","10.4","Stile libero","1","25","0:31.1","2:03.6","2:04","2:04","42","135","143","11","--","--"
"","","Riposo","0","0","0:55.5","39:41","0","0","0","132","146","0","0","7"
"","11","Stile libero","4","100","2:10.9","41:52","2:11","2:06","44","138","148","47","12","19"
"","11.1","Stile libero","1","25","0:32.1","0:32.1","2:08","2:08","44","125","140","12","--","--"
"","11.2","Stile libero","1","25","0:31.6","1:03.7","2:06","2:06","43","138","145","11","--","--"
"","11.3","Stile libero","1","25","0:32.4","1:36.1","2:10","2:10","44","143","146","12","--","--"
"","11.4","Stile libero","1","25","0:34.7","2:10.9","2:19","2:19","47","145","148","12","--","--"
"","","Riposo","0","0","2:07.7","44:00","0","0","0","116","148","0","0","9"
"","12","Stile libero","4","100","1:53.3","45:53","1:53","1:45","39","141","150","44","11","18"
"","12.1","Stile libero","1","25","0:29.3","0:29.3","1:57","1:57","40","122","137","11","--","--"
"","12.2","Stile libero","1","25","0:29.4","0:58.6","1:58","1:58","40","145","150","11","--","--"
"","12.3","Stile libero","1","25","0:28.4","1:27","1:54","1:54","39","148","150","11","--","--"
"","12.4","Stile libero","1","25","0:26.3","1:53.3","1:45","1:45","37","149","150","11","--","--"
"","","Riposo","0","0","0:32.2","46:25","0","0","0","146","151","0","0","6"
"","13","Misto","10","250","8:25.0","54:50","2:31","1:58","50","130","151","119","12","56"
"","13.1","Dorso","1","25","0:45.3","0:45.3","3:01","3:01","61","133","139","16","--","--"
"","13.2","Dorso","1","25","0:34","1:19.3","2:16","2:16","46","137","142","12","--","--"
