"","Ripetute","Stile","Vasche","Distanza","Tempo","Tempo cumulato","Passo medio","Passo migliore","Swolf medio","FC Media","FC max","Totale bracciate","Bracciate medie","Calorie"
"","1","Misto","10","250","5:35.7","5:35.7","2:14","2:02","44","114","127","102","10","40"
"","1.1","Rana","1","25","0:31.9","0:31.9","2:08","2:08","41","85","98","9","--","--"
"","1.2","Rana","1","25","0:31.1","1:03.1","2:05","2:05","41","104","107","10","--","--"
"","1.3","Rana","1","25","0:30.6","1:33.6","2:02","2:02","41","110","116","10","--","--"
"","1.4","Rana","1","25","0:31.4","2:05.1","2:06","2:06","41","115","118","10","--","--"
"","1.5","Rana","1","25","0:31.2","2:36.2","2:05","2:05","40","116","119","9","--","--"
"","1.6","Rana","1","25","0:32.6","3:08.8","2:10","2:10","44","118","119","11","--","--"
"","1.7","Rana","1","25","0:32.7","3:41.5","2:11","2:11","44","120","121","11","--","--"
"","1.8","Stile libero","1","25","0:33.6","4:15.1","2:14","2:14","45","119","121","11","--","--"
"","1.9","Rana","1","25","0:32.6","4:47.7","2:11","2:11","43","121","123","10","--","--"
"","1.10","Rana","1","25","0:48.0","5:35.7","3:12","3:12","59","124","127","11","--","--"
"","","Riposo","0","0","0:09.4","5:45.1","0","0","0","117","120","0","0","1"
"","2","Dorso","6","150","3:57.2","9:42.3","2:25","2:10","49","129","150","77","13","37"
"","2.1","Dorso","1","25","0:36.3","0:36.3","2:25","2:25","49","112","118","13","--","--"
"","2.2","Dorso","1","25","0:34.9","1:11.2","2:20","2:20","47","119","120","12","--","--"
"","2.3","Dorso","1","25","0:36.9","1:48.1","2:27","2:27","49","129","137","12","--","--"
"","2.4","Dorso","1","25","0:39.9","2:27.9","2:39","2:39","54","135","138","14","--","--"
"","2.5","Dorso","1","25","0:37.1","3:05.1","2:29","2:29","51","134","140","14","--","--"
"","2.6","Dorso","1","25","0:32.5","3:37.6","2:10","2:10","45","133","135","12","--","--"
"","2.7","--","1","--","0:19.6","3:57.2","--","--","--","144","150","--","--","--"
"","","Riposo","0","0","0:03.4","9:45.6","0","0","0","146","147","0","0","1"
"","3","Rana","4","100","2:33.9","12:19","2:34","2:10","58","138","145","78","20","28"
