"","Ripetute","Stile","Vasche","Distanza","Tempo","Tempo cumulato","Passo medio","Passo migliore","Swolf medio","FC Media","FC max","Totale bracciate","Bracciate medie","Calorie"
"","1","Misto","18","450","10:57","10:57","2:26","1:40","50","131","155","244","14","107"
"","1.1","Stile libero","1","25","0:30.1","0:30.1","2:00","2:00","40","90","103","10","--","--"
"","1.2","Stile libero","1","25","0:24.9","0:54.9","1:40","1:40","35","105","107","10","--","--"
"","1.3","Stile libero","1","25","0:30.5","1:25.4","2:02","2:02","41","104","108","10","--","--"
"","1.4","Stile libero","1","25","0:32.9","1:58.3","2:12","2:12","44","115","121","11","--","--"
"","1.5","Rana","1","25","0:36","2:34.3","2:24","2:24","53","123","134","17","--","--"
"","1.6","Rana","1","25","0:38.5","3:12.8","2:34","2:34","56","133","135","17","--","--"
"","1.7","Rana","1","25","0:36.6","3:49.4","2:26","2:26","54","128","133","17","--","--"
"","1.8","Rana","1","25","0:37.6","4:27.0","2:31","2:31","56","129","132","18","--","--"
"","1.9","Dorso","1","25","0:39.8","5:06.7","2:39","2:39","54","125","127","14","--","--"
"","1.10","Dorso","1","25","0:48.2","5:54.9","3:13","3:13","63","139","148","15","--","--"
"","1.11","Dorso","1","25","0:38.4","6:33.3","2:34","2:34","52","152","155","14","--","--"
"","1.12","Dorso","1","25","0:40.8","7:14.1","2:43","2:43","57","152","154","16","--","--"
"","1.13","Stile libero","1","25","0:41.8","7:55.9","2:47","2:47","56","148","155","14","--","--"
"","1.14","Stile libero","1","25","0:36.4","8:32.3","2:26","2:26","48","140","142","12","--","--"
"","1.15","Stile libero","1","25","0:35.8","9:08.1","2:23","2:23","50","137","140","14","--","--"
"","1.16","Stile libero","1","25","0:33.1","9:41.2","2:12","2:12","43","134","138","10","--","--"
"","1.17","Stile libero","1","25","0:35.4","10:17","2:21","2:21","47","137","139","12","--","--"
"","1.18","Stile libero","1","25","0:40.3","10:57","2:41","2:41","53","138","140","13","--","--"
"","","Riposo","0","0","0:37.7","11:35","0","0","0","125","136","0","0","5"
"","2","Rana","2","50","0:59.0","12:34","1:58","1:52","36","132","143","13","7","8"
"","2.1","Rana","1","25","0:28","0:28","1:52","1:52","34","123","135","6","--","--"
"","2.2","Rana","1","25","0:31.0","0:59.0","2:04","2:04","38","139","142","7","--","--"
"","","Riposo","0","0","0:24.0","12:58","0","0","0","140","143","0","0","4"
"","3","Misto","2","50","0:53.4","13:51","1:47","1:26","33","137","150","13","7","9"
"","3.1","Rana","1","25","0:31.9","0:31.9","2:08","2:08","40","134","138","8","--","--"
"","3.2","Stile libero","1","25","0:21.5","0:53.4","1:26","1:26","26","141","149","5","--","--"
"","","Riposo","0","0","0:22.1","14:13","0","0","0","149","151","0","0","5"
"","4","Stile libero","2","50","0:58.9","15:12","1:58","1:52","36","139","148","14","7","10"
"","4.1","Stile libero","1","25","0:28.1","0:28.1","1:52","1:52","34","139","145","6","--","--"
"","4.2","Stile libero","1","25","0:30.8","0:58.9","2:03","2:03","39","138","146","8","--","--"
"","","Riposo","0","0","0:22.6","15:35","0","0","0","142","148","0","0","4"
"","5","Stile libero","2","50","0:50.3","16:25","1:41","1:32","32","137","156","14","7","8"
"","5.1","Stile libero","1","25","0:27.3","0:27.3","1:49","1:49","34","130","137","7","--","--"
"","5.2","Stile libero","1","25","0:23.1","0:50.3","1:32","1:32","30","146","155","7","--","--"
"","","Riposo","0","0","0:31.1","16:56","0","0","0","152","158","0","0","7"
"","6","Stile libero","2","50","0:56.4","17:52","1:53","1:47","37","137","144","17","9","9"
"","6.1","Stile libero","1","25","0:29.6","0:29.6","1:58","1:58","39","132","139","9","--","--"
"","6.2","Stile libero","1","25","0:26.8","0:56.4","1:47","1:47","35","141","144","8","--","--"
"","","Riposo","0","0","0:19.5","18:12","0","0","0","145","148","0","0","4"
"","7","Stile libero","2","50","0:51.0","19:03","1:42","1:34","34","143","154","17","9","9"
"","7.1","Stile libero","1","25","0:27.5","0:27.5","1:50","1:50","38","136","143","10","--","--"
"","7.2","Stile libero","1","25","0:23.5","0:51.0","1:34","1:34","30","149","154","7","--","--"
"","","Riposo","0","0","0:23.8","19:27","0","0","0","151","156","0","0","5"
"","8","Stile libero","2","50","0:51.8","20:18","1:44","1:35","34","143","154","17","9","9"
