"","Ripetute","Stile","Vasche","Distanza","Tempo","Tempo cumulato","Passo medio","Passo migliore","Swolf medio","FC Media","FC max","Totale bracciate","Bracciate medie","Calorie"
"","1","Misto","9","225","5:36.5","5:36.5","2:29","1:58","50","131","144","112","12","58"
"","1.1","Stile libero","1","25","0:35.1","0:35.1","2:20","2:20","45","106","124","10","--","--"
"","1.2","Stile libero","1","25","0:29.6","1:04.8","1:58","1:58","40","133","143","10","--","--"
"","1.3","Rana","1","25","1:10.4","2:15.1","4:42","4:42","95","138","144","25","--","--"
"","1.4","Stile libero","1","25","0:31.6","2:46.7","2:06","2:06","43","136","136","11","--","--"
"","1.5","Stile libero","1","25","0:34.3","3:20.9","2:17","2:17","45","132","135","11","--","--"
"","1.6","Rana","1","25","0:31.1","3:52.1","2:05","2:05","41","131","133","10","--","--"
"","1.7","Stile libero","1","25","0:33.5","4:25.6","2:14","2:14","45","131","133","11","--","--"
"","1.8","Rana","1","25","0:31.8","4:57.4","2:07","2:07","43","131","135","11","--","--"
"","1.9","Stile libero","1","25","0:39.2","5:36.5","2:37","2:37","52","134","138","13","--","--"
"","","Riposo","0","0","0:14.2","5:50.7","0","0","0","133","137","0","0","2"
"","2","Misto","9","225","4:56.2","10:47","2:12","1:23","44","142","152","100","11","56"
"","2.1","Dorso","1","25","0:34.1","0:34.1","2:16","2:16","46","122","129","12","--","--"
"","2.2","Dorso","1","25","0:36.3","1:10.4","2:25","2:25","48","134","138","12","--","--"
"","2.3","Dorso","1","25","0:33.8","1:44.2","2:15","2:15","46","144","145","12","--","--"
"","2.4","Dorso","1","25","0:38.3","2:22.5","2:33","2:33","51","146","148","13","--","--"
"","2.5","Dorso","1","25","0:42.4","3:04.9","2:49","2:49","57","147","149","15","--","--"
"","2.6","Dorso","1","25","0:33.3","3:38.2","2:13","2:13","44","147","152","11","--","--"
"","2.7","Dorso","1","25","0:31.8","4:10.0","2:07","2:07","43","149","152","11","--","--"
"","2.8","Rana","1","25","0:20.9","4:30.9","1:23","1:23","27","145","147","6","--","--"
"","2.9","Dorso","1","25","0:25.4","4:56.2","1:41","1:41","33","140","141","8","--","--"
"","","Riposo","0","0","0:43.1","11:30","0","0","0","130","142","0","0","7"
"","3","Rana","4","100","2:27.4","13:57","2:27","2:09","58","143","157","84","21","27"
"","3.1","Rana","1","25","0:32.3","0:32.3","2:09","2:09","51","125","139","19","--","--"
"","3.2","Rana","1","25","0:33.7","1:06.0","2:15","2:15","55","147","152","21","--","--"
"","3.3","Rana","1","25","0:47.2","1:53.2","3:09","3:09","71","144","153","24","--","--"
"","3.4","Rana","1","25","0:34.2","2:27.4","2:17","2:17","54","155","157","20","--","--"
"","","Riposo","0","0","0:59.4","14:57","0","0","0","133","156","0","0","9"
