"","Ripetute","Stile","Vasche","Distanza","Tempo","Tempo cumulato","Passo medio","Passo migliore","Swolf medio","FC Media","FC max","Totale bracciate","Bracciate medie","Calorie"
"","1","Misto","16","400","10:01","10:01","2:30","2:02","51","124","146","214","13","88"
"","1.1","Stile libero","1","25","0:32.3","0:32.3","2:09","2:09","42","106","118","10","--","--"
"","1.2","Stile libero","1","25","0:30.4","1:02.7","2:02","2:02","40","125","130","10","--","--"
"","1.3","Rana","1","25","0:32.8","1:35.5","2:11","2:11","44","134","138","11","--","--"
"","1.4","Rana","1","25","0:32.6","2:08.1","2:10","2:10","43","132","135","10","--","--"
"","1.5","Rana","1","25","0:33.8","2:41.9","2:15","2:15","44","130","132","10","--","--"
"","1.6","Stile libero","1","25","0:32.5","3:14.4","2:10","2:10","44","119","126","11","--","--"
"","1.7","Rana","1","25","0:34","3:48.4","2:16","2:16","45","106","110","11","--","--"
"","1.8","Rana","1","25","0:34.8","4:23.2","2:19","2:19","45","103","105","10","--","--"
"","1.9","Rana","1","25","0:41.8","5:05.0","2:47","2:47","63","106","117","21","--","--"
"","1.10","Rana","1","25","0:42.3","5:47.3","2:49","2:49","62","126","132","20","--","--"
"","1.11","Rana","1","25","0:38.4","6:25.7","2:34","2:34","59","129","135","21","--","--"
"","1.12","Rana","1","25","0:33.6","6:59.3","2:14","2:14","48","134","142","14","--","--"
"","1.13","Dorso","1","25","0:49.8","7:49.1","3:19","3:19","64","131","146","14","--","--"
"","1.14","Dorso","1","25","0:47","8:36.1","3:08","3:08","62","129","133","15","--","--"
"","1.15","Dorso","1","25","0:43.8","9:19.9","2:55","2:55","57","128","134","13","--","--"
"","1.16","Dorso","1","25","0:40.6","10:01","2:43","2:43","54","140","144","13","--","--"
"","","Riposo","0","0","0:47.7","10:48","0","0","0","122","143","0","0","7"
"","2","Rana","2","50","0:53.2","11:41","1:46","1:33","33","122","137","13","7","7"
"","2.1","Rana","1","25","0:30","0:30","2:00","2:00","37","113","128","7","--","--"
"","2.2","Rana","1","25","0:23.2","0:53.2","1:33","1:33","29","131","137","6","--","--"
"","","Riposo","0","0","0:35.5","12:17","0","0","0","127","137","0","0","5"
"","3","Rana","2","50","0:49.7","13:07","1:39","1:36","31","123","143","12","6","6"
"","3.1","Rana","1","25","0:25.6","0:25.6","1:42","1:42","33","110","121","7","--","--"
"","3.2","Rana","1","25","0:24.0","0:49.7","1:36","1:36","29","135","143","5","--","--"
"","","Riposo","0","0","0:26.0","13:33","0","0","0","142","148","0","0","5"
"","4","Rana","2","50","0:49.8","14:22","1:40","1:24","31","135","145","13","7","9"
