"","Ripetute","Stile","Vasche","Distanza","Tempo","Tempo cumulato","Passo medio","Passo migliore","Swolf medio","FC Media","FC max","Totale bracciate","Bracciate medie","Calorie"
"","1","Misto","20","500","12:04","12:04","2:25","1:50","51","114","130","287","14","84"
"","1.1","Stile libero","1","25","0:35.4","0:35.4","2:21","2:21","46","85","100","11","--","--"
"","1.2","Stile libero","1","25","0:29.6","1:05","1:58","1:58","41","100","106","11","--","--"
"","1.3","Stile libero","1","25","0:27.4","1:32.4","1:50","1:50","37","116","120","10","--","--"
"","1.4","Stile libero","1","25","0:32.2","2:04.6","2:09","2:09","44","115","121","12","--","--"
"","1.5","Stile libero","1","25","0:30.9","2:35.5","2:04","2:04","42","113","115","11","--","--"
"","1.6","Stile libero","1","25","0:32.1","3:07.6","2:08","2:08","43","117","120","11","--","--"
"","1.7","Stile libero","1","25","0:36.7","3:44.2","2:27","2:27","51","120","123","14","--","--"
"","1.8","Stile libero","1","25","0:30.8","4:15.1","2:03","2:03","41","120","123","10","--","--"
"","1.9","Rana","1","25","0:42","4:57.1","2:48","2:48","60","122","124","18","--","--"
"","1.10","Rana","1","25","0:37.8","5:34.9","2:31","2:31","55","120","123","17","--","--"
"","1.11","Rana","1","25","0:39","6:13.9","2:36","2:36","57","119","120","18","--","--"
"","1.12","Rana","1","25","0:33.5","6:47.4","2:14","2:14","50","116","118","16","--","--"
"","1.13","Rana","1","25","0:40.8","7:28.2","2:43","2:43","59","115","117","18","--","--"
"","1.14","Rana","1","25","0:32.4","8:00.6","2:10","2:10","48","111","117","16","--","--"
"","1.15","Rana","1","25","0:40.5","8:41.1","2:42","2:42","59","107","109","18","--","--"
"","1.16","Rana","1","25","0:42.7","9:23.7","2:51","2:51","63","106","109","20","--","--"
"","1.17","Dorso","1","25","0:43.7","10:07","2:55","2:55","59","114","122","15","--","--"
"","1.18","Dorso","1","25","0:39.3","10:47","2:37","2:37","53","126","130","14","--","--"
"","1.19","Dorso","1","25","0:36.6","11:23","2:26","2:26","51","123","128","14","--","--"
"","1.20","Dorso","1","25","0:40.3","12:04","2:41","2:41","53","118","121","13","--","--"
"","","Riposo","0","0","0:32.5","12:36","0","0","0","129","140","0","0","5"
"","2","Stile libero","2","50","1:01.2","13:37","2:02","1:33","37","131","143","13","7","10"
"","2.1","Stile libero","1","25","0:37.9","0:37.9","2:32","2:32","46","125","130","8","--","--"
"","2.2","Stile libero","1","25","0:23.2","1:01.2","1:33","1:33","28","139","142","5","--","--"
"","","Riposo","0","0","0:26.9","14:04","0","0","0","139","145","0","0","5"
"","3","Stile libero","2","50","0:56.9","15:01","1:54","1:35","35","131","139","14","7","9"
"","3.1","Stile libero","1","25","0:33.2","0:33.2","2:13","2:13","40","128","132","7","--","--"
"","3.2","Stile libero","1","25","0:23.8","0:56.9","1:35","1:35","31","135","139","7","--","--"
"","","Riposo","0","0","0:14.9","15:16","0","0","0","139","140","0","0","3"
"","4","Misto","2","50","0:56.5","16:12","1:53","1:40","36","133","139","16","8","9"
"","4.1","Rana","1","25","0:31.6","0:31.6","2:06","2:06","42","132","137","10","--","--"
"","4.2","Stile libero","1","25","0:25.0","0:56.5","1:40","1:40","31","134","139","6","--","--"
"","","Riposo","0","0","1:12.0","17:24","0","0","0","133","139","0","0","11"
"","","Riposo","0","0","0:06.2","17:31","0","0","0","138","139","0","0","1"
"","","Riposo","0","0","0:10.5","17:41","0","0","0","135","137","0","0","2"
"","5","Stile libero","2","50","0:55.6","18:37","1:51","1:34","36","132","141","16","8","9"
"","5.1","Stile libero","1","25","0:32.1","0:32.1","2:08","2:08","41","129","137","9","--","--"
"","5.2","Stile libero","1","25","0:23.5","0:55.6","1:34","1:34","31","136","141","7","--","--"
"","","Riposo","0","0","0:16.0","18:53","0","0","0","139","141","0","0","3"
"","6","Stile libero","2","50","0:58.3","19:51","1:57","1:50","37","133","142","15","8","9"
"","6.1","Stile libero","1","25","0:27.5","0:27.5","1:50","1:50","36","131","135","8","--","--"
"","6.2","Stile libero","1","25","0:30.8","0:58.3","2:03","2:03","38","135","142","7","--","--"
"","","Riposo","0","0","0:17.7","20:09","0","0","0","139","141","0","0","3"
"","7","Stile libero","2","50","0:55.9","21:05","1:52","1:51","36","135","138","16","8","9"
"","7.1","Stile libero","1","25","0:28.1","0:28.1","1:52","1:52","37","133","136","9","--","--"
"","7.2","Stile libero","1","25","0:27.8","0:55.9","1:51","1:51","35","136","138","7","--","--"
"","","Riposo","0","0","0:19.1","21:24","0","0","0","137","140","0","0","3"
"","8","Stile libero","2","50","0:54.3","22:18","1:49","1:45","35","131","143","15","8","8"
"","8.1","Stile libero","1","25","0:26.4","0:26.4","1:45","1:45","34","129","132","8","--","--"
"","8.2","Stile libero","1","25","0:27.9","0:54.3","1:52","1:52","35","133","140","7","--","--"
"","","Riposo","0","0","1:18.0","23:36","0","0","0","123","144","0","0","9"
"","9","Stile libero","4","100","1:55.6","25:32","1:56","1:43","41","127","144","48","12","14"
"","9.1","Stile libero","1","25","0:28.2","0:28.2","1:53","1:53","40","113","120","12","--","--"
"","9.2","Stile libero","1","25","0:31.8","0:59.9","2:07","2:07","46","125","134","14","--","--"
"","9.3","Stile libero","1","25","0:25.7","1:25.6","1:43","1:43","36","132","135","10","--","--"
"","9.4","Stile libero","1","25","0:30.0","1:55.6","2:00","2:00","42","136","143","12","--","--"
"","","Riposo","0","0","0:19.1","25:51","0","0","0","142","144","0","0","3"
"","10","Stile libero","4","100","2:03.5","27:54","2:03","1:49","43","131","145","49","12","17"
"","10.1","Stile libero","1","25","0:29.8","0:29.8","1:59","1:59","42","136","138","12","--","--"
"","10.2","Stile libero","1","25","0:34.7","1:04.4","2:19","2:19","49","141","145","14","--","--"
"","10.3","Stile libero","1","25","0:31.7","1:36.1","2:07","2:07","44","132","145","12","--","--"
"","10.4","Stile libero","1","25","0:27.3","2:03.5","1:49","1:49","38","112","114","11","--","--"
"","","Riposo","0","0","0:21.0","28:15","0","0","0","127","145","0","0","2"
"","11","Stile libero","4","100","1:59.1","30:14","1:59","1:52","42","146","153","49","12","23"
"","11.1","Stile libero","1","25","0:27.9","0:27.9","1:52","1:52","38","136","141","10","--","--"
"","11.2","Stile libero","1","25","0:32.6","1:00.6","2:11","2:11","47","145","149","14","--","--"
"","11.3","Stile libero","1","25","0:28.2","1:28.7","1:53","1:53","40","149","151","12","--","--"
"","11.4","Stile libero","1","25","0:30.4","1:59.1","2:02","2:02","43","153","153","13","--","--"
"","","Riposo","0","0","0:20.0","30:34","0","0","0","148","153","0","0","4"
"","12","Stile libero","4","100","2:00.1","32:34","2:00","1:55","43","133","149","51","13","16"
"","12.1","Stile libero","1","25","0:30.3","0:30.3","2:01","2:01","43","138","142","13","--","--"
"","12.2","Stile libero","1","25","0:32.3","1:02.6","2:09","2:09","46","143","148","14","--","--"
"","12.3","Stile libero","1","25","0:28.8","1:31.3","1:55","1:55","41","130","149","12","--","--"
"","12.4","Stile libero","1","25","0:28.8","2:00.1","1:55","1:55","41","118","120","12","--","--"
"","","Riposo","0","0","0:24.5","32:59","0","0","0","125","142","0","0","2"
"","13","Stile libero","4","100","2:03.8","35:03","2:04","2:00","44","143","154","52","13","21"
"","13.1","Stile libero","1","25","0:30.3","0:30.3","2:01","2:01","43","131","138","13","--","--"
"","13.2","Stile libero","1","25","0:32.3","1:02.6","2:09","2:09","45","141","145","13","--","--"
"","13.3","Stile libero","1","25","0:30.1","1:32.6","2:00","2:00","43","149","154","13","--","--"
"","13.4","Stile libero","1","25","0:31.2","2:03.8","2:05","2:05","44","150","154","13","--","--"
"","","Riposo","0","0","0:26.6","35:29","0","0","0","144","152","0","0","5"
"","14","Stile libero","4","100","1:55.4","37:25","1:55","1:42","42","144","155","52","13","20"
"","14.1","Stile libero","1","25","0:31.3","0:31.3","2:05","2:05","45","130","134","14","--","--"
"","14.2","Stile libero","1","25","0:25.5","0:56.8","1:42","1:42","37","145","150","11","--","--"
"","14.3","Stile libero","1","25","0:31.7","1:28.5","2:07","2:07","47","150","152","15","--","--"
"","14.4","Stile libero","1","25","0:26.9","1:55.4","1:48","1:48","39","150","152","12","--","--"
"","","Riposo","0","0","0:29.0","37:54","0","0","0","151","156","0","0","6"
"","15","Stile libero","4","100","1:59.7","39:53","2:00","1:52","43","149","156","51","13","22"
"","15.1","Stile libero","1","25","0:27.9","0:27.9","1:52","1:52","40","140","148","12","--","--"
"","15.2","Stile libero","1","25","0:30.3","0:58.2","2:01","2:01","43","151","155","13","--","--"
"","15.3","Stile libero","1","25","0:30.9","1:29.1","2:03","2:03","44","154","156","13","--","--"
"","15.4","Stile libero","1","25","0:30.6","1:59.7","2:03","2:03","44","151","153","13","--","--"
"","","Riposo","0","0","0:30.3","40:24","0","0","0","153","158","0","0","6"
"","16","Stile libero","4","100","2:03.0","42:27","2:03","1:58","44","153","168","55","14","24"
"","16.1","Stile libero","1","25","0:30","0:30","2:00","2:00","43","155","166","13","--","--"
"","16.2","Stile libero","1","25","0:32.6","1:02.6","2:11","2:11","48","162","168","15","--","--"
"","16.3","Stile libero","1","25","0:29.5","1:32.1","1:58","1:58","43","150","156","13","--","--"
"","16.4","Stile libero","1","25","0:30.8","2:03.0","2:03","2:03","45","142","150","14","--","--"
"","","Riposo","0","0","0:41.0","43:08","0","0","0","143","154","0","0","7"
"","17","Misto","16","400","10:40","53:48","2:40","1:53","55","138","152","238","15","88"
"","17.1","Rana","1","25","0:45.6","0:45.6","3:02","3:02","66","134","145","20","--","--"
"","17.2","Rana","1","25","0:38.6","1:24.2","2:35","2:35","58","147","152","19","--","--"
"","17.3","Rana","1","25","0:28.3","1:52.5","1:53","1:53","42","145","151","14","--","--"
"","17.4","Rana","1","25","0:45.5","2:38.0","3:02","3:02","67","143","146","21","--","--"
"","17.5","Dorso","1","25","0:39.5","3:17.5","2:38","2:38","53","142","147","13","--","--"
"","17.6","Dorso","1","25","0:54.6","4:12.1","3:38","3:38","72","144","147","17","--","--"
"","17.7","Dorso","1","25","0:42.1","4:54.1","2:48","2:48","57","144","147","15","--","--"
"","17.8","Dorso","1","25","0:46.8","5:40.9","3:07","3:07","64","147","152","17","--","--"
"","17.9","Stile libero","1","25","0:45.3","6:26.2","3:01","3:01","59","140","152","14","--","--"
"","17.10","Stile libero","1","25","0:30.3","6:56.5","2:01","2:01","41","129","134","11","--","--"
"","17.11","Stile libero","1","25","0:34.8","7:31.3","2:19","2:19","47","132","134","12","--","--"
"","17.12","Stile libero","1","25","0:43.9","8:15.2","2:56","2:56","60","131","133","16","--","--"
"","17.13","Stile libero","1","25","0:30.4","8:45.6","2:02","2:02","41","131","132","11","--","--"
"","17.14","Stile libero","1","25","0:36","9:21.6","2:24","2:24","48","130","132","12","--","--"
"","17.15","Stile libero","1","25","0:39.1","10:01","2:36","2:36","52","130","134","13","--","--"
"","17.16","Stile libero","1","25","0:39.2","10:40","2:37","2:37","52","130","134","13","--","--"
"","Riepilogo","--","82","2,050","53:48","53:48","2:13","1:33","46","133","168","1,037","13","472"
