"","Ripetute","Stile","Vasche","Distanza","Tempo","Tempo cumulato","Passo medio","Passo migliore","Swolf medio","FC Media","FC max","Totale bracciate","Bracciate medie","Calorie"
"","1","Misto","18","450","10:43","10:43","2:19","0:55","48","126","160","231","13","98"
"","1.1","Stile libero","1","25","0:37.4","0:37.4","2:30","2:30","49","84","103","12","--","--"
"","1.2","Stile libero","1","25","0:31.1","1:08.5","2:04","2:04","41","108","115","10","--","--"
"","1.3","Stile libero","1","25","0:39.7","1:48.2","2:39","2:39","52","112","115","12","--","--"
"","1.4","Rana","1","25","0:31.5","2:19.7","2:06","2:06","41","118","121","9","--","--"
"","1.5","Rana","1","25","0:33.8","2:53.5","2:15","2:15","44","98","101","10","--","--"
"","1.6","Rana","1","25","0:28.8","3:22.3","1:55","1:55","43","99","106","14","--","--"
"","1.7","Rana","1","25","0:44.3","4:06.6","2:57","2:57","63","107","110","19","--","--"
"","1.8","Rana","1","25","0:41.1","4:47.7","2:44","2:44","61","108","116","20","--","--"
"","1.9","Rana","1","25","0:43.5","5:31.2","2:54","2:54","63","128","133","19","--","--"
"","1.10","Rana","1","25","0:33.8","6:05.1","2:15","2:15","52","131","147","18","--","--"
"","1.11","Dorso","1","25","0:51.9","6:57.0","3:28","3:28","69","146","153","17","--","--"
"","1.12","Dorso","1","25","0:39.1","7:36.1","2:36","2:36","53","146","150","14","--","--"
"","1.13","Rana","1","25","0:13.8","7:49.9","0:55","0:55","18","141","149","4","--","--"
"","1.14","Dorso","1","25","0:28.4","8:18.3","1:54","1:54","39","151","153","11","--","--"
"","1.15","Rana","1","25","0:16.1","8:34.4","1:05","1:05","20","149","151","4","--","--"
"","1.16","Dorso","1","25","0:29.8","9:04.2","1:59","1:59","41","156","160","11","--","--"
"","1.17","Stile libero","1","25","0:44.4","9:48.6","2:58","2:58","60","153","157","16","--","--"
"","1.18","Stile libero","1","25","0:38.1","10:27","2:32","2:32","49","141","148","11","--","--"
"","1.19","--","1","--","0:16.2","10:43","--","--","--","128","133","--","--","--"
"","","Riposo","0","0","0:34.1","11:17","0","0","0","115","122","0","0","3"
"","2","Stile libero","2","50","1:03.3","12:20","2:07","1:33","38","125","135","13","7","8"
"","2.1","Stile libero","1","25","0:40","0:40","2:40","2:40","49","119","129","9","--","--"
"","2.2","Stile libero","1","25","0:23.3","1:03.3","1:33","1:33","27","134","135","4","--","--"
"","","Riposo","0","0","0:19.5","12:40","0","0","0","135","137","0","0","3"
"","3","Rana","1","25","0:57.5","13:37","2:26","2:26","46","133","140","10","10","9"
"","3.1","Rana","1","25","0:36.4","0:36.4","2:26","2:26","46","130","138","10","--","--"
"","3.2","--","1","--","0:21.1","0:57.5","--","--","--","138","140","--","--","--"
"","","Riposo","0","0","0:26.2","14:04","0","0","0","135","139","0","0","4"
"","4","Rana","2","50","1:01.2","15:05","2:02","1:24","40","128","132","19","10","8"
"","4.1","Rana","1","25","0:40.1","0:40.1","2:41","2:41","51","126","130","11","--","--"
"","4.2","Rana","1","25","0:21.1","1:01.2","1:24","1:24","29","130","132","8","--","--"
