"","Ripetute","Stile","Vasche","Distanza","Tempo","Tempo cumulato","Passo medio","Passo migliore","Swolf medio","FC Media","FC max","Totale bracciate","Bracciate medie","Calorie"
"","1","Misto","19","475","10:49","10:49","2:17","1:30","47","124","147","236","12","93"
"","1.1","Stile libero","1","25","0:31.7","0:31.7","2:07","2:07","44","82","98","12","--","--"
"","1.2","Stile libero","1","25","0:37.2","1:08.9","2:29","2:29","49","105","115","12","--","--"
"","1.3","Stile libero","1","25","0:26.1","1:35.0","1:44","1:44","35","114","115","9","--","--"
"","1.4","Stile libero","1","25","0:34","2:09.0","2:16","2:16","46","112","115","12","--","--"
"","1.5","Stile libero","1","25","0:27.6","2:36.6","1:50","1:50","36","109","111","8","--","--"
"","1.6","Stile libero","1","25","0:38.4","3:15.0","2:34","2:34","51","113","116","13","--","--"
"","1.7","Rana","1","25","0:30.9","3:45.9","2:03","2:03","42","132","136","11","--","--"
"","1.8","Stile libero","1","25","0:28.4","4:14.2","1:54","1:54","37","133","135","9","--","--"
"","1.9","Rana","1","25","0:40.1","4:54.4","2:41","2:41","54","123","130","14","--","--"
"","1.10","Rana","1","25","0:27.6","5:22.0","1:50","1:50","37","126","128","9","--","--"
"","1.11","Stile libero","1","25","0:39.1","6:01.1","2:36","2:36","53","116","125","14","--","--"
"","1.12","Rana","1","25","0:28.6","6:29.7","1:55","1:55","43","117","121","14","--","--"
"","1.13","Rana","1","25","0:42.9","7:12.6","2:52","2:52","62","126","144","19","--","--"
"","1.14","Rana","1","25","0:35.5","7:48.1","2:22","2:22","54","145","147","18","--","--"
"","1.15","Dorso","1","25","0:35.4","8:23.5","2:21","2:21","49","143","147","14","--","--"
"","1.16","Rana","1","25","0:45.1","9:08.6","3:00","3:00","67","141","145","22","--","--"
"","1.17","Stile libero","1","25","0:41.2","9:49.7","2:45","2:45","54","137","142","13","--","--"
"","1.18","Rana","1","25","0:22.6","10:12","1:30","1:30","30","137","140","7","--","--"
"","1.19","Dorso","1","25","0:36.3","10:49","2:25","2:25","42","129","134","6","--","--"
"","","Riposo","0","0","0:40.9","11:30","0","0","0","127","135","0","0","6"
"","2","Stile libero","2","50","1:00.5","12:30","2:01","2:01","40","131","139","19","10","9"
"","2.1","Stile libero","1","25","0:30.3","0:30.3","2:01","2:01","40","125","137","10","--","--"
"","2.2","Stile libero","1","25","0:30.2","1:00.5","2:01","2:01","39","137","139","9","--","--"
"","","Riposo","0","0","0:15.2","12:45","0","0","0","138","142","0","0","3"
"","3","Rana","2","50","1:01.7","13:47","2:03","2:03","41","137","142","21","11","11"
"","3.1","Rana","1","25","0:31","0:31","2:04","2:04","42","134","138","11","--","--"
"","3.2","Rana","1","25","0:30.7","1:01.7","2:03","2:03","41","140","142","10","--","--"
"","","Riposo","0","0","0:14.5","14:01","0","0","0","140","142","0","0","3"
"","4","Stile libero","2","50","1:03.6","15:05","2:07","2:01","43","137","143","22","11","11"
"","4.1","Stile libero","1","25","0:33.4","0:33.4","2:14","2:14","45","136","140","12","--","--"
