"","Ripetute","Stile","Vasche","Distanza","Tempo","Tempo cumulato","Passo medio","Passo migliore","Swolf medio","FC Media","FC max","Totale bracciate","Bracciate medie","Calorie"
"","1","Misto","24","600","13:34","13:34","2:07","0:59","42","133","156","249","10","140"
"","1.1","Rana","1","25","0:34.4","0:34.4","2:18","2:18","46","86","102","12","--","--"
"","1.2","Stile libero","1","25","0:30.1","1:04.6","2:00","2:00","38","109","113","8","--","--"
"","1.3","Stile libero","1","25","0:24.2","1:28.7","1:37","1:37","32","112","114","8","--","--"
"","1.4","Stile libero","1","25","0:39.5","2:08.2","2:38","2:38","50","119","123","10","--","--"
"","1.5","Stile libero","1","25","0:27.8","2:36.1","1:51","1:51","37","115","122","9","--","--"
"","1.6","Stile libero","1","25","0:33.8","3:09.9","2:15","2:15","44","122","128","10","--","--"
"","1.7","Stile libero","1","25","0:40.4","3:50.2","2:42","2:42","52","129","132","12","--","--"
"","1.8","Dorso","1","25","0:27.9","4:18.2","1:52","1:52","40","130","133","12","--","--"
"","1.9","Dorso","1","25","0:39.8","4:58.0","2:39","2:39","55","139","153","15","--","--"
"","1.10","Rana","1","25","0:42.1","5:40.1","2:49","2:49","62","150","154","20","--","--"
"","1.11","Rana","1","25","0:16.1","5:56.2","1:05","1:05","20","153","155","4","--","--"
"","1.12","Dorso","1","25","0:23.5","6:19.7","1:34","1:34","34","149","152","10","--","--"
"","1.13","Stile libero","1","25","0:36","6:55.7","2:24","2:24","47","150","156","11","--","--"
"","1.14","Stile libero","1","25","0:53.5","7:49.2","3:34","3:34","69","141","151","15","--","--"
"","1.15","Dorso","1","25","0:30.3","8:19.6","2:01","2:01","42","129","134","12","--","--"
"","1.16","Rana","1","25","0:14.7","8:34.2","0:59","0:59","19","134","137","4","--","--"
"","1.17","Rana","1","25","0:27.6","9:01.9","1:50","1:50","41","142","149","13","--","--"
"","1.18","Rana","1","25","0:26.9","9:28.7","1:48","1:48","33","147","148","6","--","--"
"","1.19","Stile libero","1","25","0:21.6","9:50.4","1:27","1:27","29","143","148","7","--","--"
"","1.20","Stile libero","1","25","0:33.3","10:24","2:13","2:13","44","137","141","11","--","--"
"","1.21","Rana","1","25","0:27.6","10:51","1:50","1:50","35","136","137","7","--","--"
"","1.22","Dorso","1","25","0:23.2","11:14","1:33","1:33","32","129","133","9","--","--"
"","1.23","Stile libero","1","25","0:43.2","11:58","2:53","2:53","55","146","153","12","--","--"
"","1.24","Rana","1","25","0:41.8","12:39","2:47","2:47","54","140","148","12","--","--"
"","1.25","--","1","--","0:54.6","13:34","--","--","--","134","144","--","--","--"
"","","Riposo","0","0","0:05.6","13:39","0","0","0","122","123","0","0","0"
"","","Riposo","0","0","0:03.3","13:43","0","0","0","122","122","0","0","0"
"","2","Rana","1","25","5:57.2","19:40","1:18","1:18","25","143","159","5","5","65"
"","2.1","Rana","1","25","0:19.6","0:19.6","1:18","1:18","25","119","121","5","--","--"
"","2.2","--","1","--","5:37.6","5:57.2","--","--","--","145","159","--","--","--"
"","","Riposo","0","0","1:23.6","21:03","0","0","0","120","135","0","0","8"
"","3","Stile libero","3","75","1:23.5","22:27","1:51","1:48","38","140","158","30","10","14"
"","3.1","Stile libero","1","25","0:27","0:27","1:48","1:48","36","120","134","9","--","--"
"","3.2","Stile libero","1","25","0:27.8","0:54.8","1:51","1:51","38","144","154","10","--","--"
"","3.3","Stile libero","1","25","0:28.7","1:23.5","1:55","1:55","40","155","158","11","--","--"
"","","Riposo","0","0","0:24.1","22:51","0","0","0","148","152","0","0","5"
"","4","Dorso","1","25","0:31.5","23:23","2:06","2:06","43","143","152","12","12","5"
"","4.1","Dorso","1","25","0:31.5","0:31.5","2:06","2:06","43","142","152","12","--","--"
"","","Riposo","0","0","0:18.6","23:41","0","0","0","153","154","0","0","4"
"","5","Stile libero","3","75","1:24.4","25:06","1:52","1:41","39","151","158","32","11","17"
"","5.1","Stile libero","1","25","0:28","0:28","1:52","1:52","38","147","149","10","--","--"
"","5.2","Stile libero","1","25","0:31.1","0:59.1","2:05","2:05","44","151","154","13","--","--"
"","5.3","Stile libero","1","25","0:25.3","1:24.4","1:41","1:41","34","157","158","9","--","--"
"","","Riposo","0","0","0:21.9","25:27","0","0","0","152","157","0","0","5"
"","6","Dorso","1","25","0:36.1","26:04","2:25","2:25","48","142","146","12","12","6"
"","6.1","Dorso","1","25","0:36.1","0:36.1","2:25","2:25","48","142","145","12","--","--"
"","","Riposo","0","0","0:21.1","26:25","0","0","0","145","148","0","0","4"
"","7","Stile libero","3","75","1:27.0","27:52","1:56","1:52","39","150","161","31","10","17"
"","7.1","Stile libero","1","25","0:28.2","0:28.2","1:53","1:53","38","142","148","10","--","--"
"","7.2","Stile libero","1","25","0:28","0:56.2","1:52","1:52","38","150","154","10","--","--"
"","7.3","Stile libero","1","25","0:30.9","1:27.0","2:03","2:03","42","157","161","11","--","--"
"","","Riposo","0","0","0:28.9","28:21","0","0","0","151","161","0","0","6"
"","8","Dorso","1","25","0:42.7","29:03","2:51","2:51","57","137","146","14","14","6"
"","8.1","Dorso","1","25","0:42.7","0:42.7","2:51","2:51","57","137","144","14","--","--"
"","","Riposo","0","0","0:32.7","29:36","0","0","0","139","148","0","0","5"
"","9","Stile libero","3","75","1:26.3","31:02","1:55","1:49","39","146","157","32","11","15"
"","9.1","Stile libero","1","25","0:28.7","0:28.7","1:55","1:55","39","134","142","10","--","--"
