"","Ripetute","Stile","Vasche","Distanza","Tempo","Tempo cumulato","Passo medio","Passo migliore","Swolf medio","FC Media","FC max","Totale bracciate","Bracciate medie","Calorie"
"","1","Misto","10","250","5:31.5","5:31.5","2:13","1:59","44","136","153","108","11","59"
"","1.1","Stile libero","1","25","0:30.6","0:30.6","2:02","2:02","40","103","116","9","--","--"
"","1.2","Stile libero","1","25","0:30.1","1:00.7","2:00","2:00","40","125","134","10","--","--"
"","1.3","Rana","1","25","0:29.9","1:30.6","1:59","1:59","39","131","134","9","--","--"
"","1.4","Rana","1","25","0:33.4","2:04.0","2:14","2:14","44","130","133","11","--","--"
"","1.5","Stile libero","1","25","0:31.1","2:35.1","2:05","2:05","42","137","147","11","--","--"
"","1.6","Rana","1","25","0:35.3","3:10.4","2:21","2:21","46","144","149","11","--","--"
"","1.7","Stile libero","1","25","0:33.5","3:43.9","2:14","2:14","45","148","150","11","--","--"
"","1.8","Rana","1","25","0:36.5","4:20.4","2:26","2:26","49","150","152","12","--","--"
"","1.9","Stile libero","1","25","0:32.8","4:53.2","2:11","2:11","44","145","153","11","--","--"
"","1.10","Rana","1","25","0:38.3","5:31.5","2:33","2:33","51","138","141","13","--","--"
"","","Riposo","0","0","0:09.0","5:40.5","0","0","0","129","134","0","0","1"
"","2","Rana","5","125","2:41.9","8:22.4","2:10","1:20","48","136","147","80","16","28"
"","2.1","Rana","1","25","0:34.8","0:34.8","2:19","2:19","53","124","130","18","--","--"
"","2.2","Rana","1","25","0:42.1","1:16.9","2:48","2:48","63","135","140","21","--","--"
"","2.3","Rana","1","25","0:33.4","1:50.2","2:14","2:14","51","140","142","18","--","--"
"","2.4","Rana","1","25","0:20","2:10.2","1:20","1:20","26","138","143","6","--","--"
"","2.5","Rana","1","25","0:31.7","2:41.9","2:07","2:07","49","143","147","17","--","--"
"","","Riposo","0","0","0:17.7","8:40.1","0","0","0","145","147","0","0","4"
"","3","Dorso","4","100","2:25.9","11:06","2:26","2:11","49","146","153","50","13","28"
