"","Ripetute","Stile","Vasche","Distanza","Tempo","Tempo cumulato","Passo medio","Passo migliore","Swolf medio","FC Media","FC max","Totale bracciate","Bracciate medie","Calorie"
"","1","Misto","12","300","7:45.7","7:45.7","2:35","2:01","51","119","141","144","12","61"
"","1.1","Stile libero","1","25","0:35.7","0:35.7","2:23","2:23","49","103","116","13","--","--"
"","1.2","Stile libero","1","25","0:30.2","1:05.9","2:01","2:01","41","114","118","11","--","--"
"","1.3","Stile libero","1","25","0:31.4","1:37.2","2:05","2:05","41","114","121","10","--","--"
"","1.4","Stile libero","1","25","0:35.8","2:13.1","2:23","2:23","48","115","122","12","--","--"
"","1.5","Stile libero","1","25","0:36.3","2:49.3","2:25","2:25","48","115","121","12","--","--"
"","1.6","Stile libero","1","25","0:39.1","3:28.4","2:36","2:36","52","121","127","13","--","--"
"","1.7","Stile libero","1","25","0:31.6","4:00.1","2:06","2:06","41","118","125","9","--","--"
"","1.8","Rana","1","25","1:15.2","5:15.2","5:00","5:00","96","116","138","21","--","--"
"","1.9","Rana","1","25","0:36.3","5:51.5","2:25","2:25","47","127","141","11","--","--"
"","1.10","Rana","1","25","0:33.7","6:25.2","2:15","2:15","44","129","132","10","--","--"
"","1.11","Stile libero","1","25","0:42.3","7:07.5","2:49","2:49","54","126","133","12","--","--"
"","1.12","Rana","1","25","0:38.2","7:45.7","2:33","2:33","48","125","132","10","--","--"
"","","Riposo","0","0","0:21.6","8:07.3","0","0","0","121","130","0","0","3"
"","2","Dorso","2","50","1:25.7","9:33.0","2:51","2:27","57","122","130","29","15","12"
"","2.1","Dorso","1","25","0:36.9","0:36.9","2:27","2:27","50","114","128","13","--","--"
"","2.2","Dorso","1","25","0:48.8","1:25.7","3:15","3:15","65","128","130","16","--","--"
"","","Riposo","0","0","0:15.0","9:47.9","0","0","0","127","134","0","0","2"
"","3","Misto","2","50","1:12.3","11:00","2:25","2:13","50","139","148","27","14","13"
"","3.1","Rana","1","25","0:33.3","0:33.3","2:13","2:13","46","134","139","13","--","--"
"","3.2","Dorso","1","25","0:39.0","1:12.3","2:36","2:36","53","143","148","14","--","--"
"","","Riposo","0","0","0:20.8","11:21","0","0","0","144","148","0","0","4"
"","4","Misto","2","50","1:07.9","12:29","2:16","2:08","47","143","153","27","14","13"
"","4.1","Rana","1","25","0:35.8","0:35.8","2:23","2:23","51","137","141","15","--","--"
"","4.2","Dorso","1","25","0:32.1","1:07.9","2:08","2:08","44","150","153","12","--","--"
"","","Riposo","0","0","0:23.1","12:52","0","0","0","149","153","0","0","5"
"","5","Dorso","2","50","1:10.4","14:02","2:21","2:20","48","142","151","26","13","13"
"","5.1","Dorso","1","25","0:35.1","0:35.1","2:20","2:20","49","139","142","14","--","--"
"","5.2","Dorso","1","25","0:35.2","1:10.4","2:21","2:21","47","144","151","12","--","--"
"","","Riposo","0","0","0:21.2","14:23","0","0","0","150","153","0","0","5"
"","6","Misto","2","50","1:10.6","15:34","2:21","2:04","48","142","146","26","13","13"
"","6.1","Rana","1","25","0:31.1","0:31.1","2:04","2:04","44","141","145","13","--","--"
"","6.2","Dorso","1","25","0:39.5","1:10.6","2:38","2:38","53","144","145","13","--","--"
"","","Riposo","0","0","0:21.4","15:55","0","0","0","145","148","0","0","4"
"","7","Dorso","2","50","1:05.2","17:01","2:10","2:10","46","143","154","26","13","12"
"","7.1","Dorso","1","25","0:32.4","0:32.4","2:10","2:10","45","139","147","13","--","--"
"","7.2","Dorso","1","25","0:32.8","1:05.2","2:11","2:11","46","147","153","13","--","--"
"","","Riposo","0","0","1:16.1","18:17","0","0","0","132","156","0","0","11"
"","8","Rana","1","25","1:07.6","19:24","2:32","2:32","49","133","142","11","11","10"
"","8.1","Rana","1","25","0:38.1","0:38.1","2:32","2:32","49","128","142","11","--","--"
"","8.2","--","1","--","0:29.4","1:07.6","--","--","--","140","141","--","--","--"
"","","Riposo","0","0","0:23.3","19:48","0","0","0","135","139","0","0","4"
"","","Riposo","0","0","1:04.4","20:52","0","0","0","137","149","0","0","10"
"","","Riposo","0","0","0:26.5","21:19","0","0","0","145","152","0","0","5"
"","9","Rana","1","25","1:16.0","22:35","1:02","1:02","20","133","140","5","5","11"
"","9.1","Rana","1","25","0:15.4","0:15.4","1:02","1:02","20","127","129","5","--","--"
"","9.2","--","1","--","1:00.6","1:16.0","--","--","--","134","140","--","--","--"
"","","Riposo","0","0","0:18.5","22:53","0","0","0","138","140","0","0","3"
"","10","Rana","1","25","1:09.2","24:02","2:14","2:14","40","135","144","6","6","11"
"","10.1","Rana","1","25","0:33.6","0:33.6","2:14","2:14","40","127","134","6","--","--"
"","10.2","--","1","--","0:35.6","1:09.2","--","--","--","143","144","--","--","--"
"","","Riposo","0","0","1:17.3","25:20","0","0","0","124","147","0","0","9"
"","11","Misto","2","50","1:18.5","26:38","2:37","2:35","53","129","148","27","14","9"
"","11.1","Rana","1","25","0:38.8","0:38.8","2:35","2:35","52","118","132","13","--","--"
"","11.2","Dorso","1","25","0:39.8","1:18.5","2:39","2:39","54","139","148","14","--","--"
"","","Riposo","0","0","0:17.8","26:56","0","0","0","142","146","0","0","3"
"","12","Misto","2","50","1:22.1","28:18","2:44","0:43","51","137","143","19","10","12"
"","12.1","Rana","1","25","0:10.7","0:10.7","0:43","0:43","15","130","132","4","--","--"
"","12.2","Dorso","1","25","1:11.4","1:22.1","4:46","4:46","86","139","143","15","--","--"
