"","Ripetute","Stile","Vasche","Distanza","Tempo","Tempo cumulato","Passo medio","Passo migliore","Swolf medio","FC Media","FC max","Totale bracciate","Bracciate medie","Calorie"
"","1","Misto","18","450","11:20","11:20","2:31","2:00","50","124","150","228","13","97"
"","1.1","Rana","1","25","0:39.2","0:39.2","2:37","2:37","52","80","102","13","--","--"
"","1.2","Rana","1","25","0:31","1:10.2","2:04","2:04","41","109","118","10","--","--"
"","1.3","Rana","1","25","0:31.2","1:41.4","2:05","2:05","42","121","124","11","--","--"
"","1.4","Stile libero","1","25","0:31.1","2:12.5","2:05","2:05","42","123","128","11","--","--"
"","1.5","Stile libero","1","25","0:31.5","2:44.0","2:06","2:06","43","127","129","11","--","--"
"","1.6","Rana","1","25","0:34.9","3:18.9","2:19","2:19","47","126","129","12","--","--"
"","1.7","Stile libero","1","25","0:32.5","3:51.4","2:10","2:10","42","133","150","9","--","--"
"","1.8","Dorso","1","25","0:40.3","4:31.6","2:41","2:41","53","125","150","13","--","--"
"","1.9","Dorso","1","25","0:35.3","5:06.9","2:21","2:21","47","114","116","12","--","--"
"","1.10","Dorso","1","25","0:42.9","5:49.8","2:52","2:52","57","126","135","14","--","--"
"","1.11","Dorso","1","25","0:37.1","6:26.9","2:29","2:29","50","135","138","13","--","--"
"","1.12","Rana","1","25","0:54.8","7:21.7","3:39","3:39","69","128","142","14","--","--"
"","1.13","Rana","1","25","0:34.4","7:56.1","2:18","2:18","45","127","132","11","--","--"
"","1.14","Rana","1","25","0:56.1","8:52.2","3:45","3:45","81","118","130","25","--","--"
"","1.15","Rana","1","25","0:29.9","9:22.2","2:00","2:00","47","129","133","17","--","--"
"","1.16","Rana","1","25","0:41.4","10:04","2:46","2:46","53","137","147","12","--","--"
"","1.17","Stile libero","1","25","0:34.1","10:38","2:16","2:16","45","131","134","11","--","--"
"","1.18","Rana","1","25","0:42.8","11:20","2:51","2:51","52","132","134","9","--","--"
"","","Riposo","0","0","0:47.3","12:08","0","0","0","120","133","0","0","6"
"","2","Rana","1","25","6:37.3","18:45","2:23","2:23","42","138","159","6","6","68"
"","2.1","Rana","1","25","0:35.8","0:35.8","2:23","2:23","42","115","128","6","--","--"
"","2.2","--","1","--","6:01.5","6:37.3","--","--","--","140","159","--","--","--"
"","","Riposo","0","0","1:02.3","19:47","0","0","0","124","146","0","0","7"
"","3","Rana","2","50","0:58.7","20:46","1:57","1:50","38","126","137","18","9","7"
"","3.1","Rana","1","25","0:31.3","0:31.3","2:05","2:05","41","120","130","10","--","--"
"","3.2","Rana","1","25","0:27.4","0:58.7","1:50","1:50","35","133","137","8","--","--"
"","","Riposo","0","0","0:17.3","21:03","0","0","0","134","137","0","0","3"
"","4","Rana","2","50","0:58.6","22:02","1:57","1:42","38","132","137","18","9","9"
"","4.1","Rana","1","25","0:33.1","0:33.1","2:12","2:12","43","130","137","10","--","--"
"","4.2","Rana","1","25","0:25.5","0:58.6","1:42","1:42","33","135","137","8","--","--"
"","","Riposo","0","0","0:17.3","22:19","0","0","0","133","138","0","0","3"
"","5","Rana","2","50","0:57.7","23:17","1:55","1:36","38","132","137","19","10","8"
"","5.1","Rana","1","25","0:33.6","0:33.6","2:15","2:15","45","131","134","11","--","--"
"","5.2","Rana","1","25","0:24.0","0:57.7","1:36","1:36","32","134","137","8","--","--"
"","","Riposo","0","0","0:17.8","23:35","0","0","0","134","138","0","0","3"
"","6","Rana","2","50","0:57.4","24:32","1:55","1:37","38","133","139","18","9","9"
"","6.1","Rana","1","25","0:33.1","0:33.1","2:12","2:12","43","131","136","10","--","--"
"","6.2","Rana","1","25","0:24.3","0:57.4","1:37","1:37","32","136","139","8","--","--"
"","","Riposo","0","0","1:29.4","26:01","0","0","0","120","138","0","0","9"
"","7","Stile libero","4","100","1:51.6","27:53","1:52","1:50","38","139","151","41","10","18"
"","7.1","Stile libero","1","25","0:27.9","0:27.9","1:51","1:51","38","120","136","10","--","--"
"","7.2","Stile libero","1","25","0:27.7","0:55.6","1:51","1:51","38","140","143","10","--","--"
"","7.3","Stile libero","1","25","0:28.6","1:24.1","1:54","1:54","40","146","147","11","--","--"
"","7.4","Stile libero","1","25","0:27.5","1:51.6","1:50","1:50","37","149","151","10","--","--"
"","","Riposo","0","0","0:23.8","28:17","0","0","0","143","148","0","0","4"
"","8","Stile libero","4","100","1:52.9","30:10","1:53","1:50","39","148","156","42","11","21"
