"","Ripetute","Stile","Vasche","Distanza","Tempo","Tempo cumulato","Passo medio","Passo migliore","Swolf medio","FC Media","FC max","Totale bracciate","Bracciate medie","Calorie"
"","1","Misto","20","500","12:38","12:38","2:32","1:52","50","142","164","247","12","143"
"","1.1","Stile libero","1","25","0:44","0:44","2:56","2:56","58","114","131","14","--","--"
"","1.2","Stile libero","1","25","0:34.1","1:18.1","2:16","2:16","44","137","141","10","--","--"
"","1.3","Stile libero","1","25","0:40","1:58.1","2:40","2:40","52","145","157","12","--","--"
"","1.4","Stile libero","1","25","0:30.7","2:28.8","2:03","2:03","41","158","164","10","--","--"
"","1.5","Stile libero","1","25","0:28","2:56.8","1:52","1:52","36","159","161","8","--","--"
"","1.6","Stile libero","1","25","0:39.5","3:36.3","2:38","2:38","53","146","155","13","--","--"
"","1.7","Stile libero","1","25","0:32.1","4:08.4","2:08","2:08","41","141","143","9","--","--"
"","1.8","Stile libero","1","25","0:35.9","4:44.2","2:23","2:23","46","142","143","10","--","--"
"","1.9","Stile libero","1","25","0:34.9","5:19.2","2:20","2:20","46","139","142","11","--","--"
"","1.10","Stile libero","1","25","0:33.8","5:52.9","2:15","2:15","45","142","146","11","--","--"
"","1.11","Stile libero","1","25","0:34.4","6:27.3","2:18","2:18","44","144","146","10","--","--"
"","1.12","Dorso","1","25","0:34.1","7:01.4","2:16","2:16","47","141","145","13","--","--"
"","1.13","Dorso","1","25","0:55.4","7:56.8","3:42","3:42","73","136","143","18","--","--"
"","1.14","Dorso","1","25","0:35.5","8:32.3","2:22","2:22","48","139","142","12","--","--"
"","1.15","Dorso","1","25","0:43.5","9:15.8","2:54","2:54","59","141","144","15","--","--"
"","1.16","Dorso","1","25","0:42.9","9:58.7","2:52","2:52","56","141","145","13","--","--"
"","1.17","Rana","1","25","0:39.1","10:38","2:36","2:36","58","145","154","19","--","--"
"","1.18","Rana","1","25","0:35.8","11:14","2:23","2:23","53","152","154","17","--","--"
"","1.19","Rana","1","25","0:51.4","12:05","3:25","3:25","64","144","155","13","--","--"
"","1.20","Stile libero","1","25","0:33.5","12:38","2:14","2:14","42","148","150","9","--","--"
"","","Riposo","0","0","0:31.9","13:10","0","0","0","132","149","0","0","5"
"","2","Stile libero","2","50","1:10.0","14:20","2:20","2:18","46","124","135","21","11","8"
"","2.1","Stile libero","1","25","0:35.6","0:35.6","2:22","2:22","47","118","124","11","--","--"
"","2.2","Stile libero","1","25","0:34.4","1:10.0","2:18","2:18","44","131","135","10","--","--"
"","","Riposo","0","0","0:12.6","14:33","0","0","0","130","132","0","0","2"
"","3","Stile libero","2","50","1:15.3","15:48","2:31","2:31","49","127","132","23","12","9"
"","3.1","Stile libero","1","25","0:37.7","0:37.7","2:31","2:31","49","125","128","11","--","--"
"","3.2","Stile libero","1","25","0:37.7","1:15.3","2:31","2:31","50","130","131","12","--","--"
"","","Riposo","0","0","0:14.5","16:03","0","0","0","128","132","0","0","2"
"","4","Stile libero","2","50","1:09.7","17:12","2:19","2:19","46","130","135","23","12","10"
"","4.1","Stile libero","1","25","0:34.8","0:34.8","2:19","2:19","47","127","131","12","--","--"
"","4.2","Stile libero","1","25","0:34.9","1:09.7","2:20","2:20","46","133","135","11","--","--"
"","","Riposo","0","0","0:18.3","17:31","0","0","0","131","135","0","0","3"
"","5","Stile libero","2","50","1:07.5","18:38","2:15","2:15","45","126","137","22","11","9"
"","5.1","Stile libero","1","25","0:33.8","0:33.8","2:15","2:15","45","122","127","11","--","--"
"","5.2","Stile libero","1","25","0:33.8","1:07.5","2:15","2:15","45","130","137","11","--","--"
"","","Riposo","0","0","0:19.5","18:58","0","0","0","130","137","0","0","3"
"","6","Misto","2","50","1:01.5","19:59","2:03","2:02","41","127","132","21","11","8"
"","6.1","Rana","1","25","0:31","0:31","2:04","2:04","41","125","131","10","--","--"
"","6.2","Stile libero","1","25","0:30.5","1:01.5","2:02","2:02","41","130","132","11","--","--"
"","","Riposo","0","0","0:58.6","20:58","0","0","0","124","138","0","0","7"
"","7","Stile libero","3","75","1:22.5","22:20","1:50","1:49","38","135","151","33","11","13"
"","7.1","Stile libero","1","25","0:27.2","0:27.2","1:49","1:49","38","118","129","11","--","--"
"","7.2","Stile libero","1","25","0:28","0:55.2","1:52","1:52","39","139","148","11","--","--"
"","7.3","Stile libero","1","25","0:27.3","1:22.5","1:49","1:49","38","148","151","11","--","--"
"","","Riposo","0","0","0:31.1","22:51","0","0","0","141","148","0","0","6"
"","8","Stile libero","3","75","1:23.5","24:15","1:51","1:49","39","148","158","35","12","16"
"","8.1","Stile libero","1","25","0:27.3","0:27.3","1:49","1:49","38","133","154","11","--","--"
"","8.2","Stile libero","1","25","0:27.6","0:54.9","1:50","1:50","40","154","156","12","--","--"
"","8.3","Stile libero","1","25","0:28.5","1:23.5","1:54","1:54","41","157","158","12","--","--"
"","","Riposo","0","0","0:39.1","24:54","0","0","0","144","156","0","0","7"
"","9","Stile libero","3","75","1:23.3","26:17","1:51","1:45","40","146","160","36","12","15"
"","9.1","Stile libero","1","25","0:26.4","0:26.4","1:45","1:45","37","134","141","11","--","--"
"","9.2","Stile libero","1","25","0:29","0:55.4","1:56","1:56","42","148","159","13","--","--"
"","9.3","Stile libero","1","25","0:27.9","1:23.3","1:52","1:52","40","155","160","12","--","--"
"","","Riposo","0","0","0:36.5","26:54","0","0","0","148","158","0","0","7"
"","10","Stile libero","3","75","1:27.6","28:21","1:57","1:55","42","149","157","39","13","17"
"","10.1","Stile libero","1","25","0:28.8","0:28.8","1:55","1:55","42","137","152","13","--","--"
"","10.2","Stile libero","1","25","0:29.2","0:57.9","1:57","1:57","42","156","157","13","--","--"
"","10.3","Stile libero","1","25","0:29.7","1:27.6","1:59","1:59","43","155","156","13","--","--"
"","","Riposo","0","0","0:39.4","29:01","0","0","0","146","155","0","0","7"
"","11","Dorso","2","50","1:20.0","30:21","2:40","2:06","55","142","153","29","15","13"
"","11.1","Dorso","1","25","0:31.6","0:31.6","2:06","2:06","45","133","142","13","--","--"
"","11.2","Dorso","1","25","0:48.5","1:20.0","3:14","3:14","64","147","153","16","--","--"
"","","Riposo","0","0","1:25.8","31:47","0","0","0","125","151","0","0","8"
"","12","Stile libero","3","75","1:22.2","33:09","1:50","1:48","39","134","158","36","12","10"
"","12.1","Stile libero","1","25","0:27.1","0:27.1","1:48","1:48","39","124","134","12","--","--"
"","12.2","Stile libero","1","25","0:27.3","0:54.4","1:49","1:49","39","133","137","12","--","--"
"","12.3","Stile libero","1","25","0:27.9","1:22.2","1:51","1:51","40","146","158","12","--","--"
"","","Riposo","0","0","0:28.5","33:37","0","0","0","150","158","0","0","6"
"","13","Stile libero","3","75","1:29.1","35:06","1:59","1:54","42","151","161","38","13","18"
"","13.1","Stile libero","1","25","0:28.4","0:28.4","1:54","1:54","40","140","147","12","--","--"
"","13.2","Stile libero","1","25","0:30.4","0:58.8","2:02","2:02","43","154","161","13","--","--"
"","13.3","Stile libero","1","25","0:30.3","1:29.1","2:01","2:01","43","157","161","13","--","--"
"","","Riposo","0","0","0:34.2","35:41","0","0","0","145","154","0","0","6"
"","14","Stile libero","3","75","1:30.0","37:11","2:00","1:56","43","144","157","39","13","14"
"","14.1","Stile libero","1","25","0:28.9","0:28.9","1:56","1:56","42","133","134","13","--","--"
"","14.2","Stile libero","1","25","0:30.4","0:59.4","2:02","2:02","43","144","155","13","--","--"
"","14.3","Stile libero","1","25","0:30.7","1:30.0","2:03","2:03","44","155","157","13","--","--"
"","","Riposo","0","0","0:42.2","37:53","0","0","0","143","156","0","0","7"
"","15","Misto","6","150","11:15","49:08","2:40","2:20","53","134","157","75","13","82"
"","15.1","Dorso","1","25","0:36.9","0:36.9","2:27","2:27","50","126","133","13","--","--"
"","15.2","Rana","1","25","0:41.3","1:18.1","2:45","2:45","53","128","137","12","--","--"
"","15.3","Stile libero","1","25","0:42.8","2:00.9","2:51","2:51","55","122","142","12","--","--"
"","15.4","Stile libero","1","25","0:34.9","2:35.8","2:20","2:20","46","148","152","11","--","--"
"","15.5","Dorso","1","25","0:40.9","3:16.7","2:43","2:43","52","129","151","11","--","--"
"","15.6","Dorso","1","25","0:43.6","4:00.2","2:54","2:54","60","144","150","16","--","--"
"","15.7","--","1","--","7:14.7","11:15","--","--","--","135","157","--","--","--"
"","Riepilogo","--","59","1,475","49:08","49:08","2:17","1:45","46","138","164","717","12","461"
