"","Ripetute","Stile","Vasche","Distanza","Tempo","Tempo cumulato","Passo medio","Passo migliore","Swolf medio","FC Media","FC max","Totale bracciate","Bracciate medie","Calorie"
"","1","Misto","14","350","7:53.3","7:53.3","2:10","1:49","43","127","141","148","11","73"
"","1.1","Stile libero","1","25","0:36.6","0:36.6","2:26","2:26","47","89","101","10","--","--"
"","1.2","Stile libero","1","25","0:29.4","1:06.1","1:58","1:58","39","113","122","10","--","--"
"","1.3","Rana","1","25","0:30.3","1:36.4","2:01","2:01","41","121","124","11","--","--"
"","1.4","Stile libero","1","25","0:35.9","2:12.3","2:24","2:24","48","122","124","12","--","--"
"","1.5","Rana","1","25","0:27.3","2:39.6","1:49","1:49","36","125","133","9","--","--"
"","1.6","Stile libero","1","25","0:32.6","3:12.1","2:10","2:10","43","127","132","10","--","--"
"","1.7","Stile libero","1","25","0:33.1","3:45.2","2:12","2:12","44","132","133","11","--","--"
"","1.8","Rana","1","25","0:32.6","4:17.7","2:10","2:10","44","132","133","11","--","--"
"","1.9","Stile libero","1","25","0:32.3","4:50.0","2:09","2:09","42","136","139","10","--","--"
"","1.10","Stile libero","1","25","0:31.3","5:21.2","2:05","2:05","42","137","141","11","--","--"
"","1.11","Rana","1","25","0:32.1","5:53.3","2:08","2:08","42","138","141","10","--","--"
"","1.12","Rana","1","25","0:33.9","6:27.2","2:16","2:16","45","135","137","11","--","--"
"","1.13","Stile libero","1","25","0:34.1","7:01.3","2:16","2:16","45","136","137","11","--","--"
"","1.14","Stile libero","1","25","0:34.5","7:35.8","2:18","2:18","46","132","135","11","--","--"
"","1.15","--","1","--","0:17.5","7:53.3","--","--","--","127","132","--","--","--"
"","","Riposo","0","0","0:23.7","8:17.0","0","0","0","115","120","0","0","3"
"","2","Misto","6","150","3:59.1","12:16","2:39","2:20","55","138","159","93","16","42"
"","2.1","Dorso","1","25","0:40.7","0:40.7","2:43","2:43","54","116","128","13","--","--"
"","2.2","Dorso","1","25","0:35","1:15.7","2:20","2:20","48","135","141","13","--","--"
"","2.3","Dorso","1","25","0:45.5","2:01.2","3:02","3:02","61","139","144","15","--","--"
"","2.4","Rana","1","25","0:35.1","2:36.3","2:20","2:20","47","145","147","12","--","--"
"","2.5","Rana","1","25","0:38.7","3:15.0","2:35","2:35","58","139","148","19","--","--"
"","2.6","Rana","1","25","0:44.1","3:59.1","2:56","2:56","65","151","159","21","--","--"
"","","Riposo","0","0","0:51.4","13:08","0","0","0","129","158","0","0","8"
"","3","Rana","2","50","0:51.0","13:59","1:42","1:31","31","131","148","11","6","8"
"","3.1","Rana","1","25","0:22.8","0:22.8","1:31","1:31","28","122","125","5","--","--"
"","3.2","Rana","1","25","0:28.2","0:51.0","1:53","1:53","34","138","148","6","--","--"
"","","Riposo","0","0","0:17.6","14:16","0","0","0","149","152","0","0","4"
"","4","Rana","2","50","0:49.2","15:05","1:38","1:29","32","145","158","14","7","9"
"","4.1","Rana","1","25","0:27","0:27","1:48","1:48","35","142","146","8","--","--"
"","4.2","Rana","1","25","0:22.2","0:49.2","1:29","1:29","28","147","157","6","--","--"
"","","Riposo","0","0","0:21.5","15:27","0","0","0","157","159","0","0","5"
"","5","Rana","2","50","0:48.6","16:16","1:37","1:26","32","149","157","15","8","10"
"","5.1","Rana","1","25","0:27.1","0:27.1","1:48","1:48","36","144","151","9","--","--"
"","5.2","Rana","1","25","0:21.5","0:48.6","1:26","1:26","27","154","157","6","--","--"
"","","Riposo","0","0","0:21.5","16:37","0","0","0","156","158","0","0","5"
"","6","Rana","2","50","0:47.5","17:24","1:35","1:30","31","148","156","14","7","10"
"","6.1","Rana","1","25","0:24.9","0:24.9","1:40","1:40","33","147","152","8","--","--"
"","6.2","Rana","1","25","0:22.6","0:47.5","1:30","1:30","29","149","155","6","--","--"
"","","Riposo","0","0","1:23.4","18:48","0","0","0","135","160","0","0","13"
"","7","Rana","2","50","1:02.8","19:51","2:06","1:47","41","127","136","19","10","8"
"","7.1","Rana","1","25","0:35.9","0:35.9","2:24","2:24","47","122","136","11","--","--"
"","7.2","Rana","1","25","0:26.9","1:02.8","1:47","1:47","35","132","135","8","--","--"
"","","Riposo","0","0","0:20.4","20:11","0","0","0","127","132","0","0","3"
"","8","Rana","2","50","1:00.4","21:11","2:01","1:59","40","130","140","20","10","8"
"","8.1","Rana","1","25","0:30.5","0:30.5","2:02","2:02","42","124","133","11","--","--"
"","8.2","Rana","1","25","0:29.9","1:00.4","1:59","1:59","39","135","140","9","--","--"
