"","Ripetute","Stile","Vasche","Distanza","Tempo","Tempo cumulato","Passo medio","Passo migliore","Swolf medio","FC Media","FC max","Totale bracciate","Bracciate medie","Calorie"
"","","Riposo","0","0","0:17.7","0:17.7","0","0","0","80","83","0","0","1"
"","1","Misto","14","350","7:45.0","8:02.7","2:13","1:39","45","122","136","160","11","70"
"","1.1","Rana","1","25","0:24.8","0:24.8","1:39","1:39","35","85","103","10","--","--"
"","1.2","Stile libero","1","25","0:36.3","1:01.1","2:25","2:25","49","111","114","13","--","--"
"","1.3","Stile libero","1","25","0:32.2","1:33.2","2:09","2:09","42","105","112","10","--","--"
"","1.4","Stile libero","1","25","0:29.8","2:03.1","1:59","1:59","40","102","114","10","--","--"
"","1.5","Stile libero","1","25","0:31.9","2:35.0","2:08","2:08","43","119","126","11","--","--"
"","1.6","Stile libero","1","25","0:33.6","3:08.6","2:14","2:14","45","121","125","11","--","--"
"","1.7","Rana","1","25","1:01.7","4:10.2","4:07","4:07","82","124","127","20","--","--"
"","1.8","Stile libero","1","25","0:27.8","4:38.0","1:51","1:51","38","129","133","10","--","--"
"","1.9","Stile libero","1","25","0:32.3","5:10.2","2:09","2:09","43","130","131","11","--","--"
"","1.10","Stile libero","1","25","0:32.2","5:42.4","2:09","2:09","44","129","134","12","--","--"
"","1.11","Stile libero","1","25","0:30.3","6:12.7","2:01","2:01","40","132","134","10","--","--"
"","1.12","Stile libero","1","25","0:32.3","6:45.1","2:09","2:09","43","131","135","11","--","--"
"","1.13","Stile libero","1","25","0:31.2","7:16.2","2:05","2:05","43","131","136","12","--","--"
"","1.14","Stile libero","1","25","0:28.8","7:45.0","1:55","1:55","38","127","130","9","--","--"
"","","Riposo","0","0","0:20.3","8:23.0","0","0","0","117","120","0","0","2"
"","2","Stile libero","3","75","1:47.2","10:10","2:23","1:54","47","124","129","33","11","15"
"","2.1","Stile libero","1","25","0:28.6","0:28.6","1:54","1:54","38","120","124","9","--","--"
"","2.2","Stile libero","1","25","0:30.9","0:59.4","2:03","2:03","42","123","125","11","--","--"
"","2.3","Stile libero","1","25","0:47.8","1:47.2","3:11","3:11","61","127","129","13","--","--"
"","","Riposo","0","0","0:22.1","10:32","0","0","0","102","112","0","0","3"
"","3","Rana","3","75","1:39.6","12:12","2:13","2:12","49","124","133","48","16","13"
"","3.1","Rana","1","25","0:32.9","0:32.9","2:12","2:12","48","106","119","15","--","--"
"","3.2","Rana","1","25","0:33.5","1:06.4","2:14","2:14","50","124","133","16","--","--"
"","3.3","Rana","1","25","0:33.2","1:39.6","2:13","2:13","50","129","132","17","--","--"
"","","Riposo","0","0","0:20.9","12:33","0","0","0","124","128","0","0","3"
"","4","Rana","1","25","0:30.8","13:04","2:03","2:03","44","133","137","13","13","6"
"","4.1","Rana","1","25","0:30.8","0:30.8","2:03","2:03","44","129","136","13","--","--"
"","","Riposo","0","0","0:18.7","13:22","0","0","0","125","127","0","0","2"
"","5","Rana","1","25","0:28.6","13:51","1:54","1:54","40","125","128","11","11","5"
"","5.1","Rana","1","25","0:28.6","0:28.6","1:54","1:54","40","125","128","11","--","--"
"","","Riposo","0","0","0:16.8","14:08","0","0","0","134","138","0","0","2"
"","6","Dorso","1","25","0:21.5","14:29","1:26","1:26","29","140","143","7","7","6"
"","6.1","Dorso","1","25","0:21.5","0:21.5","1:26","1:26","29","138","141","7","--","--"
"","","Riposo","0","0","0:37.8","15:07","0","0","0","115","129","0","0","3"
"","7","Dorso","2","50","1:28.6","16:35","2:57","2:41","60","129","136","31","16","14"
