"","Ripetute","Stile","Vasche","Distanza","Tempo","Tempo cumulato","Passo medio","Passo migliore","Swolf medio","FC Media","FC max","Totale bracciate","Bracciate medie","Calorie"
"","1","Misto","24","600","15:22","15:22","2:34","1:43","52","126","147","331","14","151"
"","1.1","Stile libero","1","25","0:33.2","0:33.2","2:13","2:13","46","87","94","13","--","--"
"","1.2","Stile libero","1","25","0:25.7","0:58.9","1:43","1:43","34","98","104","8","--","--"
"","1.3","Stile libero","1","25","0:40.1","1:38.9","2:40","2:40","51","102","105","11","--","--"
"","1.4","Stile libero","1","25","0:31.4","2:10.3","2:05","2:05","41","106","114","10","--","--"
"","1.5","Rana","1","25","0:37.1","2:47.4","2:28","2:28","55","115","122","18","--","--"
"","1.6","Rana","1","25","0:46.8","3:34.1","3:07","3:07","69","114","123","22","--","--"
"","1.7","Rana","1","25","0:35.4","4:09.6","2:22","2:22","52","104","107","17","--","--"
"","1.8","Rana","1","25","0:31.6","4:41.1","2:06","2:06","48","129","139","16","--","--"
"","1.9","Dorso","1","25","0:39.4","5:20.5","2:37","2:37","54","134","138","15","--","--"
"","1.10","Dorso","1","25","0:38.3","5:58.7","2:33","2:33","53","132","137","15","--","--"
"","1.11","Dorso","1","25","0:36.7","6:35.4","2:27","2:27","52","141","145","15","--","--"
"","1.12","Dorso","1","25","0:59.6","7:35.1","3:59","3:59","76","141","147","16","--","--"
"","1.13","Stile libero","1","25","0:38.6","8:13.6","2:34","2:34","54","143","147","15","--","--"
"","1.14","Stile libero","1","25","0:36.7","8:50.3","2:27","2:27","47","132","145","10","--","--"
"","1.15","Stile libero","1","25","0:33.3","9:23.6","2:13","2:13","46","133","138","13","--","--"
"","1.16","Stile libero","1","25","0:31.9","9:55.5","2:08","2:08","43","137","138","11","--","--"
"","1.17","Stile libero","1","25","0:43.6","10:39","2:55","2:55","57","134","138","13","--","--"
"","1.18","Rana","1","25","0:39.1","11:18","2:36","2:36","52","129","131","13","--","--"
"","1.19","Stile libero","1","25","0:30.4","11:49","2:02","2:02","41","120","121","11","--","--"
"","1.20","Stile libero","1","25","0:34.7","12:23","2:19","2:19","48","126","129","13","--","--"
"","1.21","Stile libero","1","25","0:54.2","13:17","3:37","3:37","70","130","137","16","--","--"
"","1.22","Stile libero","1","25","0:34.5","13:52","2:18","2:18","47","127","130","12","--","--"
"","1.23","Stile libero","1","25","0:33.4","14:25","2:14","2:14","46","135","138","13","--","--"
"","1.24","Stile libero","1","25","0:56.3","15:22","3:45","3:45","71","138","140","15","--","--"
"","","Riposo","0","0","1:32.3","16:54","0","0","0","123","137","0","0","13"
"","2","Misto","4","100","2:04.0","18:58","2:04","1:31","45","144","162","58","15","25"
"","2.1","Dorso","1","25","0:32.6","0:32.6","2:10","2:10","48","121","130","15","--","--"
"","2.2","Rana","1","25","0:38.5","1:11.1","2:34","2:34","61","154","162","22","--","--"
"","2.3","Stile libero","1","25","0:22.8","1:33.8","1:31","1:31","32","155","161","9","--","--"
"","2.4","Stile libero","1","25","0:30.2","2:04.0","2:01","2:01","42","147","151","12","--","--"
"","","Riposo","0","0","0:24.4","19:22","0","0","0","147","149","0","0","5"
"","3","Misto","4","100","2:05.3","21:28","2:05","1:59","46","158","175","58","15","28"
"","3.1","Dorso","1","25","0:32.9","0:32.9","2:12","2:12","47","144","151","14","--","--"
"","3.2","Rana","1","25","0:31.3","1:04.2","2:05","2:05","51","161","170","20","--","--"
"","3.3","Stile libero","1","25","0:31.3","1:35.6","2:05","2:05","44","167","175","13","--","--"
"","3.4","Stile libero","1","25","0:29.7","2:05.3","1:59","1:59","41","158","171","11","--","--"
"","","Riposo","0","0","0:30.5","21:58","0","0","0","145","149","0","0","6"
"","4","Misto","4","100","2:07.3","24:05","2:07","2:01","47","148","161","59","15","26"
"","4.1","Dorso","1","25","0:32.1","0:32.1","2:09","2:09","46","135","139","14","--","--"
