"","Ripetute","Stile","Vasche","Distanza","Tempo","Tempo cumulato","Passo medio","Passo migliore","Swolf medio","FC Media","FC max","Totale bracciate","Bracciate medie","Calorie"
"","","Riposo","0","0","0:06.9","0:06.9","0","0","0","74","76","0","0","1"
"","1","Misto","9","225","6:01.9","6:08.7","2:41","1:37","54","112","124","121","13","45"
"","1.1","Stile libero","1","25","0:29.3","0:29.3","1:57","1:57","40","79","92","11","--","--"
"","1.2","Dorso","1","25","1:05.6","1:34.9","4:22","4:22","87","104","114","21","--","--"
"","1.3","Stile libero","1","25","0:31.9","2:06.8","2:08","2:08","43","116","119","11","--","--"
"","1.4","Rana","1","25","1:06.7","3:13.5","4:27","4:27","90","112","115","23","--","--"
"","1.5","Stile libero","1","25","0:31.9","3:45.4","2:08","2:08","45","115","117","13","--","--"
"","1.6","Stile libero","1","25","0:41.6","4:27.0","2:46","2:46","53","111","118","11","--","--"
"","1.7","Stile libero","1","25","0:35.9","5:02.9","2:23","2:23","47","112","114","11","--","--"
"","1.8","Stile libero","1","25","0:34.7","5:37.6","2:19","2:19","47","118","122","12","--","--"
"","1.9","Stile libero","1","25","0:24.3","6:01.9","1:37","1:37","32","122","124","8","--","--"
"","","Riposo","0","0","0:42.4","6:51.1","0","0","0","100","112","0","0","3"
"","2","Rana","3","75","1:38.4","8:29.5","2:11","1:57","47","106","134","44","15","10"
"","2.1","Rana","1","25","0:32.1","0:32.1","2:09","2:09","49","97","100","17","--","--"
"","2.2","Rana","1","25","0:37.1","1:09.3","2:29","2:29","52","103","106","15","--","--"
"","2.3","Rana","1","25","0:29.1","1:38.4","1:57","1:57","41","108","113","12","--","--"
"","","Riposo","0","0","0:16.4","8:45.9","0","0","0","133","136","0","0","3"
"","3","Misto","8","200","4:57.7","13:44","2:29","1:32","51","127","142","110","14","47"
"","3.1","Dorso","1","25","0:38.7","0:38.7","2:35","2:35","56","130","135","17","--","--"
"","3.2","Dorso","1","25","0:30.8","1:09.5","2:03","2:03","41","131","136","10","--","--"
"","3.3","Dorso","1","25","0:36.2","1:45.7","2:25","2:25","51","134","141","15","--","--"
"","3.4","Dorso","1","25","0:32.1","2:17.8","2:09","2:09","44","138","142","12","--","--"
"","3.5","Stile libero","1","25","1:01.6","3:19.4","4:06","4:06","83","125","137","21","--","--"
"","3.6","Stile libero","1","25","0:42.9","4:02.2","2:52","2:52","58","115","121","15","--","--"
"","3.7","Stile libero","1","25","0:32.5","4:34.7","2:10","2:10","45","121","128","12","--","--"
"","3.8","Stile libero","1","25","0:23.0","4:57.7","1:32","1:32","31","130","132","8","--","--"
"","","Riposo","0","0","0:43.0","14:27","0","0","0","120","131","0","0","4"
"","4","Misto","2","50","1:02.4","15:29","2:05","1:44","43","115","124","24","12","7"
"","4.1","Stile libero","1","25","0:36.6","0:36.6","2:26","2:26","50","112","120","13","--","--"
"","4.2","Rana","1","25","0:25.9","1:02.4","1:44","1:44","37","118","123","11","--","--"
"","","Riposo","0","0","0:13.6","15:43","0","0","0","126","127","0","0","2"
"","5","Stile libero","2","50","1:03.6","16:46","2:07","1:46","44","124","128","25","13","9"
"","5.1","Stile libero","1","25","0:37","0:37","2:28","2:28","52","123","125","15","--","--"
"","5.2","Stile libero","1","25","0:26.6","1:03.6","1:46","1:46","37","126","128","10","--","--"
"","","Riposo","0","0","0:16.1","17:02","0","0","0","127","129","0","0","2"
"","6","Stile libero","2","50","1:00.3","18:03","2:01","1:46","42","123","130","24","12","8"
"","6.1","Stile libero","1","25","0:33.8","0:33.8","2:15","2:15","47","120","125","13","--","--"
"","6.2","Stile libero","1","25","0:26.5","1:00.3","1:46","1:46","38","127","130","11","--","--"
"","","Riposo","0","0","0:15.0","18:18","0","0","0","129","130","0","0","2"
"","7","Stile libero","2","50","1:03.1","19:21","2:06","1:51","43","124","128","23","12","9"
"","7.1","Stile libero","1","25","0:35.4","0:35.4","2:21","2:21","48","124","127","13","--","--"
"","7.2","Stile libero","1","25","0:27.8","1:03.1","1:51","1:51","38","124","128","10","--","--"
"","","Riposo","0","0","1:18.2","20:39","0","0","0","110","128","0","0","8"
"","8","Stile libero","4","100","1:47.2","22:26","1:47","1:34","38","127","150","45","11","15"
"","8.1","Stile libero","1","25","0:29.1","0:29.1","1:57","1:57","40","108","120","11","--","--"
"","8.2","Stile libero","1","25","0:26.7","0:55.8","1:47","1:47","39","120","128","12","--","--"
"","8.3","Stile libero","1","25","0:27.8","1:23.6","1:51","1:51","39","135","147","11","--","--"
"","8.4","Stile libero","1","25","0:23.6","1:47.2","1:34","1:34","35","149","150","11","--","--"
"","","Riposo","0","0","0:28.1","22:54","0","0","0","143","149","0","0","6"
"","9","Stile libero","4","100","1:43.8","24:38","1:44","1:34","37","147","155","44","11","21"
"","9.1","Stile libero","1","25","0:28.9","0:28.9","1:55","1:55","39","136","142","10","--","--"
"","9.2","Stile libero","1","25","0:24.6","0:53.5","1:39","1:39","37","145","150","12","--","--"
"","9.3","Stile libero","1","25","0:26.8","1:20.3","1:47","1:47","38","152","153","11","--","--"
"","9.4","Stile libero","1","25","0:23.5","1:43.8","1:34","1:34","34","154","155","11","--","--"
"","","Riposo","0","0","0:31.5","25:10","0","0","0","149","154","0","0","7"
"","10","Stile libero","4","100","1:47.0","26:57","1:47","1:40","38","147","154","47","12","22"
