"","Ripetute","Stile","Vasche","Distanza","Tempo","Tempo cumulato","Passo medio","Passo migliore","Swolf medio","FC Media","FC max","Totale bracciate","Bracciate medie","Calorie"
"","1","Misto","20","500","12:53","12:53","2:35","2:02","53","131","150","281","14","126"
"","1.1","Stile libero","1","25","0:31.1","0:31.1","2:05","2:05","41","103","117","10","--","--"
"","1.2","Rana","1","25","0:50.7","1:21.8","3:23","3:23","67","121","130","16","--","--"
"","1.3","Stile libero","1","25","0:34.1","1:55.9","2:16","2:16","44","130","138","10","--","--"
"","1.4","Stile libero","1","25","0:32.6","2:28.5","2:11","2:11","43","127","136","10","--","--"
"","1.5","Stile libero","1","25","0:39.1","3:07.6","2:36","2:36","51","133","136","12","--","--"
"","1.6","Stile libero","1","25","0:31.7","3:39.3","2:07","2:07","42","129","133","10","--","--"
"","1.7","Stile libero","1","25","0:40.2","4:19.5","2:41","2:41","52","122","128","12","--","--"
"","1.8","Stile libero","1","25","0:30.4","4:49.9","2:02","2:02","39","131","134","9","--","--"
"","1.9","Dorso","1","25","0:39.3","5:29.2","2:37","2:37","55","121","128","16","--","--"
"","1.10","Dorso","1","25","0:41.9","6:11.1","2:48","2:48","58","125","130","16","--","--"
"","1.11","Dorso","1","25","0:39.8","6:50.8","2:39","2:39","56","132","136","16","--","--"
"","1.12","Dorso","1","25","0:42.8","7:33.6","2:51","2:51","61","133","140","18","--","--"
"","1.13","Rana","1","25","0:41","8:14.6","2:44","2:44","61","145","150","20","--","--"
"","1.14","Rana","1","25","0:39.4","8:54.1","2:38","2:38","58","145","150","19","--","--"
"","1.15","Rana","1","25","0:49.1","9:43.1","3:16","3:16","68","143","150","19","--","--"
"","1.16","Rana","1","25","0:38.6","10:22","2:35","2:35","58","141","145","19","--","--"
"","1.17","Stile libero","1","25","0:44.4","11:06","2:58","2:58","57","142","150","13","--","--"
"","1.18","Stile libero","1","25","0:35.4","11:42","2:21","2:21","47","133","135","12","--","--"
"","1.19","Stile libero","1","25","0:33.6","12:15","2:15","2:15","46","132","133","12","--","--"
"","1.20","Stile libero","1","25","0:37.4","12:53","2:29","2:29","49","130","133","12","--","--"
"","","Riposo","0","0","0:52.7","13:45","0","0","0","114","130","0","0","5"
"","2","Stile libero","8","200","4:50.7","18:36","2:25","2:09","49","122","144","98","12","32"
"","2.1","Stile libero","1","25","0:32.4","0:32.4","2:10","2:10","43","111","123","11","--","--"
"","2.2","Stile libero","1","25","0:37.1","1:09.6","2:29","2:29","50","136","144","13","--","--"
"","2.3","Stile libero","1","25","0:39.4","1:48.9","2:37","2:37","53","131","144","14","--","--"
"","2.4","Stile libero","1","25","0:35.8","2:24.7","2:23","2:23","48","117","119","12","--","--"
"","2.5","Stile libero","1","25","0:32.1","2:56.8","2:09","2:09","42","123","130","10","--","--"
"","2.6","Stile libero","1","25","0:37.4","3:34.2","2:30","2:30","50","118","126","13","--","--"
"","2.7","Stile libero","1","25","0:35.5","4:09.7","2:22","2:22","48","118","120","12","--","--"
"","2.8","Stile libero","1","25","0:41.0","4:50.7","2:44","2:44","54","119","125","13","--","--"
"","","Riposo","0","0","0:40.0","19:16","0","0","0","115","125","0","0","4"
"","3","Stile libero","2","50","1:02.7","20:19","2:05","2:03","43","122","137","23","12","7"
"","3.1","Stile libero","1","25","0:31.8","0:31.8","2:07","2:07","44","113","128","12","--","--"
"","3.2","Stile libero","1","25","0:30.9","1:02.7","2:03","2:03","42","131","136","11","--","--"
"","","Riposo","0","0","0:17.7","20:36","0","0","0","132","138","0","0","3"
