"","Ripetute","Stile","Vasche","Distanza","Tempo","Tempo cumulato","Passo medio","Passo migliore","Swolf medio","FC Media","FC max","Totale bracciate","Bracciate medie","Calorie"
"","1","Misto","35","875","22:01","22:01","2:18","1:24","46","129","155","388","11","202"
"","1.1","Stile libero","1","25","0:39.4","0:39.4","2:37","2:37","52","113","131","13","--","--"
"","1.2","Rana","1","25","0:30.1","1:09.4","2:00","2:00","39","129","135","9","--","--"
"","1.3","Stile libero","1","25","0:32.1","1:41.5","2:08","2:08","43","127","129","11","--","--"
"","1.4","Stile libero","1","25","0:34.3","2:15.8","2:17","2:17","46","126","147","12","--","--"
"","1.5","Stile libero","1","25","0:31.2","2:47.0","2:05","2:05","41","150","155","10","--","--"
"","1.6","Stile libero","1","25","0:34.8","3:21.7","2:19","2:19","47","141","147","12","--","--"
"","1.7","Rana","1","25","0:35.6","3:57.4","2:22","2:22","48","139","147","12","--","--"
"","1.8","Rana","1","25","0:36.2","4:33.6","2:25","2:25","47","143","147","11","--","--"
"","1.9","Rana","1","25","0:35","5:08.6","2:20","2:20","47","122","126","12","--","--"
"","1.10","Rana","1","25","0:51.3","5:59.9","3:25","3:25","67","122","127","16","--","--"
"","1.11","Rana","1","25","0:33.4","6:33.2","2:14","2:14","45","124","128","12","--","--"
"","1.12","Stile libero","1","25","0:34.9","7:08.1","2:19","2:19","46","124","127","11","--","--"
"","1.13","Rana","1","25","0:34.3","7:42.4","2:17","2:17","45","127","129","11","--","--"
"","1.14","Stile libero","1","25","0:26.5","8:08.9","1:46","1:46","36","123","129","9","--","--"
"","1.15","Stile libero","1","25","0:34.2","8:43.1","2:17","2:17","45","109","117","11","--","--"
"","1.16","Dorso","1","25","0:24.1","9:07.2","1:37","1:37","32","112","118","8","--","--"
"","1.17","Dorso","1","25","0:24.4","9:31.7","1:38","1:38","32","121","129","8","--","--"
"","1.18","Stile libero","1","25","0:34.2","10:06","2:17","2:17","45","128","134","11","--","--"
"","1.19","Stile libero","1","25","0:36.7","10:43","2:27","2:27","50","121","124","13","--","--"
"","1.20","Rana","1","25","0:33.4","11:16","2:14","2:14","43","133","136","10","--","--"
