"","Ripetute","Stile","Vasche","Distanza","Tempo","Tempo cumulato","Passo medio","Passo migliore","Swolf medio","FC Media","FC max","Totale bracciate","Bracciate medie","Calorie"
"","1","Stile libero","12","300","6:42.2","6:42.2","2:14","1:44","46","119","134","145","12","55"
"","1.1","Stile libero","1","25","0:34.9","0:34.9","2:19","2:19","46","86","103","11","--","--"
"","1.2","Stile libero","1","25","0:31.8","1:06.7","2:07","2:07","44","110","119","12","--","--"
"","1.3","Stile libero","1","25","0:34.9","1:41.6","2:20","2:20","48","122","123","13","--","--"
"","1.4","Stile libero","1","25","0:25.9","2:07.6","1:44","1:44","35","122","124","9","--","--"
"","1.5","Stile libero","1","25","0:35.9","2:43.5","2:24","2:24","49","124","125","13","--","--"
"","1.6","Stile libero","1","25","0:31.1","3:14.6","2:05","2:05","42","126","127","11","--","--"
"","1.7","Stile libero","1","25","0:35.2","3:49.8","2:21","2:21","47","122","126","12","--","--"
"","1.8","Stile libero","1","25","0:34.7","4:24.5","2:19","2:19","48","118","123","13","--","--"
"","1.9","Stile libero","1","25","0:34.2","4:58.7","2:17","2:17","47","124","125","13","--","--"
"","1.10","Stile libero","1","25","0:33","5:31.7","2:12","2:12","46","122","125","13","--","--"
"","1.11","Stile libero","1","25","0:32.4","6:04.1","2:10","2:10","43","121","128","11","--","--"
"","1.12","Stile libero","1","25","0:38.2","6:42.2","2:33","2:33","52","132","134","14","--","--"
"","","Riposo","0","0","0:25.7","7:07.9","0","0","0","125","130","0","0","4"
"","2","Misto","5","125","3:26.8","10:35","2:00","0:52","41","127","146","54","11","30"
"","2.1","Dorso","1","25","0:39.4","0:39.4","2:38","2:38","53","119","128","14","--","--"
"","2.2","Dorso","1","25","0:38.5","1:17.9","2:34","2:34","53","121","126","14","--","--"
"","2.3","Dorso","1","25","0:13.1","1:31.1","0:52","0:52","18","124","126","5","--","--"
"","2.4","Rana","1","25","0:22.6","1:53.7","1:30","1:30","31","123","127","8","--","--"
"","2.5","Dorso","1","25","0:36.8","2:30.5","2:27","2:27","50","126","135","13","--","--"
"","2.6","--","1","--","0:56.3","3:26.8","--","--","--","140","146","--","--","--"
"","","Riposo","0","0","0:10.2","10:45","0","0","0","140","143","0","0","2"
"","3","Dorso","2","50","1:08.9","11:54","2:18","2:14","48","141","146","27","14","13"
"","3.1","Dorso","1","25","0:35.4","0:35.4","2:22","2:22","49","138","144","14","--","--"
"","3.2","Dorso","1","25","0:33.5","1:08.9","2:14","2:14","46","144","146","13","--","--"
"","","Riposo","0","0","0:16.7","12:11","0","0","0","150","155","0","0","3"
"","4","Dorso","2","50","1:10.4","13:21","2:21","2:20","50","146","155","29","15","15"
"","4.1","Dorso","1","25","0:35.4","0:35.4","2:22","2:22","50","145","153","15","--","--"
"","4.2","Dorso","1","25","0:34.9","1:10.4","2:20","2:20","49","147","152","14","--","--"
"","","Riposo","0","0","0:18.2","13:39","0","0","0","154","156","0","0","4"
"","5","Dorso","2","50","1:10.7","14:50","2:21","2:20","49","145","158","27","14","14"
"","5.1","Dorso","1","25","0:35.7","0:35.7","2:23","2:23","51","142","148","15","--","--"
"","5.2","Dorso","1","25","0:35.0","1:10.7","2:20","2:20","47","148","156","12","--","--"
"","","Riposo","0","0","0:18.7","15:09","0","0","0","156","158","0","0","4"
"","6","Dorso","2","50","1:11.2","16:20","2:22","2:11","50","148","152","29","15","14"
"","6.1","Dorso","1","25","0:38.4","0:38.4","2:34","2:34","54","146","151","16","--","--"
"","6.2","Dorso","1","25","0:32.8","1:11.2","2:11","2:11","46","150","151","13","--","--"
"","","Riposo","0","0","1:02.3","17:22","0","0","0","132","151","0","0","9"
"","","Riposo","0","0","1:08.0","18:30","0","0","0","127","137","0","0","9"
"","","Riposo","0","0","0:16.8","18:47","0","0","0","135","137","0","0","3"
"","7","Rana","1","25","1:18.4","20:05","1:17","1:17","24","140","148","5","5","13"
"","7.1","Rana","1","25","0:19.3","0:19.3","1:17","1:17","24","133","135","5","--","--"
"","7.2","--","1","--","0:59.1","1:18.4","--","--","--","142","147","--","--","--"
"","","Riposo","0","0","0:20.1","20:25","0","0","0","143","150","0","0","4"
"","8","Rana","2","50","1:03.6","21:29","2:07","1:41","39","136","145","14","7","10"
"","8.1","Rana","1","25","0:25.2","0:25.2","1:41","1:41","32","131","135","7","--","--"
"","8.2","Rana","1","25","0:38.4","1:03.6","2:34","2:34","45","138","145","7","--","--"
"","","Riposo","0","0","0:27.2","21:56","0","0","0","142","145","0","0","5"
"","9","Rana","1","25","1:13.1","23:09","4:52","4:52","86","137","144","13","13","11"
"","9.1","Rana","1","25","1:13.1","1:13.1","4:52","4:52","86","137","144","13","--","--"
"","","Riposo","0","0","1:07.3","24:17","0","0","0","123","140","0","0","8"
"","10","Rana","2","50","1:04.9","25:21","2:10","2:03","42","122","139","19","10","6"
"","10.1","Rana","1","25","0:30.7","0:30.7","2:03","2:03","39","112","127","8","--","--"
"","10.2","Rana","1","25","0:34.2","1:04.9","2:17","2:17","45","132","139","11","--","--"
"","","Riposo","0","0","0:21.0","25:43","0","0","0","134","139","0","0","3"
"","11","Misto","2","50","1:00.9","26:43","2:02","1:56","41","132","140","21","11","8"
"","11.1","Rana","1","25","0:29.1","0:29.1","1:56","1:56","39","127","136","10","--","--"
"","11.2","Stile libero","1","25","0:31.9","1:00.9","2:08","2:08","43","137","140","11","--","--"
"","","Riposo","0","0","0:25.0","27:08","0","0","0","136","140","0","0","4"
"","12","Stile libero","2","50","0:58.7","28:07","1:57","1:57","40","132","144","22","11","8"
"","12.1","Stile libero","1","25","0:29.6","0:29.6","1:58","1:58","41","128","134","11","--","--"
"","12.2","Stile libero","1","25","0:29.2","0:58.7","1:57","1:57","40","135","144","11","--","--"
"","","Riposo","0","0","0:22.5","28:30","0","0","0","141","144","0","0","4"
"","13","Stile libero","2","50","0:57.5","29:27","1:55","1:48","40","142","151","22","11","10"
"","13.1","Stile libero","1","25","0:27.1","0:27.1","1:48","1:48","38","138","145","11","--","--"
"","13.2","Stile libero","1","25","0:30.5","0:57.5","2:02","2:02","41","145","150","11","--","--"
"","","Riposo","0","0","1:07.3","30:34","0","0","0","130","151","0","0","9"
"","14","Stile libero","4","100","1:55.3","32:30","1:55","1:51","40","137","150","46","12","17"
"","14.1","Stile libero","1","25","0:27.8","0:27.8","1:51","1:51","38","120","122","10","--","--"
"","14.2","Stile libero","1","25","0:28.3","0:56.1","1:53","1:53","40","132","144","12","--","--"
