"","Ripetute","Stile","Vasche","Distanza","Tempo","Tempo cumulato","Passo medio","Passo migliore","Swolf medio","FC Media","FC max","Totale bracciate","Bracciate medie","Calorie"
"","","Riposo","0","0","0:08.7","0:08.7","0","0","0","85","90","0","0","1"
"","1","Stile libero","10","250","5:09.8","5:18.5","2:04","1:40","42","121","133","113","11","47"
"","1.1","Stile libero","1","25","0:29.3","0:29.3","1:57","1:57","40","96","119","11","--","--"
"","1.2","Stile libero","1","25","0:31.1","1:00.4","2:05","2:05","42","126","130","11","--","--"
"","1.3","Stile libero","1","25","0:31.5","1:31.9","2:06","2:06","45","121","128","13","--","--"
"","1.4","Stile libero","1","25","0:26.6","1:58.6","1:46","1:46","37","117","118","10","--","--"
"","1.5","Stile libero","1","25","0:33","2:31.6","2:12","2:12","43","123","126","10","--","--"
"","1.6","Stile libero","1","25","0:34.8","3:06.3","2:19","2:19","48","126","128","13","--","--"
"","1.7","Stile libero","1","25","0:33.1","3:39.4","2:12","2:12","45","119","127","12","--","--"
"","1.8","Stile libero","1","25","0:32.2","4:11.6","2:09","2:09","43","114","119","11","--","--"
"","1.9","Stile libero","1","25","0:33.3","4:44.9","2:13","2:13","46","117","123","13","--","--"
"","1.10","Stile libero","1","25","0:24.9","5:09.8","1:40","1:40","34","129","133","9","--","--"
"","","Riposo","0","0","0:18.6","5:37.1","0","0","0","123","125","0","0","1"
"","","Riposo","0","0","0:12.5","5:49.6","0","0","0","113","119","0","0","3"
"","2","Dorso","2","50","1:00.1","6:49.7","2:00","1:36","45","114","116","30","15","8"
"","2.1","Dorso","1","25","0:36.1","0:36.1","2:24","2:24","52","112","116","16","--","--"
"","2.2","Dorso","1","25","0:24.1","1:00.1","1:36","1:36","38","114","116","14","--","--"
"","","Riposo","0","0","0:14.8","7:04.5","0","0","0","115","116","0","0","1"
"","","Riposo","0","0","0:06.9","7:11.4","0","0","0","126","140","0","0","3"
"","3","Dorso","2","50","1:07","8:18.4","2:14","2:08","48","144","155","28","14","12"
"","3.1","Dorso","1","25","0:34.9","0:34.9","2:20","2:20","49","134","142","14","--","--"
"","3.2","Dorso","1","25","0:32.1","1:07","2:08","2:08","46","146","150","14","--","--"
"","","Riposo","0","0","0:07.8","8:26.1","0","0","0","154","155","0","0","1"
"","","Riposo","0","0","0:16.7","8:42.9","0","0","0","148","154","0","0","4"
"","4","Rana","2","50","1:02.7","9:45.6","2:05","1:46","50","146","154","37","19","16"
"","4.1","Rana","1","25","0:36.3","0:36.3","2:25","2:25","56","141","149","20","--","--"
"","4.2","Rana","1","25","0:26.4","1:02.7","1:46","1:46","43","149","151","17","--","--"
"","","Riposo","0","0","0:18.1","10:04","0","0","0","146","152","0","0","3"
"","5","Rana","2","50","1:06.2","11:10","2:12","2:05","54","149","158","41","21","15"
"","5.1","Rana","1","25","0:34.8","0:34.8","2:19","2:19","56","145","149","21","--","--"
"","5.2","Rana","1","25","0:31.4","1:06.2","2:05","2:05","51","148","151","20","--","--"
"","","Riposo","0","0","0:39.6","11:49","0","0","0","139","154","0","0","7"
"","6","Misto","2","50","1:12.5","13:02","2:25","2:09","46","134","137","19","10","12"
"","6.1","Stile libero","1","25","0:32.2","0:32.2","2:09","2:09","41","133","134","9","--","--"
"","6.2","Rana","1","25","0:40.3","1:12.5","2:41","2:41","50","135","137","10","--","--"
"","","Riposo","0","0","0:20.2","13:22","0","0","0","127","130","0","0","4"
"","7","Rana","2","50","0:43.5","14:06","1:27","1:17","29","137","142","14","7","8"
"","7.1","Rana","1","25","0:24.4","0:24.4","1:37","1:37","33","129","134","9","--","--"
"","7.2","Rana","1","25","0:19.1","0:43.5","1:17","1:17","24","136","141","5","--","--"
"","","Riposo","0","0","0:25.7","14:31","0","0","0","137","141","0","0","2"
"","","Riposo","0","0","0:08.0","14:39","0","0","0","129","132","0","0","3"
"","8","Rana","1","25","0:38.7","15:18","2:35","2:35","49","141","150","10","10","8"
"","8.1","Rana","1","25","0:38.7","0:38.7","2:35","2:35","49","133","142","10","--","--"
"","","Riposo","0","0","0:27.6","15:46","0","0","0","146","148","0","0","2"
"","","Riposo","0","0","0:26.2","16:12","0","0","0","129","145","0","0","6"
"","9","Rana","1","25","0:44.1","16:56","2:56","2:56","58","139","144","14","14","5"
"","9.1","Rana","1","25","0:44.1","0:44.1","2:56","2:56","58","136","144","14","--","--"
"","","Riposo","0","0","0:33.6","17:30","0","0","0","133","144","0","0","8"
"","10","Rana","1","25","0:18","17:48","1:12","1:12","22","136","136","4","4","2"
"","10.1","Rana","1","25","0:18","0:18","1:12","1:12","22","130","136","4","--","--"
"","","Riposo","0","0","0:09.8","17:57","0","0","0","141","146","0","0","3"
"","11","Rana","1","25","0:23.1","18:20","1:33","1:33","30","150","151","7","7","4"
"","11.1","Rana","1","25","0:23.1","0:23.1","1:33","1:33","30","145","151","7","--","--"
"","","Riposo","0","0","1:11.3","19:32","0","0","0","123","145","0","0","9"
"","12","Misto","4","100","1:59.0","21:31","1:59","1:54","41","144","152","46","12","23"
"","12.1","Rana","1","25","0:29.1","0:29.1","1:57","1:57","43","124","140","14","--","--"
"","12.2","Stile libero","1","25","0:28.4","0:57.5","1:54","1:54","37","144","151","9","--","--"
"","12.3","Stile libero","1","25","0:29.6","1:27.1","1:58","1:58","41","148","152","11","--","--"
"","12.4","Stile libero","1","25","0:31.9","1:59.0","2:08","2:08","44","149","151","12","--","--"
"","","Riposo","0","0","0:15","21:46","0","0","0","137","141","0","0","3"
"","13","Misto","8","200","4:20.4","26:06","2:10","1:56","45","146","151","96","12","52"
"","13.1","Dorso","1","25","0:31.3","0:31.3","2:05","2:05","42","140","143","11","--","--"
"","13.2","Dorso","1","25","0:32.5","1:03.8","2:10","2:10","45","144","148","12","--","--"
"","13.3","Stile libero","1","25","0:31","1:34.8","2:04","2:04","43","147","148","12","--","--"
"","13.4","Stile libero","1","25","0:29.9","2:04.7","2:00","2:00","42","148","151","12","--","--"
"","13.5","Stile libero","1","25","0:30","2:34.7","2:00","2:00","43","148","150","13","--","--"
"","13.6","Stile libero","1","25","0:29","3:03.7","1:56","1:56","41","148","149","12","--","--"
"","13.7","Stile libero","1","25","0:33.2","3:36.9","2:13","2:13","45","147","149","12","--","--"
"","13.8","Stile libero","1","25","0:43.5","4:20.4","2:54","2:54","56","147","150","12","--","--"
"","","Riposo","0","0","0:19.6","26:26","0","0","0","126","132","0","0","1"
"","14","Stile libero","8","200","4:11.8","30:38","2:06","1:54","43","143","155","96","12","47"
"","14.1","Stile libero","1","25","0:33.9","0:33.9","2:16","2:16","45","129","135","11","--","--"
"","14.2","Stile libero","1","25","0:29.8","1:03.7","1:59","1:59","42","137","141","12","--","--"
"","14.3","Stile libero","1","25","0:33.3","1:37.0","2:13","2:13","45","141","142","12","--","--"
"","14.4","Stile libero","1","25","0:30.9","2:07.9","2:03","2:03","43","144","147","12","--","--"
"","14.5","Stile libero","1","25","0:30.8","2:38.6","2:03","2:03","44","147","148","13","--","--"
"","14.6","Stile libero","1","25","0:33.5","3:12.1","2:14","2:14","47","146","151","13","--","--"
"","14.7","Stile libero","1","25","0:28.5","3:40.6","1:54","1:54","40","152","154","11","--","--"
"","14.8","Stile libero","1","25","0:31.2","4:11.8","2:05","2:05","43","153","155","12","--","--"
"","","Riposo","0","0","0:34.6","31:12","0","0","0","142","151","0","0","6"
"","15","Stile libero","4","100","1:54.9","33:07","1:55","1:50","40","143","153","47","12","20"
"","15.1","Stile libero","1","25","0:30.3","0:30.3","2:01","2:01","42","131","141","12","--","--"
