"","Ripetute","Stile","Vasche","Distanza","Tempo","Tempo cumulato","Passo medio","Passo migliore","Swolf medio","FC Media","FC max","Totale bracciate","Bracciate medie","Calorie"
"","1","Misto","9","225","5:28.6","5:28.6","2:26","2:02","49","119","133","114","13","48"
"","1.1","Stile libero","1","25","0:35.6","0:35.6","2:22","2:22","48","98","114","12","--","--"
"","1.2","Stile libero","1","25","1:03.9","1:39.6","4:16","4:16","86","112","116","22","--","--"
"","1.3","Stile libero","1","25","0:34.1","2:13.7","2:16","2:16","46","126","133","12","--","--"
"","1.4","Rana","1","25","0:32.8","2:46.4","2:11","2:11","43","122","126","10","--","--"
"","1.5","Rana","1","25","0:32.1","3:18.5","2:08","2:08","44","124","126","12","--","--"
"","1.6","Stile libero","1","25","0:30.4","3:48.9","2:02","2:02","41","126","130","11","--","--"
"","1.7","Stile libero","1","25","0:34.1","4:22.9","2:16","2:16","46","126","131","12","--","--"
"","1.8","Stile libero","1","25","0:32.8","4:55.7","2:11","2:11","44","123","125","11","--","--"
"","1.9","Stile libero","1","25","0:32.9","5:28.6","2:11","2:11","45","121","127","12","--","--"
"","","Riposo","0","0","0:26.6","5:55.2","0","0","0","114","120","0","0","4"
"","2","Misto","7","175","4:32.8","10:28","2:35","2:15","57","140","169","125","18","51"
"","2.1","Stile libero","1","25","0:37.1","0:37.1","2:28","2:28","51","115","122","14","--","--"
"","2.2","Rana","1","25","0:33.7","1:10.7","2:15","2:15","53","130","136","19","--","--"
"","2.3","Rana","1","25","0:35.4","1:46.2","2:22","2:22","55","136","140","20","--","--"
"","2.4","Rana","1","25","0:36.5","2:22.7","2:26","2:26","57","148","156","20","--","--"
"","2.5","Rana","1","25","0:49.7","3:12.4","3:19","3:19","73","161","169","23","--","--"
"","2.6","Dorso","1","25","0:42.7","3:55.1","2:51","2:51","58","137","150","15","--","--"
"","2.7","Dorso","1","25","0:35.8","4:30.8","2:23","2:23","50","133","144","14","--","--"
"","2.8","--","1","--","0:01.9","4:32.8","--","--","--","--","--","--","--","--"
"","","Riposo","0","0","0:15.3","10:43","0","0","0","133","138","0","0","3"
"","3","Dorso","1","25","0:32.9","11:16","2:12","2:12","46","138","145","13","13","6"
"","3.1","Dorso","1","25","0:32.9","0:32.9","2:12","2:12","46","133","141","13","--","--"
"","","Riposo","0","0","0:28.2","11:44","0","0","0","131","136","0","0","5"
"","4","Rana","2","50","1:01.4","12:46","2:03","2:00","41","131","137","21","11","10"
"","4.1","Rana","1","25","0:31.4","0:31.4","2:05","2:05","42","131","137","11","--","--"
"","4.2","Rana","1","25","0:30.1","1:01.4","2:00","2:00","40","132","135","10","--","--"
"","","Riposo","0","0","0:48.6","13:34","0","0","0","115","123","0","0","4"
"","","Riposo","0","0","0:28","14:02","0","0","0","110","115","0","0","3"
"","5","Rana","1","25","0:32.3","14:35","2:09","2:09","44","111","116","12","12","2"
"","5.1","Rana","1","25","0:32.3","0:32.3","2:09","2:09","44","111","114","12","--","--"
"","","Riposo","0","0","0:38.0","15:13","0","0","0","127","144","0","0","5"
"","","Riposo","0","0","0:35.1","15:48","0","0","0","125","128","0","0","6"
"","6","Rana","1","25","0:13.8","16:02","0:55","0:55","21","126","126","7","7","8"
"","6.1","Rana","1","25","0:13.8","0:13.8","0:55","0:55","21","126","126","7","--","--"
"","","Riposo","0","0","0:22.9","16:24","0","0","0","131","143","0","0","4"
"","","Riposo","0","0","36:24:32","36:40:56","0","0","0","134","137","0","0","1"
"","7","Sconosciuto","0","0","0:07.0","36:41:03","0","0","0","134","137","0","0","0"
"","7.1","--","1","--","36:24:32","36:24:32","--","--","--","132","157","--","--","--"
"","7.2","--","1","--","0:07.0","36:24:39","--","--","--","136","137","--","--","--"
"","8","Rana","2","50","0:57.6","36:42:01","1:55","1:51","37","130","139","16","8","9"
"","8.1","Rana","1","25","0:29.8","0:29.8","1:59","1:59","37","126","130","7","--","--"
"","8.2","Rana","1","25","0:27.8","0:57.6","1:51","1:51","37","133","139","9","--","--"
"","","Riposo","0","0","0:29.6","36:42:31","0","0","0","140","146","0","0","6"
"","","Riposo","0","0","0:02.5","36:42:33","0","0","0","126","128","0","0","2"
"","9","Rana","1","25","0:49.7","36:43:23","3:19","3:19","64","127","133","14","14","5"
"","9.1","Rana","1","25","0:49.7","0:49.7","3:19","3:19","64","126","132","14","--","--"
"","","Riposo","0","0","1:14.0","36:44:37","0","0","0","126","144","0","0","10"
"","10","Rana","1","25","0:26.8","36:45:04","1:47","1:47","35","117","125","8","8","4"
"","10.1","Rana","1","25","0:26.8","0:26.8","1:47","1:47","35","114","124","8","--","--"
"","","Riposo","0","0","0:25.6","36:45:29","0","0","0","127","129","0","0","2"
"","","Riposo","0","0","0:09.8","36:45:39","0","0","0","130","130","0","6","1"
"","","Riposo","0","0","0:17.4","36:45:56","0","0","0","125","129","0","0","2"
"","","Riposo","0","0","0:03.1","36:45:59","0","0","0","119","121","0","0","2"
"","11","Rana","1","25","0:20.3","36:46:20","1:21","1:21","26","127","131","6","6","3"
"","11.1","Rana","1","25","0:20.3","0:20.3","1:21","1:21","26","120","125","6","--","--"
"","","Riposo","0","0","0:18.3","36:46:38","0","0","0","115","121","0","0","1"
"","12","Stile libero","1","25","0:25.2","36:47:03","1:41","1:41","33","112","119","8","8","1"
"","12.1","Stile libero","1","25","0:25.2","0:25.2","1:41","1:41","33","113","121","8","--","--"
"","","Riposo","0","0","0:31.7","36:47:35","0","0","0","116","123","0","0","4"
"","13","Rana","2","50","0:48.7","36:48:24","1:37","1:29","34","126","134","19","10","7"
"","13.1","Rana","1","25","0:26.4","0:26.4","1:45","1:45","37","118","124","11","--","--"
"","13.2","Rana","1","25","0:22.3","0:48.7","1:29","1:29","30","123","124","8","--","--"
"","","Riposo","0","0","0:27.7","36:48:51","0","0","0","127","129","0","0","2"
"","14","Misto","2","50","1:03.1","36:49:54","2:06","2:01","41","125","132","19","10","8"
"","14.1","Stile libero","1","25","0:32.8","0:32.8","2:11","2:11","43","123","130","10","--","--"
"","14.2","Rana","1","25","0:30.3","1:03.1","2:01","2:01","39","126","131","9","--","--"
