"","Ripetute","Stile","Vasche","Distanza","Tempo","Tempo cumulato","Passo medio","Passo migliore","Swolf medio","FC Media","FC max","Totale bracciate","Bracciate medie","Calorie"
"","1","Misto","12","300","7:08.2","7:08.2","2:17","1:53","46","126","138","138","12","67"
"","1.1","Stile libero","1","25","0:34.3","0:34.3","2:17","2:17","46","102","113","12","--","--"
"","1.2","Stile libero","1","25","0:37.3","1:11.6","2:29","2:29","51","119","127","14","--","--"
"","1.3","Stile libero","1","25","0:28.2","1:39.8","1:53","1:53","37","125","126","9","--","--"
"","1.4","Stile libero","1","25","0:30.4","2:10.2","2:02","2:02","40","123","125","10","--","--"
"","1.5","Stile libero","1","25","0:35.8","2:45.9","2:23","2:23","48","125","128","12","--","--"
"","1.6","Stile libero","1","25","0:34.1","3:20.1","2:16","2:16","46","129","132","12","--","--"
"","1.7","Rana","1","25","0:31.5","3:51.6","2:06","2:06","42","133","135","10","--","--"
"","1.8","Stile libero","1","25","0:32.3","4:23.9","2:09","2:09","42","131","134","10","--","--"
"","1.9","Stile libero","1","25","0:38.9","5:02.7","2:36","2:36","52","131","133","13","--","--"
"","1.10","Stile libero","1","25","0:33.5","5:36.2","2:14","2:14","45","129","132","11","--","--"
"","1.11","Stile libero","1","25","0:34.2","6:10.4","2:17","2:17","46","133","136","12","--","--"
"","1.12","Stile libero","1","25","0:41.3","6:51.7","2:45","2:45","54","135","138","13","--","--"
"","1.13","--","1","--","0:16.4","7:08.2","--","--","--","127","134","--","--","--"
"","","Riposo","0","0","0:14.7","7:22.9","0","0","0","118","120","0","0","2"
"","2","Dorso","2","50","1:23.6","8:46.5","2:47","2:41","57","134","150","31","16","14"
"","2.1","Dorso","1","25","0:40.1","0:40.1","2:41","2:41","56","121","141","16","--","--"
"","2.2","Dorso","1","25","0:43.5","1:23.6","2:54","2:54","58","145","150","15","--","--"
"","","Riposo","0","0","0:19.4","9:05.9","0","0","0","146","151","0","0","4"
"","3","Dorso","2","50","1:07.1","10:13","2:14","2:12","46","145","154","25","13","13"
"","3.1","Dorso","1","25","0:34.1","0:34.1","2:16","2:16","46","139","146","12","--","--"
"","3.2","Dorso","1","25","0:32.9","1:07.1","2:12","2:12","46","150","153","13","--","--"
"","","Riposo","0","0","0:28.7","10:42","0","0","0","150","156","0","0","6"
"","4","Dorso","2","50","1:07.3","11:49","2:15","2:04","47","147","155","27","14","14"
"","4.1","Dorso","1","25","0:31.1","0:31.1","2:04","2:04","44","140","147","13","--","--"
"","4.2","Dorso","1","25","0:36.2","1:07.3","2:25","2:25","50","152","155","14","--","--"
