"","Ripetute","Stile","Vasche","Distanza","Tempo","Tempo cumulato","Passo medio","Passo migliore","Swolf medio","FC Media","FC max","Totale bracciate","Bracciate medie","Calorie"
"","1","Misto","20","500","13:05","13:05","2:37","1:32","51","138","166","236","12","142"
"","1.1","Stile libero","1","25","0:33.8","0:33.8","2:15","2:15","44","108","122","10","--","--"
"","1.2","Rana","1","25","0:42.8","1:16.6","2:51","2:51","55","119","127","12","--","--"
"","1.3","Rana","1","25","0:37.3","1:53.9","2:29","2:29","49","124","127","12","--","--"
"","1.4","Rana","1","25","0:22.9","2:16.8","1:32","1:32","28","124","126","5","--","--"
"","1.5","Stile libero","1","25","0:39.9","2:56.7","2:40","2:40","52","144","151","12","--","--"
"","1.6","Rana","1","25","0:34.6","3:31.4","2:19","2:19","44","146","151","9","--","--"
"","1.7","Rana","1","25","0:34.8","4:06.1","2:19","2:19","44","146","152","9","--","--"
"","1.8","Rana","1","25","0:33.2","4:39.3","2:13","2:13","42","150","151","9","--","--"
"","1.9","Stile libero","1","25","0:34.3","5:13.6","2:17","2:17","45","142","147","11","--","--"
"","1.10","Stile libero","1","25","0:35.3","5:48.9","2:21","2:21","46","138","143","11","--","--"
"","1.11","Stile libero","1","25","0:37.8","6:26.6","2:31","2:31","49","141","143","11","--","--"
"","1.12","Stile libero","1","25","0:37.4","7:04.1","2:30","2:30","47","125","142","10","--","--"
"","1.13","Stile libero","1","25","0:38.4","7:42.4","2:34","2:34","47","126","131","9","--","--"
"","1.14","Dorso","1","25","0:52.1","8:34.6","3:28","3:28","66","131","139","14","--","--"
"","1.15","Dorso","1","25","0:34.6","9:09.2","2:19","2:19","48","132","139","13","--","--"
"","1.16","Dorso","1","25","0:43.1","9:52.3","2:52","2:52","58","147","154","15","--","--"
"","1.17","Dorso","1","25","0:28.9","10:21","1:55","1:55","41","156","160","12","--","--"
"","1.18","Dorso","1","25","0:48.9","11:10","3:16","3:16","66","160","166","17","--","--"
"","1.19","Rana","1","25","0:33.4","11:44","2:14","2:14","50","144","146","17","--","--"
"","1.20","Rana","1","25","1:21.4","13:05","5:26","5:26","99","149","157","18","--","--"
"","","Riposo","0","0","0:48.7","13:54","0","0","0","129","150","0","0","7"
"","2","Rana","5","125","7:47.2","21:41","2:11","0:53","41","133","148","43","9","69"
"","2.1","Rana","1","25","0:13.3","0:13.3","0:53","0:53","18","119","123","5","--","--"
"","2.2","Rana","1","25","0:44.6","0:57.9","2:59","2:59","55","131","137","10","--","--"
"","2.3","Rana","1","25","0:40.1","1:37.9","2:40","2:40","50","136","138","10","--","--"
"","2.4","Rana","1","25","0:39.9","2:17.9","2:40","2:40","51","144","148","11","--","--"
"","2.5","Rana","1","25","0:26.3","2:44.1","1:45","1:45","33","139","141","7","--","--"
"","2.6","--","1","--","5:03.1","7:47.2","--","--","--","131","143","--","--","--"
"","","Riposo","0","0","0:13.4","21:54","0","0","0","105","107","0","0","1"
"","3","Rana","8","200","5:26.0","27:20","2:43","1:18","52","123","148","88","11","33"
"","3.1","Rana","1","25","0:34.2","0:34.2","2:17","2:17","45","113","128","11","--","--"
"","3.2","Rana","1","25","0:32.4","1:06.6","2:10","2:10","42","131","140","10","--","--"
"","3.3","Rana","1","25","0:38.6","1:45.1","2:34","2:34","50","141","148","11","--","--"
"","3.4","Rana","1","25","0:34.4","2:19.5","2:18","2:18","45","130","148","11","--","--"
"","3.5","Rana","1","25","0:53.6","3:13.1","3:35","3:35","67","118","123","13","--","--"
"","3.6","Rana","1","25","0:19.6","3:32.7","1:18","1:18","27","120","122","7","--","--"
"","3.7","Rana","1","25","0:48.8","4:21.5","3:15","3:15","61","117","123","12","--","--"
