Tempo,Swolf medio,Totale bracciate,Bracciate effettive,activity_id
3:51.2,40,92,184,activity_20623398286
3:58.7,42,101,202,activity_20623398286
4:04.2,43,102,204,activity_20623398286
4:09.8,44,104,208,activity_20623398286
4:08.2,44,106,212,activity_20623398286
4:46.7,50,111,222,activity_21030773676
4:50.7,49,98,196,activity_21278726321
4:01.0,42,91,182,activity_21278726321
3:58.4,42,95,190,activity_21278726321
4:06.5,42,89,178,activity_21977885733
4:03.3,42,92,184,activity_21977885733
4:11.8,43,96,192,activity_23136857346
