Tempo,Swolf medio,Totale bracciate,Bracciate effettive,activity_id
0:26.8,35,8,16,activity_20584599774
0:38.3,56,18,36,activity_20584599774
0:36.3,54,18,36,activity_20584599774
0:46.7,68,21,42,activity_20584599774
0:42.2,62,20,40,activity_20584599774
0:39.9,55,15,30,activity_20584599774
0:40.6,52,11,22,activity_20584599774
0:27.5,34,6,12,activity_20584599774
0:26.6,33,6,12,activity_20584599774
0:34.8,44,9,18,activity_20584599774
0:59.2,72,13,26,activity_20584599774
0:36.8,45,8,16,activity_20584599774
0:59.5,74,14,28,activity_20584599774
0:26.6,35,8,16,activity_20584599774
0:34.7,45,10,20,activity_20584599774
0:41.4,52,11,22,activity_20584599774
0:47.3,58,11,22,activity_20584599774
1:01.3,77,16,32,activity_20584599774
0:36.7,57,20,40,activity_20584599774
0:42.5,65,22,44,activity_20584599774
0:38.9,59,20,40,activity_20584599774
0:46,69,23,46,activity_20584599774
0:47.9,66,18,36,activity_20584599774
0:34.8,45,10,20,activity_20584599774
7:18.7,450,11,22,activity_20584599774
0:31.5,41,9,18,activity_20623398286
0:33.8,44,10,20,activity_20623398286
0:28.8,43,14,28,activity_20623398286
0:44.3,63,19,38,activity_20623398286
0:41.1,61,20,40,activity_20623398286
0:43.5,63,19,38,activity_20623398286
0:33.8,52,18,36,activity_20623398286
0:13.8,18,4,8,activity_20623398286
0:16.1,20,4,8,activity_20623398286
0:57.5,46,10,20,activity_20623398286
0:36.4,46,10,20,activity_20623398286
0:40.1,51,11,22,activity_20623398286
0:21.1,29,8,16,activity_20623398286
0:59.1,63,4,8,activity_20623398286
0:59.1,63,4,8,activity_20623398286
0:24.1,28,4,8,activity_20623398286
0:38.0,49,11,22,activity_20623398286
0:38.2,48,10,20,activity_20623398286
0:21.0,26,5,10,activity_20623398286
0:36,53,17,34,activity_20643588788
0:38.5,56,17,34,activity_20643588788
0:36.6,54,17,34,activity_20643588788
0:37.6,56,18,36,activity_20643588788
0:28,34,6,12,activity_20643588788
0:31.0,38,7,14,activity_20643588788
0:31.9,40,8,16,activity_20643588788
0:32.4,50,18,36,activity_20643588788
0:37.8,58,20,40,activity_20643588788
0:36.6,59,22,44,activity_20643588788
0:37.2,57,20,40,activity_20643588788
0:42.3,60,18,36,activity_20643588788
0:51.6,71,19,38,activity_20643588788
0:43,58,15,30,activity_20703880312
0:33.3,50,17,34,activity_20703880312
0:42.4,60,18,36,activity_20703880312
0:47.9,69,21,42,activity_20703880312
0:32.7,49,16,32,activity_20703880312
0:41.3,60,19,38,activity_20703880312
0:36.7,54,17,34,activity_20703880312
0:28.6,35,6,12,activity_20703880312
0:30.1,39,9,18,activity_20703880312
0:23.1,30,7,14,activity_20703880312
0:14.3,19,5,10,activity_20703880312
0:39.9,49,9,18,activity_20703880312
0:45.9,57,11,22,activity_20703880312
0:35.4,51,16,32,activity_20703880312
0:38.2,56,18,36,activity_20703880312
0:38.8,58,19,38,activity_20703880312
0:38.1,57,19,38,activity_20703880312
0:42,60,18,36,activity_20896882655
0:37.8,55,17,34,activity_20896882655
0:39,57,18,36,activity_20896882655
0:33.5,50,16,32,activity_20896882655
0:40.8,59,18,36,activity_20896882655
0:32.4,48,16,32,activity_20896882655
0:40.5,59,18,36,activity_20896882655
0:42.7,63,20,40,activity_20896882655
0:31.6,42,10,20,activity_20896882655
0:45.6,66,20,40,activity_20896882655
0:38.6,58,19,38,activity_20896882655
0:28.3,42,14,28,activity_20896882655
0:45.5,67,21,42,activity_20896882655
0:33.4,49,16,32,activity_20964911769
0:42.4,62,20,40,activity_20964911769
0:37,56,19,38,activity_20964911769
0:43.3,62,19,38,activity_20964911769
0:51.6,64,12,24,activity_20964911769
0:32.7,43,10,20,activity_20964911769
0:35.4,54,19,38,activity_20964911769
0:33.7,53,19,38,activity_20964911769
0:34.8,54,19,38,activity_20964911769
0:33.8,55,21,42,activity_20964911769
0:30.6,50,19,38,activity_20964911769
0:28,47,19,38,activity_20964911769
0:29.4,49,20,40,activity_20964911769
0:30.5,50,19,38,activity_20964911769
0:47.9,59,11,22,activity_20964911769
0:37.1,55,18,36,activity_21030773676
0:46.8,69,22,44,activity_21030773676
0:35.4,52,17,34,activity_21030773676
0:31.6,48,16,32,activity_21030773676
0:39.1,52,13,26,activity_21030773676
0:38.5,61,22,44,activity_21030773676
0:31.3,51,20,40,activity_21030773676
0:32.1,52,20,40,activity_21030773676
0:32.6,54,21,42,activity_21030773676
0:34.4,54,20,40,activity_21030773676
0:40.9,61,20,40,activity_21030773676
0:36.9,47,10,20,activity_21093720769
0:38.8,51,12,24,activity_21093720769
0:43.6,63,19,38,activity_21093720769
0:57.9,80,22,44,activity_21093720769
0:32.4,42,10,20,activity_21093720769
1:09.6,80,10,20,activity_21093720769
1:09.6,80,10,20,activity_21093720769
0:33.7,46,12,24,activity_21093720769
0:39.3,50,11,22,activity_21093720769
0:43.3,59,16,32,activity_21093720769
0:46.4,64,18,36,activity_21093720769
0:48.5,67,18,36,activity_21093720769
0:22.6,31,8,16,activity_21155856247
1:18.4,24,5,10,activity_21155856247
0:19.3,24,5,10,activity_21155856247
0:25.2,32,7,14,activity_21155856247
0:38.4,45,7,14,activity_21155856247
1:13.1,86,13,26,activity_21155856247
1:13.1,86,13,26,activity_21155856247
0:30.7,39,8,16,activity_21155856247
0:34.2,45,11,22,activity_21155856247
0:29.1,39,10,20,activity_21155856247
0:51.2,66,15,30,activity_21155856247
0:14.8,20,5,10,activity_21155856247
0:30.1,36,6,12,activity_21155856247
1:15.2,96,21,42,activity_21217798483
0:36.3,47,11,22,activity_21217798483
0:33.7,44,10,20,activity_21217798483
0:38.2,48,10,20,activity_21217798483
0:33.3,46,13,26,activity_21217798483
0:35.8,51,15,30,activity_21217798483
0:31.1,44,13,26,activity_21217798483
1:07.6,49,11,22,activity_21217798483
0:38.1,49,11,22,activity_21217798483
1:16.0,20,5,10,activity_21217798483
0:15.4,20,5,10,activity_21217798483
1:09.2,40,6,12,activity_21217798483
0:33.6,40,6,12,activity_21217798483
0:38.8,52,13,26,activity_21217798483
0:10.7,15,4,8,activity_21217798483
0:40.6,59,18,36,activity_21217798483
0:27,41,14,28,activity_21217798483
0:30.6,42,11,22,activity_21217798483
0:30.8,41,10,20,activity_21217798483
0:33.8,45,11,22,activity_21217798483
0:36.1,48,12,24,activity_21217798483
0:36.3,48,12,24,activity_21217798483
0:37.5,50,12,24,activity_21217798483
0:36.8,51,14,28,activity_21217798483
0:41.1,59,18,36,activity_21217798483
0:35.8,50,14,28,activity_21217798483
0:12.2,16,4,8,activity_21217798483
0:50.7,67,16,32,activity_21278726321
0:41,61,20,40,activity_21278726321
0:39.4,58,19,38,activity_21278726321
0:49.1,68,19,38,activity_21278726321
0:38.6,58,19,38,activity_21278726321
0:45.9,61,15,30,activity_21278726321
2:35.1,30,5,10,activity_21278726321
0:25.1,30,5,10,activity_21278726321
0:14.3,18,4,8,activity_21278726321
0:28.8,36,7,14,activity_21278726321
0:13.4,17,4,8,activity_21278726321
0:30.3,41,11,22,activity_21278726321
0:31.5,42,10,20,activity_21338113438
0:33.1,44,11,22,activity_21338113438
0:38.3,52,14,28,activity_21338113438
0:27.7,38,10,20,activity_21338113438
0:12.8,17,4,8,activity_21338113438
0:40.8,55,14,28,activity_21338113438
1:03.1,79,16,32,activity_21338113438
0:42.2,59,17,34,activity_21338113438
0:38.1,56,18,36,activity_21338113438
