Tempo,Swolf medio,Totale bracciate,Bracciate effettive,activity_id
0:17.8,25,7,14,activity_21338113438
0:29.5,37,7,14,activity_21338113438
0:37.1,48,11,22,activity_21338113438
0:42.8,55,12,24,activity_21604979588
0:37.3,49,12,24,activity_21604979588
0:22.9,28,5,10,activity_21604979588
0:34.6,44,9,18,activity_21604979588
0:34.8,44,9,18,activity_21604979588
0:33.2,42,9,18,activity_21604979588
0:33.4,50,17,34,activity_21604979588
1:21.4,99,18,36,activity_21604979588
0:13.3,18,5,10,activity_21604979588
0:44.6,55,10,20,activity_21604979588
0:40.1,50,10,20,activity_21604979588
0:39.9,51,11,22,activity_21604979588
0:26.3,33,7,14,activity_21604979588
0:34.2,45,11,22,activity_21604979588
0:32.4,42,10,20,activity_21604979588
0:38.6,50,11,22,activity_21604979588
0:34.4,45,11,22,activity_21604979588
0:53.6,67,13,26,activity_21604979588
0:19.6,27,7,14,activity_21604979588
0:48.8,61,12,24,activity_21604979588
1:04.5,77,13,26,activity_21604979588
0:27.3,36,9,18,activity_21604979588
0:58.9,73,14,28,activity_21604979588
0:34.4,46,12,24,activity_21648439085
0:42.1,62,20,40,activity_21648439085
0:16.1,20,4,8,activity_21648439085
0:14.7,19,4,8,activity_21648439085
0:27.6,41,13,26,activity_21648439085
0:26.9,33,6,12,activity_21648439085
0:27.6,35,7,14,activity_21648439085
0:41.8,54,12,24,activity_21648439085
5:57.2,25,5,10,activity_21648439085
0:19.6,25,5,10,activity_21648439085
0:37,55,18,36,activity_21648439085
0:28.4,38,10,20,activity_21648439085
0:29.6,39,9,18,activity_21648439085
0:40.7,53,12,24,activity_21648439085
0:11.6,16,4,8,activity_21648439085
0:40,51,11,22,activity_21648439085
0:53.1,68,15,30,activity_21648439085
0:20.1,27,7,14,activity_21648439085
0:11.4,15,4,8,activity_21648439085
0:51.1,64,13,26,activity_21648439085
0:12.2,17,5,10,activity_21648439085
0:12.8,17,4,8,activity_21648439085
0:24.9,34,9,18,activity_21648439085
0:48.2,60,12,24,activity_21648439085
0:40.1,52,12,24,activity_21648439085
0:44.2,56,12,24,activity_21648439085
0:30.3,41,11,22,activity_21648439085
0:41.3,55,14,28,activity_21648439085
0:39.1,58,19,38,activity_21687769191
0:35.8,53,17,34,activity_21687769191
0:51.4,64,13,26,activity_21687769191
0:31,41,10,20,activity_21687769191
0:41.3,53,12,24,activity_21687769191
0:40.3,52,12,24,activity_21759007635
0:37.3,49,12,24,activity_21759007635
0:37.8,49,11,22,activity_21759007635
0:22.4,28,6,12,activity_21759007635
0:18.3,24,6,12,activity_21759007635
1:06.6,44,7,14,activity_21759007635
0:37.3,44,7,14,activity_21759007635
0:15.3,19,4,8,activity_21759007635
0:33.1,39,6,12,activity_21759007635
0:33.9,42,8,16,activity_21759007635
0:30.1,41,11,22,activity_21759007635
0:43.5,59,15,30,activity_21759007635
0:46.8,61,14,28,activity_21759007635
0:34.8,47,12,24,activity_21832163880
0:34.8,47,12,24,activity_21832163880
0:39,56,17,34,activity_21832163880
0:40.8,59,18,36,activity_21832163880
0:20.4,24,4,8,activity_21832163880
0:11.9,16,4,8,activity_21832163880
0:19.7,24,4,8,activity_21832163880
0:10.2,15,5,10,activity_21832163880
0:37.5,46,8,16,activity_21832163880
0:30.6,41,10,20,activity_21832163880
0:29.4,38,9,18,activity_21832163880
0:30.9,41,10,20,activity_21832163880
0:30.5,40,10,20,activity_21832163880
0:40.9,58,17,34,activity_21832163880
0:13.1,17,4,8,activity_21832163880
0:15.1,19,4,8,activity_21832163880
0:33.3,43,10,20,activity_21832163880
0:38.6,52,13,26,activity_21832163880
0:14.5,19,4,8,activity_21832163880
0:43.6,56,12,24,activity_21832163880
0:42.4,59,17,34,activity_21832163880
0:50.8,68,17,34,activity_21832163880
0:52.7,73,20,40,activity_21832163880
0:27.6,37,9,18,activity_21924796837
0:34.4,50,16,32,activity_21924796837
0:38.9,55,16,32,activity_21924796837
0:36.5,52,15,30,activity_21924796837
0:52.4,64,12,24,activity_21924796837
0:35,46,11,22,activity_21924796837
0:32.6,44,11,22,activity_21924796837
0:43.2,56,13,26,activity_21924796837
0:42.2,55,13,26,activity_21924796837
0:15.6,20,4,8,activity_21924796837
0:30,40,10,20,activity_21924796837
0:15.8,21,5,10,activity_21924796837
0:41.5,52,10,20,activity_21924796837
0:48.5,61,12,24,activity_21924796837
0:44.3,54,10,20,activity_21924796837
0:24.1,29,5,10,activity_21924796837
0:30.9,42,11,22,activity_21977885733
0:40.1,54,14,28,activity_21977885733
0:27.6,37,9,18,activity_21977885733
0:28.6,43,14,28,activity_21977885733
0:42.9,62,19,38,activity_21977885733
0:35.5,54,18,36,activity_21977885733
0:45.1,67,22,44,activity_21977885733
0:22.6,30,7,14,activity_21977885733
0:31,42,11,22,activity_21977885733
0:30.7,41,10,20,activity_21977885733
0:31.5,43,11,22,activity_21977885733
0:31.3,43,12,24,activity_21977885733
0:31.1,42,11,22,activity_21977885733
0:27.1,42,15,30,activity_21977885733
0:30.5,44,13,26,activity_21977885733
0:29.5,45,15,30,activity_21977885733
0:38.8,52,13,26,activity_21977885733
0:37,49,12,24,activity_22055589786
0:30.1,41,11,22,activity_22055589786
0:33.8,45,11,22,activity_22055589786
0:34.4,46,12,24,activity_22055589786
0:35.6,47,11,22,activity_22055589786
0:59.4,85,26,52,activity_22055589786
0:30.9,49,18,36,activity_22055589786
0:37.2,56,19,38,activity_22055589786
0:24.9,33,8,16,activity_22055589786
0:18.7,23,4,8,activity_22055589786
0:37.5,49,11,22,activity_22055589786
0:18.6,24,5,10,activity_22055589786
0:10.3,15,5,10,activity_22055589786
0:37.4,46,9,18,activity_22055589786
0:45.7,56,10,20,activity_22055589786
0:47.3,57,10,20,activity_22055589786
0:36.6,57,20,40,activity_22055589786
0:36.3,57,21,42,activity_22055589786
0:16.5,23,6,12,activity_22055589786
0:52.8,75,22,44,activity_22055589786
0:26.4,33,7,14,activity_22055589786
0:11,15,4,8,activity_22055589786
0:36.6,54,17,34,activity_22055589786
0:22.4,26,4,8,activity_22055589786
0:29.9,39,9,18,activity_22211718814
0:33.4,44,11,22,activity_22211718814
0:35.3,46,11,22,activity_22211718814
0:36.5,49,12,24,activity_22211718814
0:38.3,51,13,26,activity_22211718814
0:34.8,53,18,36,activity_22211718814
0:42.1,63,21,42,activity_22211718814
0:33.4,51,18,36,activity_22211718814
0:20,26,6,12,activity_22211718814
0:31.7,49,17,34,activity_22211718814
1:04.9,43,7,14,activity_22211718814
0:35.5,43,7,14,activity_22211718814
0:29.4,39,10,20,activity_22211718814
0:30.3,41,11,22,activity_22211718814
0:30.5,42,11,22,activity_22211718814
0:30.7,42,11,22,activity_22211718814
0:29.6,40,10,20,activity_22211718814
0:31.0,42,11,22,activity_22211718814
0:40.1,51,11,22,activity_22211718814
0:45.1,56,11,22,activity_22211718814
0:48,61,13,26,activity_22211718814
0:34.9,46,11,22,activity_22211718814
0:50.9,64,13,26,activity_22211718814
0:48.6,65,16,32,activity_22211718814
0:41.5,52,10,20,activity_22211718814
1:10.4,95,25,50,activity_22234851951
0:31.1,41,10,20,activity_22234851951
0:31.8,43,11,22,activity_22234851951
0:20.9,27,6,12,activity_22234851951
0:32.3,51,19,38,activity_22234851951
0:33.7,55,21,42,activity_22234851951
0:47.2,71,24,48,activity_22234851951
0:34.2,54,20,40,activity_22234851951
0:27.8,36,8,16,activity_22234851951
0:20.8,27,6,12,activity_22234851951
0:30.6,39,8,16,activity_22234851951
0:17.2,22,5,10,activity_22234851951
0:27.8,36,8,16,activity_22234851951
0:33.7,42,8,16,activity_22234851951
0:34.1,46,12,24,activity_22234851951
0:14.4,18,4,8,activity_22234851951
0:32,42,10,20,activity_22234851951
0:37.1,49,12,24,activity_22234851951
0:43.4,55,12,24,activity_22234851951
0:41.3,60,19,38,activity_22234851951
0:30.3,41,11,22,activity_22313679826
0:27.3,36,9,18,activity_22313679826
0:32.6,44,11,22,activity_22313679826
0:32.1,42,10,20,activity_22313679826
0:33.9,45,11,22,activity_22313679826
0:35.1,47,12,24,activity_22313679826
0:38.7,58,19,38,activity_22313679826
0:44.1,65,21,42,activity_22313679826
0:22.8,28,5,10,activity_22313679826
0:28.2,34,6,12,activity_22313679826
0:27,35,8,16,activity_22313679826
0:22.2,28,6,12,activity_22313679826
0:27.1,36,9,18,activity_22313679826
0:21.5,27,6,12,activity_22313679826
0:24.9,33,8,16,activity_22313679826
0:22.6,29,6,12,activity_22313679826
0:35.9,47,11,22,activity_22313679826
0:26.9,35,8,16,activity_22313679826
0:30.5,42,11,22,activity_22313679826
0:29.9,39,9,18,activity_22313679826
0:29.5,40,10,20,activity_22313679826
0:29.1,38,9,18,activity_22313679826
0:31.1,42,11,22,activity_22313679826
0:25.6,34,8,16,activity_22313679826
0:30.2,41,11,22,activity_22313679826
0:30.4,41,11,22,activity_22313679826
0:28.0,38,10,20,activity_22313679826
0:32.4,43,11,22,activity_22313679826
0:42.9,57,14,28,activity_22313679826
0:41.8,63,21,42,activity_22313679826
0:30.1,39,9,18,activity_22462220610
0:35.6,48,12,24,activity_22462220610
0:36.2,47,11,22,activity_22462220610
0:35,47,12,24,activity_22462220610
0:51.3,67,16,32,activity_22462220610
0:33.4,45,12,24,activity_22462220610
0:34.3,45,11,22,activity_22462220610
0:33.4,43,10,20,activity_22462220610
0:30.9,42,11,22,activity_22462220610
0:34.1,47,13,26,activity_22462220610
0:55.1,69,14,28,activity_22462220610
0:24.2,28,4,8,activity_22462220610
0:35.9,49,13,26,activity_22462220610
0:53.8,68,14,28,activity_22462220610
0:37.5,48,10,20,activity_22462220610
0:20.9,25,4,8,activity_22462220610
0:37.5,51,13,26,activity_22462220610
0:20.3,26,6,12,activity_22462220610
0:20.3,26,6,12,activity_22462220610
0:21.5,28,7,14,activity_22462220610
0:21.5,28,7,14,activity_22462220610
0:21.3,27,6,12,activity_22462220610
0:21.3,27,6,12,activity_22462220610
0:39.2,52,13,26,activity_22531752745
0:31,41,10,20,activity_22531752745
0:31.2,42,11,22,activity_22531752745
0:34.9,47,12,24,activity_22531752745
0:54.8,69,14,28,activity_22531752745
0:34.4,45,11,22,activity_22531752745
0:56.1,81,25,50,activity_22531752745
0:29.9,47,17,34,activity_22531752745
0:41.4,53,12,24,activity_22531752745
0:42.8,52,9,18,activity_22531752745
6:37.3,42,6,12,activity_22531752745
0:35.8,42,6,12,activity_22531752745
0:31.3,41,10,20,activity_22531752745
0:27.4,35,8,16,activity_22531752745
0:33.1,43,10,20,activity_22531752745
0:25.5,33,8,16,activity_22531752745
0:33.6,45,11,22,activity_22531752745
0:24.0,32,8,16,activity_22531752745
0:33.1,43,10,20,activity_22531752745
0:24.3,32,8,16,activity_22531752745
0:41.1,63,22,44,activity_22531752745
0:21.1,28,7,14,activity_22531752745
0:37.3,57,20,40,activity_22531752745
0:37.8,60,22,44,activity_22531752745
0:51.9,77,25,50,activity_22531752745
0:35.1,45,10,20,activity_22531752745
0:33.8,44,10,20,activity_22531752745
0:32.8,44,11,22,activity_22591687538
0:32.6,43,10,20,activity_22591687538
0:33.8,44,10,20,activity_22591687538
0:34,45,11,22,activity_22591687538
0:34.8,45,10,20,activity_22591687538
0:41.8,63,21,42,activity_22591687538
0:42.3,62,20,40,activity_22591687538
0:38.4,59,21,42,activity_22591687538
0:33.6,48,14,28,activity_22591687538
0:30,37,7,14,activity_22591687538
0:23.2,29,6,12,activity_22591687538
0:25.6,33,7,14,activity_22591687538
0:24.0,29,5,10,activity_22591687538
0:28.7,37,8,16,activity_22591687538
0:21.1,26,5,10,activity_22591687538
0:26.4,33,7,14,activity_22591687538
0:22.8,28,5,10,activity_22591687538
0:25.8,34,8,16,activity_22591687538
0:26.9,37,10,20,activity_22591687538
0:27.2,36,9,18,activity_22591687538
0:40.7,54,13,26,activity_22591687538
0:30.3,40,10,20,activity_22591687538
0:29.4,39,10,20,activity_22591687538
0:32.1,51,19,38,activity_22591687538
0:33.1,54,21,42,activity_22591687538
0:31,42,11,22,activity_22591687538
0:44.4,57,13,26,activity_22591687538
0:42.4,54,12,24,activity_22591687538
0:40.3,51,11,22,activity_22591687538
1:20.4,97,17,34,activity_22591687538
0:42.6,55,12,24,activity_22805238416
0:30.2,40,10,20,activity_22805238416
0:31.1,41,10,20,activity_22805238416
0:27.2,35,8,16,activity_22805238416
0:32.9,43,10,20,activity_22805238416
0:31.2,42,11,22,activity_22805238416
0:35.5,53,17,34,activity_22805238416
0:32.3,47,15,30,activity_22805238416
0:41.3,60,19,38,activity_22805238416
0:42.5,60,18,36,activity_22805238416
0:28.9,36,7,14,activity_22805238416
0:23.5,29,5,10,activity_22805238416
0:53.7,67,13,26,activity_22805238416
0:53.7,67,13,26,activity_22805238416
0:34.1,44,10,20,activity_22805238416
0:26.1,34,8,16,activity_22805238416
0:29.5,39,9,18,activity_22805238416
0:29.9,39,9,18,activity_22805238416
0:30.5,41,10,20,activity_22805238416
0:30.6,40,9,18,activity_22805238416
0:30.5,40,9,18,activity_22805238416
0:29.2,38,9,18,activity_22805238416
0:26.8,37,10,20,activity_22805238416
0:28.8,39,10,20,activity_22805238416
0:46.3,65,19,38,activity_22805238416
0:40.1,57,17,34,activity_22805238416
0:37.8,56,18,36,activity_22805238416
0:25.8,35,9,18,activity_22805238416
0:22.3,29,7,14,activity_22805238416
0:19.3,24,5,10,activity_22805238416
0:26.3,36,10,20,activity_22805238416
0:19.8,27,7,14,activity_22805238416
0:22.6,31,8,16,activity_22805238416
0:40.3,59,19,38,activity_22805238416
0:14.7,19,4,8,activity_22805238416
0:31.9,41,9,18,activity_22888699241
0:31.1,41,10,20,activity_22888699241
0:30.6,41,10,20,activity_22888699241
0:31.4,41,10,20,activity_22888699241
0:31.2,40,9,18,activity_22888699241
0:32.6,44,11,22,activity_22888699241
0:32.7,44,11,22,activity_22888699241
0:32.6,43,10,20,activity_22888699241
0:48.0,59,11,22,activity_22888699241
0:44.4,66,22,44,activity_22888699241
0:32.5,50,17,34,activity_22888699241
0:36.1,55,19,38,activity_22888699241
0:40.9,61,20,40,activity_22888699241
0:32.8,42,9,18,activity_22888699241
0:20.9,25,4,8,activity_22888699241
0:27.5,36,8,16,activity_22888699241
0:24.3,30,6,12,activity_22888699241
0:26.8,33,6,12,activity_22888699241
0:23.9,30,6,12,activity_22888699241
0:50.5,64,13,26,activity_22888699241
0:50.5,64,13,26,activity_22888699241
0:35.1,46,11,22,activity_22888699241
0:26.7,35,8,16,activity_22888699241
0:31,41,10,20,activity_22888699241
0:31.1,41,10,20,activity_22888699241
0:32.6,44,11,22,activity_22888699241
0:31.0,39,8,16,activity_22888699241
0:32.8,45,12,24,activity_22888699241
0:27.1,36,9,18,activity_22888699241
0:28.0,38,10,20,activity_22888699241
0:28.6,39,10,20,activity_22888699241
0:17.9,23,5,10,activity_22888699241
0:29,39,10,20,activity_23054288152
0:34.8,53,18,36,activity_23054288152
0:35.6,54,18,36,activity_23054288152
0:35.2,54,19,38,activity_23054288152
0:34.9,55,20,40,activity_23054288152
0:29.4,38,9,18,activity_23054288152
0:27.7,36,8,16,activity_23054288152
0:32.8,43,10,20,activity_23054288152
0:24.8,33,8,16,activity_23054288152
0:29.4,39,10,20,activity_23054288152
0:27.0,35,8,16,activity_23054288152
0:31.1,41,10,20,activity_23054288152
0:58.9,75,16,32,activity_23054288152
0:33.9,52,18,36,activity_23054288152
0:39.2,59,20,40,activity_23054288152
0:40.5,62,21,42,activity_23054288152
0:46.4,62,16,32,activity_23054288152
0:36.3,56,20,40,activity_23136857346
0:26.4,43,17,34,activity_23136857346
0:34.8,56,21,42,activity_23136857346
0:31.4,51,20,40,activity_23136857346
0:40.3,50,10,20,activity_23136857346
0:24.4,33,9,18,activity_23136857346
0:19.1,24,5,10,activity_23136857346
0:38.7,49,10,20,activity_23136857346
0:38.7,49,10,20,activity_23136857346
0:44.1,58,14,28,activity_23136857346
0:44.1,58,14,28,activity_23136857346
0:18,22,4,8,activity_23136857346
0:18,22,4,8,activity_23136857346
0:23.1,30,7,14,activity_23136857346
0:23.1,30,7,14,activity_23136857346
0:29.1,43,14,28,activity_23136857346
0:32.8,43,10,20,activity_23302772273
0:32.1,44,12,24,activity_23302772273
0:33.7,53,19,38,activity_23302772273
0:35.4,55,20,40,activity_23302772273
0:36.5,57,20,40,activity_23302772273
0:49.7,73,23,46,activity_23302772273
0:31.4,42,11,22,activity_23302772273
0:30.1,40,10,20,activity_23302772273
0:32.3,44,12,24,activity_23302772273
0:32.3,44,12,24,activity_23302772273
0:13.8,21,7,14,activity_23302772273
0:13.8,21,7,14,activity_23302772273
0:29.8,37,7,14,activity_23302772273
0:27.8,37,9,18,activity_23302772273
0:49.7,64,14,28,activity_23302772273
0:49.7,64,14,28,activity_23302772273
0:26.8,35,8,16,activity_23302772273
0:26.8,35,8,16,activity_23302772273
0:20.3,26,6,12,activity_23302772273
0:20.3,26,6,12,activity_23302772273
0:26.4,37,11,22,activity_23302772273
0:22.3,30,8,16,activity_23302772273
0:30.3,39,9,18,activity_23302772273
0:31.6,43,11,22,activity_23302772273
0:33.9,51,17,34,activity_23302772273
0:38.5,58,19,38,activity_23302772273
0:28.9,38,9,18,activity_23302772273
0:29.4,42,13,26,activity_23302772273
0:29.4,42,13,26,activity_23302772273
0:24.8,35,10,20,activity_23327783116
1:01.7,82,20,40,activity_23327783116
0:32.9,48,15,30,activity_23327783116
0:33.5,50,16,32,activity_23327783116
0:33.2,50,17,34,activity_23327783116
0:30.8,44,13,26,activity_23327783116
0:30.8,44,13,26,activity_23327783116
0:28.6,40,11,22,activity_23327783116
0:28.6,40,11,22,activity_23327783116
0:27.3,36,9,18,activity_23327783116
0:27.3,36,9,18,activity_23327783116
0:18.3,25,7,14,activity_23327783116
0:18.3,25,7,14,activity_23327783116
0:25.9,37,11,22,activity_23327783116
0:25.9,37,11,22,activity_23327783116
0:32.1,48,16,32,activity_23327783116
0:32.1,48,16,32,activity_23327783116
0:43.7,61,17,34,activity_23327783116
0:43.7,61,17,34,activity_23327783116
0:16.2,22,6,12,activity_23327783116
0:31.6,45,13,26,activity_23327783116
0:31.6,45,13,26,activity_23327783116
0:28.2,45,17,34,activity_23327783116
0:28.2,45,17,34,activity_23327783116
0:31.4,48,17,34,activity_23327783116
0:38.3,49,11,22,activity_23327783116
0:18.2,24,6,12,activity_23327783116
0:18.2,24,6,12,activity_23327783116
0:30.7,43,12,24,activity_23327783116
0:30.7,43,12,24,activity_23327783116
0:20.4,26,6,12,activity_23327783116
