Tempo,Swolf medio,Totale bracciate,Bracciate effettive,activity_id
1:23.5,38,30,60,activity_21648439085
1:24.4,39,32,64,activity_21648439085
1:27.0,39,31,62,activity_21648439085
1:26.3,39,32,64,activity_21648439085
1:22.5,38,33,66,activity_21687769191
1:23.5,39,35,70,activity_21687769191
1:23.3,40,36,72,activity_21687769191
1:27.6,42,39,78,activity_21687769191
1:22.2,39,36,72,activity_21687769191
1:29.1,42,38,76,activity_21687769191
1:30.0,43,39,78,activity_21687769191
1:23.0,38,32,64,activity_22313679826
1:25.8,39,32,64,activity_22313679826
1:24.5,39,34,68,activity_22313679826
1:23.0,38,31,62,activity_22462220610
1:24.1,39,33,66,activity_22462220610
1:22.9,38,32,64,activity_22462220610
1:24.7,39,32,64,activity_22462220610
1:23.1,38,32,64,activity_22462220610
1:23.9,39,34,68,activity_22462220610
1:20.1,35,26,52,activity_22591687538
1:20.5,36,28,56,activity_22591687538
1:22.4,37,30,60,activity_22591687538
1:20.2,36,29,58,activity_22591687538
1:48.1,48,37,74,activity_23136857346
1:26.2,40,33,66,activity_23136857346
