Ripetute,Stile,Vasche,Distanza,Tempo,Tempo cumulato,Passo medio,Passo migliore,Swolf medio,FC Media,FC max,Totale bracciate,Bracciate medie,Calorie,activity_id
1,Misto,30,750,22:00,22:00,2:35,1:40,51,133,159,363,12,206,activity_20584599774
1.1,Stile libero,1,25,0:34.4,0:34.4,2:18,2:18,45,105,124,11,--,--,activity_20584599774
1.2,Stile libero,1,25,0:31.7,1:06.1,2:07,2:07,42,125,137,10,--,--,activity_20584599774
1.3,Stile libero,1,25,0:38.1,1:44.2,2:32,2:32,50,142,143,12,--,--,activity_20584599774
1.4,Rana,1,25,0:26.8,2:10.9,1:47,1:47,35,133,139,8,--,--,activity_20584599774
1.5,Rana,1,25,0:38.3,2:49.2,2:33,2:33,56,134,141,18,--,--,activity_20584599774
1.6,Rana,1,25,0:36.3,3:25.4,2:25,2:25,54,141,144,18,--,--,activity_20584599774
1.7,Rana,1,25,0:46.7,4:12.1,3:07,3:07,68,141,145,21,--,--,activity_20584599774
1.8,Rana,1,25,0:42.2,4:54.3,2:49,2:49,62,143,145,20,--,--,activity_20584599774
1.9,Dorso,1,25,0:37.8,5:32.1,2:31,2:31,52,142,146,14,--,--,activity_20584599774
1.10,Dorso,1,25,0:39.9,6:11.9,2:39,2:39,56,130,132,16,--,--,activity_20584599774
1.11,Rana,1,25,0:39.9,6:51.9,2:40,2:40,55,121,128,15,--,--,activity_20584599774
1.12,Dorso,1,25,0:54.1,7:46.0,3:36,3:36,72,149,159,18,--,--,activity_20584599774
1.13,Stile libero,1,25,0:31.9,8:17.9,2:08,2:08,43,149,153,11,--,--,activity_20584599774
1.14,Stile libero,1,25,0:50.4,9:08.3,3:22,3:22,63,137,141,13,--,--,activity_20584599774
1.15,Stile libero,1,25,0:37.8,9:46.1,2:31,2:31,50,140,144,12,--,--,activity_20584599774
1.16,Stile libero,1,25,0:28.6,10:15,1:54,1:54,39,143,148,10,--,--,activity_20584599774
1.17,Rana,1,25,0:40.6,10:55,2:43,2:43,52,131,142,11,--,--,activity_20584599774
1.18,Rana,1,25,0:27.5,11:23,1:50,1:50,34,126,133,6,--,--,activity_20584599774
1.19,Dorso,1,25,0:24.9,11:48,1:40,1:40,31,131,137,6,--,--,activity_20584599774
1.20,Rana,1,25,0:26.6,12:14,1:46,1:46,33,132,136,6,--,--,activity_20584599774
1.21,Rana,1,25,0:34.8,12:49,2:19,2:19,44,124,130,9,--,--,activity_20584599774
1.22,Rana,1,25,0:59.2,13:48,3:57,3:57,72,129,132,13,--,--,activity_20584599774
1.23,Rana,1,25,0:36.8,14:25,2:27,2:27,45,126,129,8,--,--,activity_20584599774
1.24,Rana,1,25,0:59.5,15:25,3:58,3:58,74,130,135,14,--,--,activity_20584599774
1.25,Rana,1,25,0:26.6,15:51,1:46,1:46,35,131,135,8,--,--,activity_20584599774
1.26,Stile libero,1,25,0:29.6,16:21,1:58,1:58,37,137,144,7,--,--,activity_20584599774
1.27,Rana,1,25,0:34.7,16:55,2:19,2:19,45,123,127,10,--,--,activity_20584599774
1.28,Rana,1,25,0:41.4,17:37,2:46,2:46,52,134,137,11,--,--,activity_20584599774
1.29,Rana,1,25,0:47.3,18:24,3:09,3:09,58,129,135,11,--,--,activity_20584599774
1.30,Rana,1,25,1:01.3,19:25,4:05,4:05,77,131,139,16,--,--,activity_20584599774
1.31,--,1,--,2:34.9,22:00,--,--,--,130,144,--,--,--,activity_20584599774
,Riposo,0,0,1:20.0,23:20,0,0,0,116,132,0,0,7,activity_20584599774
2,Stile libero,40,"1,000",21:19,44:39,2:08,1:41,44,152,166,498,13,253,activity_20584599774
2.1,Stile libero,1,25,0:37.9,0:37.9,2:32,2:32,51,126,139,13,--,--,activity_20584599774
2.2,Stile libero,1,25,0:26,1:03.9,1:44,1:44,35,148,152,9,--,--,activity_20584599774
2.3,Stile libero,1,25,0:30.4,1:34.3,2:02,2:02,41,154,159,11,--,--,activity_20584599774
2.4,Stile libero,1,25,0:29.8,2:04.1,1:59,1:59,41,162,164,11,--,--,activity_20584599774
2.5,Stile libero,1,25,0:29.5,2:33.6,1:58,1:58,42,156,161,12,--,--,activity_20584599774
2.6,Stile libero,1,25,0:33.9,3:07.6,2:16,2:16,47,153,156,13,--,--,activity_20584599774
2.7,Stile libero,1,25,0:25.3,3:32.8,1:41,1:41,35,149,151,10,--,--,activity_20584599774
2.8,Stile libero,1,25,0:34.8,4:07.6,2:19,2:19,47,153,158,12,--,--,activity_20584599774
2.9,Stile libero,1,25,0:28.9,4:36.4,1:55,1:55,41,155,157,12,--,--,activity_20584599774
2.10,Stile libero,1,25,0:33.3,5:09.7,2:13,2:13,46,150,152,13,--,--,activity_20584599774
2.11,Stile libero,1,25,0:32.8,5:42.4,2:11,2:11,46,149,151,13,--,--,activity_20584599774
2.12,Stile libero,1,25,0:31.8,6:14.2,2:07,2:07,45,150,152,13,--,--,activity_20584599774
2.13,Stile libero,1,25,0:29.8,6:44.0,1:59,1:59,42,150,151,12,--,--,activity_20584599774
2.14,Stile libero,1,25,0:34.8,7:18.7,2:19,2:19,48,149,151,13,--,--,activity_20584599774
2.15,Stile libero,1,25,0:34.8,7:53.6,2:19,2:19,50,151,153,15,--,--,activity_20584599774
2.16,Stile libero,1,25,0:28.6,8:22.1,1:54,1:54,40,155,158,11,--,--,activity_20584599774
2.17,Stile libero,1,25,0:33.3,8:55.4,2:13,2:13,46,152,153,13,--,--,activity_20584599774
2.18,Stile libero,1,25,0:33,9:28.4,2:12,2:12,45,148,152,12,--,--,activity_20584599774
2.19,Stile libero,1,25,0:36.9,10:05,2:27,2:27,50,148,150,13,--,--,activity_20584599774
2.20,Stile libero,1,25,0:36.2,10:41,2:25,2:25,51,148,151,15,--,--,activity_20584599774
2.21,Stile libero,1,25,0:31.6,11:13,2:06,2:06,46,149,151,14,--,--,activity_20584599774
2.22,Stile libero,1,25,0:27.8,11:41,1:51,1:51,38,151,152,10,--,--,activity_20584599774
2.23,Stile libero,1,25,0:31.8,12:13,2:07,2:07,44,150,152,12,--,--,activity_20584599774
2.24,Stile libero,1,25,0:32.9,12:45,2:12,2:12,47,155,156,14,--,--,activity_20584599774
2.25,Stile libero,1,25,0:29.6,13:15,1:58,1:58,41,154,156,11,--,--,activity_20584599774
2.26,Stile libero,1,25,0:33.6,13:49,2:15,2:15,47,151,152,13,--,--,activity_20584599774
2.27,Stile libero,1,25,0:32.6,14:21,2:10,2:10,45,151,152,12,--,--,activity_20584599774
2.28,Stile libero,1,25,0:33.3,14:55,2:13,2:13,46,152,155,13,--,--,activity_20584599774
2.29,Stile libero,1,25,0:35.5,15:30,2:22,2:22,50,153,158,14,--,--,activity_20584599774
2.30,Stile libero,1,25,0:32.9,16:03,2:12,2:12,45,150,153,12,--,--,activity_20584599774
2.31,Stile libero,1,25,0:31.9,16:35,2:08,2:08,45,154,156,13,--,--,activity_20584599774
2.32,Stile libero,1,25,0:30.3,17:05,2:01,2:01,41,150,153,11,--,--,activity_20584599774
2.33,Stile libero,1,25,0:36.1,17:41,2:25,2:25,51,154,156,15,--,--,activity_20584599774
2.34,Stile libero,1,25,0:29.1,18:10,1:57,1:57,40,153,155,11,--,--,activity_20584599774
2.35,Stile libero,1,25,0:32.9,18:43,2:12,2:12,47,156,159,14,--,--,activity_20584599774
2.36,Stile libero,1,25,0:28.1,19:11,1:52,1:52,40,154,155,12,--,--,activity_20584599774
2.37,Stile libero,1,25,0:30.4,19:42,2:02,2:02,42,153,156,12,--,--,activity_20584599774
2.38,Stile libero,1,25,0:31,20:13,2:04,2:04,43,158,166,12,--,--,activity_20584599774
2.39,Stile libero,1,25,0:39.4,20:52,2:38,2:38,55,157,164,16,--,--,activity_20584599774
2.40,Stile libero,1,25,0:26.4,21:19,1:45,1:45,37,153,155,11,--,--,activity_20584599774
,Riposo,0,0,1:34.5,46:13,0,0,0,130,156,0,0,9,activity_20584599774
3,Misto,12,300,15:38,1:01:52,5:13,2:19,96,140,159,211,18,120,activity_20584599774
3.1,Rana,1,25,0:36.7,0:36.7,2:27,2:27,57,124,141,20,--,--,activity_20584599774
3.2,Rana,1,25,0:42.5,1:19.2,2:50,2:50,65,152,159,22,--,--,activity_20584599774
3.3,Rana,1,25,0:38.9,1:58.1,2:36,2:36,59,152,159,20,--,--,activity_20584599774
3.4,Rana,1,25,0:46,2:44.1,3:04,3:04,69,151,154,23,--,--,activity_20584599774
3.5,Dorso,1,25,0:50.4,3:34.4,3:22,3:22,66,146,152,16,--,--,activity_20584599774
3.6,Dorso,1,25,0:47.2,4:21.6,3:09,3:09,65,154,157,18,--,--,activity_20584599774
3.7,Rana,1,25,0:47.9,5:09.5,3:12,3:12,66,153,158,18,--,--,activity_20584599774
3.8,Dorso,1,25,1:00.4,6:09.9,4:02,4:02,79,148,152,19,--,--,activity_20584599774
3.9,Dorso,1,25,0:45.1,6:55.0,3:01,3:01,61,142,151,16,--,--,activity_20584599774
3.10,Dorso,1,25,0:49.8,7:44.7,3:19,3:19,68,143,147,18,--,--,activity_20584599774
3.11,Rana,1,25,0:34.8,8:19.5,2:19,2:19,45,145,149,10,--,--,activity_20584599774
3.12,Rana,1,25,7:18.7,15:38,29:14,29:14,450,133,146,11,--,--,activity_20584599774
Riepilogo,--,82,"2,050",1:01:52,1:01:52,2:45,1:40,54,141,166,"1,072",13,595,activity_20584599774
1,Misto,18,450,10:43,10:43,2:19,0:55,48,126,160,231,13,98,activity_20623398286
1.1,Stile libero,1,25,0:37.4,0:37.4,2:30,2:30,49,84,103,12,--,--,activity_20623398286
1.2,Stile libero,1,25,0:31.1,1:08.5,2:04,2:04,41,108,115,10,--,--,activity_20623398286
1.3,Stile libero,1,25,0:39.7,1:48.2,2:39,2:39,52,112,115,12,--,--,activity_20623398286
1.4,Rana,1,25,0:31.5,2:19.7,2:06,2:06,41,118,121,9,--,--,activity_20623398286
1.5,Rana,1,25,0:33.8,2:53.5,2:15,2:15,44,98,101,10,--,--,activity_20623398286
1.6,Rana,1,25,0:28.8,3:22.3,1:55,1:55,43,99,106,14,--,--,activity_20623398286
1.7,Rana,1,25,0:44.3,4:06.6,2:57,2:57,63,107,110,19,--,--,activity_20623398286
1.8,Rana,1,25,0:41.1,4:47.7,2:44,2:44,61,108,116,20,--,--,activity_20623398286
1.9,Rana,1,25,0:43.5,5:31.2,2:54,2:54,63,128,133,19,--,--,activity_20623398286
1.10,Rana,1,25,0:33.8,6:05.1,2:15,2:15,52,131,147,18,--,--,activity_20623398286
1.11,Dorso,1,25,0:51.9,6:57.0,3:28,3:28,69,146,153,17,--,--,activity_20623398286
1.12,Dorso,1,25,0:39.1,7:36.1,2:36,2:36,53,146,150,14,--,--,activity_20623398286
1.13,Rana,1,25,0:13.8,7:49.9,0:55,0:55,18,141,149,4,--,--,activity_20623398286
1.14,Dorso,1,25,0:28.4,8:18.3,1:54,1:54,39,151,153,11,--,--,activity_20623398286
1.15,Rana,1,25,0:16.1,8:34.4,1:05,1:05,20,149,151,4,--,--,activity_20623398286
1.16,Dorso,1,25,0:29.8,9:04.2,1:59,1:59,41,156,160,11,--,--,activity_20623398286
1.17,Stile libero,1,25,0:44.4,9:48.6,2:58,2:58,60,153,157,16,--,--,activity_20623398286
1.18,Stile libero,1,25,0:38.1,10:27,2:32,2:32,49,141,148,11,--,--,activity_20623398286
1.19,--,1,--,0:16.2,10:43,--,--,--,128,133,--,--,--,activity_20623398286
,Riposo,0,0,0:34.1,11:17,0,0,0,115,122,0,0,3,activity_20623398286
2,Stile libero,2,50,1:03.3,12:20,2:07,1:33,38,125,135,13,7,8,activity_20623398286
2.1,Stile libero,1,25,0:40,0:40,2:40,2:40,49,119,129,9,--,--,activity_20623398286
2.2,Stile libero,1,25,0:23.3,1:03.3,1:33,1:33,27,134,135,4,--,--,activity_20623398286
,Riposo,0,0,0:19.5,12:40,0,0,0,135,137,0,0,3,activity_20623398286
3,Rana,1,25,0:57.5,13:37,2:26,2:26,46,133,140,10,10,9,activity_20623398286
3.1,Rana,1,25,0:36.4,0:36.4,2:26,2:26,46,130,138,10,--,--,activity_20623398286
3.2,--,1,--,0:21.1,0:57.5,--,--,--,138,140,--,--,--,activity_20623398286
,Riposo,0,0,0:26.2,14:04,0,0,0,135,139,0,0,4,activity_20623398286
4,Rana,2,50,1:01.2,15:05,2:02,1:24,40,128,132,19,10,8,activity_20623398286
4.1,Rana,1,25,0:40.1,0:40.1,2:41,2:41,51,126,130,11,--,--,activity_20623398286
4.2,Rana,1,25,0:21.1,1:01.2,1:24,1:24,29,130,132,8,--,--,activity_20623398286
,Riposo,0,0,0:18.3,15:23,0,0,0,133,135,0,0,3,activity_20623398286
5,Rana,1,25,0:59.1,16:22,3:56,3:56,63,133,140,4,4,9,activity_20623398286
5.1,Rana,1,25,0:59.1,0:59.1,3:56,3:56,63,133,140,4,--,--,activity_20623398286
,Riposo,0,0,0:22.4,16:45,0,0,0,137,141,0,0,4,activity_20623398286
6,Rana,2,50,1:02.1,17:47,2:04,1:36,39,128,133,15,8,8,activity_20623398286
6.1,Rana,1,25,0:24.1,0:24.1,1:36,1:36,28,124,130,4,--,--,activity_20623398286
6.2,Rana,1,25,0:38.0,1:02.1,2:32,2:32,49,130,133,11,--,--,activity_20623398286
,Riposo,0,0,0:19.0,18:06,0,0,0,134,135,0,0,3,activity_20623398286
7,Rana,2,50,0:59.2,19:05,1:58,1:24,37,131,140,15,8,8,activity_20623398286
7.1,Rana,1,25,0:38.2,0:38.2,2:33,2:33,48,128,137,10,--,--,activity_20623398286
7.2,Rana,1,25,0:21.0,0:59.2,1:24,1:24,26,137,140,5,--,--,activity_20623398286
,Riposo,0,0,0:20.9,19:26,0,0,0,137,142,0,0,4,activity_20623398286
8,Stile libero,2,50,0:55.6,20:21,1:51,1:37,35,133,139,15,8,9,activity_20623398286
8.1,Stile libero,1,25,0:31.4,0:31.4,2:06,2:06,39,129,137,8,--,--,activity_20623398286
8.2,Stile libero,1,25,0:24.2,0:55.6,1:37,1:37,31,137,139,7,--,--,activity_20623398286
,Riposo,0,0,0:21.4,20:43,0,0,0,138,141,0,0,4,activity_20623398286
9,Stile libero,2,50,0:47.1,21:30,1:34,1:17,31,137,147,14,7,7,activity_20623398286
9.1,Stile libero,1,25,0:27.8,0:27.8,1:51,1:51,36,131,143,8,--,--,activity_20623398286
9.2,Stile libero,1,25,0:19.3,0:47.1,1:17,1:17,25,146,147,6,--,--,activity_20623398286
,Riposo,0,0,1:32.5,23:02,0,0,0,125,144,0,0,11,activity_20623398286
10,Stile libero,8,200,3:51.2,26:54,1:56,1:42,40,148,159,92,12,43,activity_20623398286
10.1,Stile libero,1,25,0:28.6,0:28.6,1:55,1:55,39,122,136,10,--,--,activity_20623398286
10.2,Stile libero,1,25,0:26.2,0:54.8,1:45,1:45,37,138,142,11,--,--,activity_20623398286
10.3,Stile libero,1,25,0:30.3,1:25.1,2:01,2:01,42,145,147,12,--,--,activity_20623398286
10.4,Stile libero,1,25,0:25.6,1:50.6,1:42,1:42,36,148,154,10,--,--,activity_20623398286
10.5,Stile libero,1,25,0:29.6,2:20.2,1:58,1:58,42,156,157,12,--,--,activity_20623398286
10.6,Stile libero,1,25,0:29.9,2:50.1,1:59,1:59,42,156,159,12,--,--,activity_20623398286
10.7,Stile libero,1,25,0:30.8,3:20.9,2:03,2:03,44,157,158,13,--,--,activity_20623398286
10.8,Stile libero,1,25,0:30.3,3:51.2,2:01,2:01,42,157,158,12,--,--,activity_20623398286
,Riposo,0,0,0:40.5,27:34,0,0,0,147,158,0,0,8,activity_20623398286
11,Stile libero,8,200,3:58.7,31:33,1:59,1:49,42,148,157,101,13,46,activity_20623398286
11.1,Stile libero,1,25,0:27.3,0:27.3,1:49,1:49,38,134,144,11,--,--,activity_20623398286
11.2,Stile libero,1,25,0:30.6,0:57.9,2:03,2:03,44,148,149,13,--,--,activity_20623398286
11.3,Stile libero,1,25,0:31.1,1:29.0,2:04,2:04,45,149,152,14,--,--,activity_20623398286
11.4,Stile libero,1,25,0:30.9,1:59.9,2:03,2:03,44,154,156,13,--,--,activity_20623398286
11.5,Stile libero,1,25,0:28.2,2:28.1,1:53,1:53,41,149,155,13,--,--,activity_20623398286
11.6,Stile libero,1,25,0:32.9,3:00.9,2:12,2:12,46,145,155,13,--,--,activity_20623398286
11.7,Stile libero,1,25,0:29.4,3:30.3,1:58,1:58,41,144,156,12,--,--,activity_20623398286
11.8,Stile libero,1,25,0:28.4,3:58.7,1:54,1:54,40,156,157,12,--,--,activity_20623398286
,Riposo,0,0,0:47.3,32:20,0,0,0,144,156,0,0,8,activity_20623398286
12,Stile libero,8,200,4:04.2,36:24,2:02,1:44,43,143,156,102,13,40,activity_20623398286
12.1,Stile libero,1,25,0:33.1,0:33.1,2:12,2:12,46,131,143,13,--,--,activity_20623398286
12.2,Stile libero,1,25,0:28.6,1:01.7,1:54,1:54,41,146,152,12,--,--,activity_20623398286
12.3,Stile libero,1,25,0:25.9,1:27.6,1:44,1:44,37,124,126,11,--,--,activity_20623398286
12.4,Stile libero,1,25,0:35.6,2:03.2,2:22,2:22,51,135,153,15,--,--,activity_20623398286
12.5,Stile libero,1,25,0:26.9,2:30.1,1:48,1:48,39,150,155,12,--,--,activity_20623398286
12.6,Stile libero,1,25,0:31.8,3:01.8,2:07,2:07,45,154,156,13,--,--,activity_20623398286
12.7,Stile libero,1,25,0:32.3,3:34.1,2:09,2:09,46,153,154,14,--,--,activity_20623398286
12.8,Stile libero,1,25,0:30.1,4:04.2,2:01,2:01,42,152,154,12,--,--,activity_20623398286
,Riposo,0,0,0:50.3,37:15,0,0,0,141,155,0,0,8,activity_20623398286
13,Stile libero,8,200,4:09.8,41:24,2:05,1:54,44,146,157,104,13,42,activity_20623398286
13.1,Stile libero,1,25,0:28.5,0:28.5,1:54,1:54,40,129,132,11,--,--,activity_20623398286
13.2,Stile libero,1,25,0:28.5,0:57,1:54,1:54,41,128,132,12,--,--,activity_20623398286
13.3,Stile libero,1,25,0:32.6,1:29.6,2:10,2:10,46,142,154,13,--,--,activity_20623398286
13.4,Stile libero,1,25,0:33.7,2:03.2,2:15,2:15,48,154,155,14,--,--,activity_20623398286
13.5,Stile libero,1,25,0:30.7,2:33.9,2:03,2:03,44,155,156,13,--,--,activity_20623398286
13.6,Stile libero,1,25,0:34.5,3:08.4,2:18,2:18,50,154,157,15,--,--,activity_20623398286
13.7,Stile libero,1,25,0:29.3,3:37.7,1:57,1:57,42,152,154,13,--,--,activity_20623398286
13.8,Stile libero,1,25,0:32.1,4:09.8,2:09,2:09,45,154,156,13,--,--,activity_20623398286
,Riposo,0,0,0:50.9,42:15,0,0,0,140,156,0,0,8,activity_20623398286
14,Stile libero,8,200,4:08.2,46:24,2:04,1:37,44,138,154,106,13,32,activity_20623398286
14.1,Stile libero,1,25,0:32.1,0:32.1,2:09,2:09,45,126,138,13,--,--,activity_20623398286
14.2,Stile libero,1,25,0:30.4,1:02.5,2:02,2:02,44,141,147,14,--,--,activity_20623398286
14.3,Stile libero,1,25,0:31.7,1:34.2,2:07,2:07,46,149,151,14,--,--,activity_20623398286
14.4,Stile libero,1,25,0:30.1,2:04.3,2:00,2:00,43,151,152,13,--,--,activity_20623398286
14.5,Stile libero,1,25,0:36.6,2:40.9,2:26,2:26,51,144,153,14,--,--,activity_20623398286
14.6,Stile libero,1,25,0:31.6,3:12.4,2:06,2:06,46,136,153,14,--,--,activity_20623398286
14.7,Stile libero,1,25,0:24.4,3:36.8,1:37,1:37,35,126,129,11,--,--,activity_20623398286
14.8,Stile libero,1,25,0:31.4,4:08.2,2:06,2:06,44,130,135,13,--,--,activity_20623398286
,Riposo,0,0,0:47.6,47:11,0,0,0,133,144,0,0,5,activity_20623398286
Riepilogo,--,72,"1,800",47:11,47:11,2:07,0:55,43,136,160,841,12,443,activity_20623398286
1,Misto,18,450,10:57,10:57,2:26,1:40,50,131,155,244,14,107,activity_20643588788
1.1,Stile libero,1,25,0:30.1,0:30.1,2:00,2:00,40,90,103,10,--,--,activity_20643588788
1.2,Stile libero,1,25,0:24.9,0:54.9,1:40,1:40,35,105,107,10,--,--,activity_20643588788
1.3,Stile libero,1,25,0:30.5,1:25.4,2:02,2:02,41,104,108,10,--,--,activity_20643588788
1.4,Stile libero,1,25,0:32.9,1:58.3,2:12,2:12,44,115,121,11,--,--,activity_20643588788
1.5,Rana,1,25,0:36,2:34.3,2:24,2:24,53,123,134,17,--,--,activity_20643588788
1.6,Rana,1,25,0:38.5,3:12.8,2:34,2:34,56,133,135,17,--,--,activity_20643588788
1.7,Rana,1,25,0:36.6,3:49.4,2:26,2:26,54,128,133,17,--,--,activity_20643588788
1.8,Rana,1,25,0:37.6,4:27.0,2:31,2:31,56,129,132,18,--,--,activity_20643588788
1.9,Dorso,1,25,0:39.8,5:06.7,2:39,2:39,54,125,127,14,--,--,activity_20643588788
1.10,Dorso,1,25,0:48.2,5:54.9,3:13,3:13,63,139,148,15,--,--,activity_20643588788
1.11,Dorso,1,25,0:38.4,6:33.3,2:34,2:34,52,152,155,14,--,--,activity_20643588788
1.12,Dorso,1,25,0:40.8,7:14.1,2:43,2:43,57,152,154,16,--,--,activity_20643588788
1.13,Stile libero,1,25,0:41.8,7:55.9,2:47,2:47,56,148,155,14,--,--,activity_20643588788
1.14,Stile libero,1,25,0:36.4,8:32.3,2:26,2:26,48,140,142,12,--,--,activity_20643588788
1.15,Stile libero,1,25,0:35.8,9:08.1,2:23,2:23,50,137,140,14,--,--,activity_20643588788
1.16,Stile libero,1,25,0:33.1,9:41.2,2:12,2:12,43,134,138,10,--,--,activity_20643588788
1.17,Stile libero,1,25,0:35.4,10:17,2:21,2:21,47,137,139,12,--,--,activity_20643588788
1.18,Stile libero,1,25,0:40.3,10:57,2:41,2:41,53,138,140,13,--,--,activity_20643588788
,Riposo,0,0,0:37.7,11:35,0,0,0,125,136,0,0,5,activity_20643588788
2,Rana,2,50,0:59.0,12:34,1:58,1:52,36,132,143,13,7,8,activity_20643588788
2.1,Rana,1,25,0:28,0:28,1:52,1:52,34,123,135,6,--,--,activity_20643588788
2.2,Rana,1,25,0:31.0,0:59.0,2:04,2:04,38,139,142,7,--,--,activity_20643588788
,Riposo,0,0,0:24.0,12:58,0,0,0,140,143,0,0,4,activity_20643588788
3,Misto,2,50,0:53.4,13:51,1:47,1:26,33,137,150,13,7,9,activity_20643588788
3.1,Rana,1,25,0:31.9,0:31.9,2:08,2:08,40,134,138,8,--,--,activity_20643588788
3.2,Stile libero,1,25,0:21.5,0:53.4,1:26,1:26,26,141,149,5,--,--,activity_20643588788
,Riposo,0,0,0:22.1,14:13,0,0,0,149,151,0,0,5,activity_20643588788
4,Stile libero,2,50,0:58.9,15:12,1:58,1:52,36,139,148,14,7,10,activity_20643588788
4.1,Stile libero,1,25,0:28.1,0:28.1,1:52,1:52,34,139,145,6,--,--,activity_20643588788
4.2,Stile libero,1,25,0:30.8,0:58.9,2:03,2:03,39,138,146,8,--,--,activity_20643588788
,Riposo,0,0,0:22.6,15:35,0,0,0,142,148,0,0,4,activity_20643588788
5,Stile libero,2,50,0:50.3,16:25,1:41,1:32,32,137,156,14,7,8,activity_20643588788
5.1,Stile libero,1,25,0:27.3,0:27.3,1:49,1:49,34,130,137,7,--,--,activity_20643588788
5.2,Stile libero,1,25,0:23.1,0:50.3,1:32,1:32,30,146,155,7,--,--,activity_20643588788
,Riposo,0,0,0:31.1,16:56,0,0,0,152,158,0,0,7,activity_20643588788
6,Stile libero,2,50,0:56.4,17:52,1:53,1:47,37,137,144,17,9,9,activity_20643588788
6.1,Stile libero,1,25,0:29.6,0:29.6,1:58,1:58,39,132,139,9,--,--,activity_20643588788
6.2,Stile libero,1,25,0:26.8,0:56.4,1:47,1:47,35,141,144,8,--,--,activity_20643588788
,Riposo,0,0,0:19.5,18:12,0,0,0,145,148,0,0,4,activity_20643588788
7,Stile libero,2,50,0:51.0,19:03,1:42,1:34,34,143,154,17,9,9,activity_20643588788
7.1,Stile libero,1,25,0:27.5,0:27.5,1:50,1:50,38,136,143,10,--,--,activity_20643588788
7.2,Stile libero,1,25,0:23.5,0:51.0,1:34,1:34,30,149,154,7,--,--,activity_20643588788
,Riposo,0,0,0:23.8,19:27,0,0,0,151,156,0,0,5,activity_20643588788
8,Stile libero,2,50,0:51.8,20:18,1:44,1:35,34,143,154,17,9,9,activity_20643588788
8.1,Stile libero,1,25,0:28.2,0:28.2,1:53,1:53,37,138,145,9,--,--,activity_20643588788
8.2,Stile libero,1,25,0:23.6,0:51.8,1:35,1:35,32,147,152,8,--,--,activity_20643588788
,Riposo,0,0,1:29.1,21:47,0,0,0,132,155,0,0,12,activity_20643588788
9,Misto,8,200,3:35.3,25:23,1:48,1:10,38,145,154,86,11,40,activity_20643588788
9.1,Stile libero,1,25,0:26.3,0:26.3,1:45,1:45,36,120,131,10,--,--,activity_20643588788
9.2,Stile libero,1,25,0:27.8,0:54.1,1:51,1:51,40,141,148,12,--,--,activity_20643588788
9.3,Stile libero,1,25,0:29.8,1:23.8,1:59,1:59,42,151,153,12,--,--,activity_20643588788
9.4,Stile libero,1,25,0:31.9,1:55.7,2:08,2:08,45,147,150,13,--,--,activity_20643588788
9.5,Stile libero,1,25,0:29.7,2:25.4,1:59,1:59,42,148,149,12,--,--,activity_20643588788
9.6,Stile libero,1,25,0:34.1,2:59.6,2:16,2:16,48,148,150,14,--,--,activity_20643588788
9.7,Dorso,1,25,0:17.4,3:17.0,1:10,1:10,24,153,154,7,--,--,activity_20643588788
9.8,Stile libero,1,25,0:18.3,3:35.3,1:13,1:13,24,152,153,6,--,--,activity_20643588788
,Riposo,0,0,0:49.3,26:12,0,0,0,133,153,0,0,7,activity_20643588788
10,Dorso,4,100,2:44.8,28:57,2:45,2:23,57,148,157,63,16,31,activity_20643588788
10.1,Dorso,1,25,0:35.7,0:35.7,2:23,2:23,51,130,148,15,--,--,activity_20643588788
10.2,Dorso,1,25,0:36.1,1:11.7,2:24,2:24,52,154,156,16,--,--,activity_20643588788
10.3,Dorso,1,25,0:46.6,1:58.4,3:07,3:07,63,153,156,16,--,--,activity_20643588788
10.4,Dorso,1,25,0:46.4,2:44.8,3:06,3:06,62,152,157,16,--,--,activity_20643588788
,Riposo,0,0,0:37.5,29:34,0,0,0,139,156,0,0,6,activity_20643588788
11,Stile libero,4,100,1:59.1,31:34,1:59,1:58,42,141,151,49,12,19,activity_20643588788
11.1,Stile libero,1,25,0:29.9,0:29.9,2:00,2:00,42,127,131,12,--,--,activity_20643588788
11.2,Stile libero,1,25,0:29.9,0:59.8,1:59,1:59,43,142,146,13,--,--,activity_20643588788
11.3,Stile libero,1,25,0:29.4,1:29.2,1:58,1:58,41,147,149,12,--,--,activity_20643588788
11.4,Stile libero,1,25,0:29.9,1:59.1,2:00,2:00,42,149,150,12,--,--,activity_20643588788
,Riposo,0,0,0:39.2,32:13,0,0,0,140,153,0,0,6,activity_20643588788
12,Rana,4,100,2:24.0,34:37,2:24,2:10,56,144,154,80,20,24,activity_20643588788
12.1,Rana,1,25,0:32.4,0:32.4,2:10,2:10,50,128,142,18,--,--,activity_20643588788
12.2,Rana,1,25,0:37.8,1:10.2,2:31,2:31,58,150,154,20,--,--,activity_20643588788
12.3,Rana,1,25,0:36.6,1:46.9,2:26,2:26,59,147,153,22,--,--,activity_20643588788
12.4,Rana,1,25,0:37.2,2:24.0,2:29,2:29,57,148,154,20,--,--,activity_20643588788
,Riposo,0,0,0:44.2,35:21,0,0,0,144,159,0,0,7,activity_20643588788
13,Misto,21,525,17:42,53:03,2:32,1:53,52,127,142,285,14,111,activity_20643588788
13.1,Stile libero,1,25,0:34.9,0:34.9,2:20,2:20,49,128,139,14,--,--,activity_20643588788
